t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,270.97199999999975,152.61880918035325,-65.15935154279562,-120.2622060241345,-126.92553844848973,-11.21200767407309,-1705.0700383152616,-18.1818287141003,-25.361106090347203,-4.035363312806559,-26.442939363933196,-44.85512840318723,-33.09313985293447,1790.435003497868,-60.93206254968257,-55.449146872190546,-14.196768832301027,236.95183430707823,-25.160684854212477,-29.895494909075264,-180.79281071030783,-72.08341972862863,-21.13398422276845,-46.85981837673005,139.32245454973153,196.11752552247611
24.0,271.944,361.38491445699054,-154.30537736957803,-296.63495231860463,-306.4567264069703,-25.84294307302506,-3921.388459375908,-29.08366965281148,-58.37668739480137,-10.324226768210133,-46.42259643486302,-107.5059069209804,-76.67851718769982,3693.1591265978946,-140.84447844604807,-128.20638896325303,-32.721497102464625,590.080596998834,-57.99283952179067,-68.90645395096222,-446.3788131855056,-180.67095877940042,-49.11351733418238,-108.40999080699807,351.81322077356896,451.9896612459374
36.0,272.9159999999999,631.4583884763094,-265.26657023866403,-537.3927549490555,-543.8974797418119,-43.106930252317916,-6598.219447699663,-22.287180792097235,-95.0805425012513,-19.383207773654238,-50.145953644535425,-187.2043335990916,-128.9080210992939,5440.474904670423,-235.93712236146342,-214.85565816007204,-54.578231766340686,1081.085133997555,-96.73220521164775,-114.93688907705898,-810.0652356478014,-328.64690630817427,-82.9287879897327,-181.83760773799568,651.3888753420138,753.8245071811275
48.0,273.8879999999999,968.6084153803824,-390.7549848263418,-845.2468838648642,-842.2788858561906,-61.89915962953345,-9638.595894044785,11.232031176968107,-130.26034532106942,-31.34045234475388,-31.46639176862192,-278.663492989261,-186.9290846437501,6756.230919486534,-340.61360854508155,-310.340624462009,-78.36729576781173,1719.01805322572,-138.89889902285492,-165.0404841602575,-1277.5700500259766,-512.44634779183,-120.9057085240966,-262.9336821922887,1044.9120850788586,1082.2469159357227
60.0,274.85999999999933,1368.5642233406977,-516.4527837007544,-1216.8055316662048,-1195.4404321533377,-81.07678135981982,-12941.0549413191,74.46565681420202,-159.7490951563334,-45.85191234004295,10.256649837135095,-369.63511110668804,-247.6778476842001,7435.437221881772,-448.97256828911344,-409.31884599392976,-102.64176584684684,2496.6629863254097,-181.92840148386327,-216.17006870394113,-1845.8703245146169,-722.6659098357734,-161.19941572595005,-347.231077542003,1513.6555096044704,1417.2334398489822
72.0,275.83199999999994,1758.5516528880046,-614.4819186410109,-1630.6580089162453,-1344.6500640031436,-96.5626405201315,-16091.416446638628,141.06706825882787,-172.64261209077668,-62.23589746864657,57.79470109197934,-439.62158359504036,-300.9190552740406,7096.469337627643,-540.6618408160921,-493.4342655053352,-122.24694103666249,3406.999398734526,-216.67744029985434,-257.4592891231609,-2479.7327931913937,-906.271914340673,-197.92301394561866,-419.487133247474,1793.1543076391754,1687.5716064335463
84.0,276.8040000000001,2077.8169064838703,-670.831956860129,-2056.8762791136246,-1369.109014258901,-107.788382434116,-19078.28740950292,197.2024514639573,-175.54842106757306,-78.9333162157546,111.91651806349844,-475.64246382366247,-344.2820468424001,5870.035018908938,-611.8979920202852,-559.1808323866032,-136.46126384778677,4273.804302731909,-241.8690754018583,-287.3915069688347,-3030.3932836757003,-1059.0331976499913,-229.3121901982232,-476.63364054083775,1928.1866604350384,1883.2968526970558
96.0,277.77600000000007,2342.647388948255,-701.3172206288748,-2465.12707143193,-1394.5001136366789,-115.39561486849965,-21941.50619308958,252.82568154401332,-170.49009921518825,-95.21094075621197,176.94347897268736,-492.35115147124407,-380.11239213071696,3706.03400922141,-666.6175533032259,-610.1805704237918,-146.09458245495327,4644.1464976199895,-258.9410995718907,-307.67589191278273,-3078.2584956081337,-1190.9013694888765,-257.0283110446366,-521.8043818845338,1996.6303636483326,2015.6181036446278
108.0,278.74800041133756,2545.3079192763216,-723.6126582439696,-2815.0407508282015,-1420.7494032816287,-121.19066609338687,-23765.67882809369,437.3563048944788,-163.2198239951435,-110.94704431287522,376.14034276186476,-504.1516926856482,-420.1635207437577,-513.3528757645876,-721.0584682686596,-661.787906333752,-153.43346215512244,4824.237652463832,-271.9465679387528,-323.1284127720465,-3101.538629326408,-1441.021294174919,-290.8981465918513,-568.9707907899716,2038.0520740210757,2116.1489220342182
