t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,270.97200000000083,152.60910717484444,-65.15563399748257,-120.25978704549298,-126.92074710324815,-11.210956806134476,-1704.9492345831577,-18.18257527245033,-25.35808463768296,-4.035479742306457,-26.44518196958621,-44.85512157230385,-33.091437945123744,1790.2852364277844,-60.92868185616435,-55.44660778980199,-14.196561801952704,236.95621097292846,-25.161456838268293,-29.894142041313344,-180.78874636222966,-72.07296478157211,-21.133332986443843,-46.85589784271269,108.44204406849167,196.11757706966898
24.0,271.9440000000006,361.3687245195062,-154.29635617676055,-296.62891302763757,-306.44656341111835,-25.840302176621773,-3921.085297888383,-29.087204783276785,-58.36857059227395,-10.324515591848904,-46.43143553075594,-107.50623285992157,-76.67430232882275,3692.7933482065164,-140.8360559790605,-128.20008549177552,-32.72099044908247,590.0941799420233,-57.99481748139605,-68.90307166958715,-446.3686421227879,-180.64149402038964,-49.11194202634147,-108.40018915987784,273.83448089881966,451.9900141228173
36.0,272.91600000000034,631.4404728004079,-265.2504750356356,-537.3818732918587,-543.8815723329562,-43.10205924513009,-6597.666297001709,-22.296711385164322,-95.06477534498806,-19.383732861917956,-50.16730273406788,-187.2055109354707,-128.90034371087188,5439.81582776108,-235.92170089838493,-214.84415094968406,-54.57731738297981,1081.115307302395,-96.73590934179097,-114.93067651039108,-810.0467946735961,-328.58753272482363,-82.92597786987034,-181.81960921997586,507.00824303049103,753.8254875806464
48.0,273.8880000000001,968.5920741378069,-390.72940400561566,-845.2296741968687,-842.2564254830501,-61.89134077771904,-9637.725214737548,11.211474294638071,-130.23409874219985,-31.341237170552812,-31.506665701900424,-278.66562871918956,-186.916843304755,6755.205997394768,-340.5889320854534,-310.32222951382073,-78.3658226145317,1719.0739501581008,-138.90482945228894,-165.03050478678895,-1277.5407617268563,-512.3450332899762,-120.90128037335242,-262.90487813539113,813.3033600793825,1082.2483995638252
60.0,274.8600000000002,1368.5519106541028,-516.4154885219422,-1216.7811187054344,-1195.4120676920463,-81.06547658584607,-12939.828807822843,74.42886873480431,-159.71002547089213,-45.85293285572954,10.19352047657079,-369.637926846969,-247.6602650581168,7434.031714353964,-448.93702586250527,-409.29239241115425,-102.63965926227037,2496.7533886793904,-181.93704074244403,-216.15567021484287,-1845.8285969207664,-722.5145478633601,-161.1931282257043,-347.18952873053735,1178.145851307182,1417.2359657576756
72.0,275.8320000000003,1758.5641714974272,-614.4375205273855,-1630.6323428345786,-1344.6500186311691,-96.54968978169273,-16090.068362026903,141.02714098823316,-172.59489487266995,-62.236974790039206,57.723365689875834,-439.6239040225704,-300.89946736400685,7094.973098127971,-540.6220725753366,-493.40504834366254,-122.24500399180953,3407.1089586311164,-216.68866552984687,-257.44340891024245,-2479.6895820738273,-906.0999320153097,-197.91633595509705,-419.43969578004493,1395.7108812779654,1687.58230844006
84.0,276.8040001694317,2077.8558829961344,-670.7825526181122,-2056.85174429123,-1369.108945240004,-107.77434001911388,-19076.927932056995,197.16631529836883,-175.49318248425547,-78.93435701109354,111.84748384215462,-475.64350696334543,-344.26070732702607,5868.632184911305,-611.8546634931851,-559.1489064438875,-136.4590336015061,4273.9529808753505,-241.8808846543634,-287.37412049103705,-3030.3785538766756,-1058.8549147917201,-229.30485695805666,-476.5822113290666,1500.8100950675273,1883.3063182554886
96.0,305.5080001694312,2573.8155663270795,-777.2544210150719,-2469.943326352923,-1789.1729786485598,-114.86958685188156,-22417.614314971484,299.0244800633106,-158.33085821491127,-117.3866125239714,235.22721527198775,-570.9325928457573,-373.6276539862027,4720.985051677943,-657.3847030116306,-600.6970823571443,-143.68722763443367,5157.244011602695,-257.40264063927617,-305.52516431466455,-3538.6608537926872,-1239.9651344950137,-251.21348524281677,-514.6147339965839,49389.12396332746,1897.0321773688709
108.0,334.21200016943135,3251.91153939414,-935.3961154792696,-2876.1284154908553,-2289.368884503076,-121.83988576793732,-25831.27395249231,433.70169902955746,-131.54394867587578,-177.2438946917854,384.1957097566744,-718.5002115045852,-402.1597751346588,3670.8283530061694,-701.4355443539741,-640.7094804658828,-150.35373050075202,6161.381245860539,-272.5515066779328,-323.16651577884704,-4142.446447914037,-1444.5049502653328,-272.4457797825228,-551.6485170495966,108259.80455560908,1895.6034243436093
120.0,362.91600016943147,4017.771843869905,-1109.8297610874017,-3272.912733668251,-2814.4319328273245,-128.23198897720488,-29240.22783140711,593.0172362122472,-99.40975325778578,-246.38225800547215,551.2068736173231,-883.4834671018658,-429.11804434827405,2684.079571103032,-742.4098406997074,-677.9044657652611,-156.20713921480572,7179.624852458326,-286.384147863014,-339.2307001208232,-4763.761319372614,-1661.7912023720153,-292.72600903235826,-586.396450428715,169327.72515978778,1877.7599651573814
132.0,391.62000016943153,4825.482958714689,-1291.0530381255012,-3659.426000996606,-3349.0721710203316,-134.0981390652473,-32662.664013061734,777.6829336887919,-64.7809924577358,-320.57036567971505,739.4287145978615,-1056.2298002392945,-454.5699390049492,1874.085460789897,-780.5533985137755,-712.5194185335837,-161.37230645991752,8183.261504693203,-299.0312669870683,-353.88270285154874,-5388.376285055385,-1895.6056350143165,-312.0622575242714,-618.9916818896731,230995.48014297054,1846.762504034717
144.0,420.3240001694315,5649.249396547144,-1474.5036195555022,-4035.3161255388795,-3884.1313087582075,-139.50155304565942,-36107.55734163877,990.1409516743013,-29.15184422480854,-397.68045060585183,952.4892431324259,-1232.0340347091396,-478.6129571133367,1313.7884919906223,-816.1454773883863,-744.8114172318103,-165.95922128324577,9155.846547724932,-310.6416064541364,-367.3041901203754,-6009.766567502502,-2150.2109061014767,-330.4827221505446,-649.6101049002647,292448.7191697018,1805.4384508249132
156.0,449.02800016943127,6475.191576310177,-1657.5929362512504,-4400.5084930466355,-4413.803405093542,-144.49684016802902,-39559.28519811378,1229.9148036858062,6.620194997443198,-476.3245980083206,1190.2923731182732,-1408.190605382341,-501.3461432872282,998.0533926633672,-849.4365410658697,-775.0097946959041,-170.05614208317587,10089.28806238185,-321.34210772241755,-379.6491370163506,-6624.032250120651,-2426.0414152861636,-348.0270047411011,-678.4183091464024,353167.8473596443,1756.1172175762877
168.0,477.7320001694311,7296.912898012675,-1838.7627181457524,-4755.0676456789415,-4934.479622136211,-149.1302740518437,-42981.68575417615,1491.7071309143805,42.01671975645537,-555.4196685021345,1447.6102027215504,-1583.0447803384498,-522.8705139922328,857.8273269807935,-880.6535747387327,-803.3228073636658,-173.7350326380565,10983.094394735568,-331.2396888558654,-391.04678071366914,-7228.489355494041,-2718.311363111926,-364.74592882615946,-705.574472485373,412789.4246245545,1700.7215445566603
180.0,506.436000169431,8110.938180803628,-2016.9924438674861,-5099.115894890597,-5443.698249903892,-153.44111808868033,-46338.66257154063,1768.2016302983625,76.72187822789874,-634.1171792218842,1717.2812391860525,-1755.495778549641,-543.280523693428,817.2671933030269,-909.9965300235417,-829.934026582413,-177.05527857710672,11840.414517835628,-340.424686272216,-401.60604633982086,-7821.1271012069565,-3020.2299902963846,-380.6914646697881,-731.221507456077,471050.69551727275,1640.836907940405
192.0,535.1400001694311,8914.183128636469,-2191.5419741742044,-5432.787997589242,-5939.537368459932,-157.4624504254022,-49606.400740452744,2053.118288873659,110.54466296547719,-711.7948512520168,1993.3339847725697,-1924.7369397406421,-562.6567844166995,827.0783314825592,-937.6339401568192,-854.9978487682633,-180.0657550625658,12664.383321639816,-348.97294074147766,-411.41819436353416,-8400.362918844277,-3326.1351016808094,-395.90850493020554,-755.4808203693029,527761.7482763607,1577.7627869830492
204.0,563.8440001694312,9703.603166066707,-2361.8512663238002,-5756.210006920234,-6420.466821384839,-161.22204696918644,-52772.210129076804,2341.8939526062445,143.3707556366213,-788.0103400261231,2271.567957832009,-2090.153223232418,-581.066420815486,862.3834210572196,-963.7060062796378,-878.6423396322981,-182.80659543272918,13457.127759642906,-356.94792823895193,-420.55945972422495,-8964.92426526417,-3632.0835537190032,-410.43423721887007,-778.4537674399384,582787.8153118794,1512.5597771185098
216.0,592.5480001694311,10476.462014889306,-2527.5006057652695,-6069.493076261303,-6885.337005682535,-164.74335455463202,-55829.993954462116,2631.242728997434,175.13374903388936,-862.4486282196381,2549.0415835171284,-2251.2792341214404,-598.5664501542792,911.7754830906176,-988.3307811341017,-900.9750784135106,-185.31089121874942,14220.038935269866,-364.40305126313973,-429.0938514048625,-9513.789550050997,-3935.3489276062714,-424.3004568304096,-800.2262417736857,636036.5508961561,1446.0922363511047
228.0,621.2520001694312,11230.499889800776,-2688.185195436996,-6372.735207747291,-7333.355086706832,-168.04637866631867,-58777.14614027013,2918.6967716550294,205.79820012451182,-934.8843002862162,2823.5906960271755,-2407.7718759901404,-615.206759232091,969.9832307734387,-1011.6096377668464,-922.0882937611127,-187.6061634840846,14954.131965609698,-371.3837107755333,-437.0756714568846,-10046.155846502737,-4233.948749817672,-437.53557508134725,-820.8727492501836,687448.5877875399,1379.0642033646686
240.0,649.956000169431,11963.95669876501,-2843.694178657214,-6666.026474462535,-7764.039395588443,-171.1484004443743,-61612.97954501405,3202.3353628308214,235.3494167447216,-1005.157572644119,3093.5566736548767,-2559.387829609664,-631.0320940444412,1034.3814300685688,-1033.6312543270599,-942.0625735691137,-189.71553013762855,15660.250846938217,-377.92897485825426,-444.5515403739527,-10561.417847844628,-4526.379615287481,-450.1658279720217,-840.4592852560427,736990.4836110172,1312.0482764151438
