t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,273.828000000001,152.98006368716597,-65.62477453098806,-120.38427725477227,-127.07774887066947,-11.241446606700745,-1710.332378319348,-18.42354380977732,-25.559259887320916,-4.715809824179106,-26.427076437407305,-45.271281043679984,-33.16855201108256,1800.2218176358783,-61.07744363942472,-55.586040246664616,-14.236847853966935,237.5482505185928,-25.225614819683745,-29.973879739981975,-180.98301268221095,-72.35655933055003,-21.179000115089647,-46.97041237773128,143.32425799554048,196.62961929192392
24.0,277.656000000001,364.5143821299788,-157.07627919100187,-297.56039240098374,-307.7344893782098,-26.022555769015966,-3949.0529798590555,-30.171683111979338,-59.40200012667545,-13.573332944354775,-46.25091969189021,-109.96178801481638,-77.15444918344889,3740.23525827625,-141.75845316276292,-129.0475065053953,-32.9560283218238,593.7764857479436,-58.393030456663155,-69.38508826176198,-447.7699939465914,-182.41730432233297,-49.400413878743436,-109.10401513642333,363.3213023017642,455.1244317933896
36.0,281.4840000000009,643.7369662144141,-274.3481203710655,-540.8182631931663,-548.7736983882544,-43.66425359680146,-6675.809937717768,-24.503038318506334,-97.86552749363253,-28.001781008697243,-49.04231120001507,-195.29573178920424,-130.4129489028154,5558.998040897554,-238.81102967920066,-217.48492456835643,-55.29710131596222,1093.5038409082963,-97.97747701189952,-116.42236210577605,-815.1777637553538,-334.6408715721447,-83.84400406050442,-184.0222971736509,677.2942369765174,763.5594201846898
48.0,285.31200000000104,1002.3744692839548,-414.0539509550932,-854.3964777067417,-855.6552146317593,-63.17306961652481,-9803.798217982463,8.938740123310156,-135.8480315336544,-49.0572533094561,-27.099387962203217,-299.6866681599886,-190.4068228093969,6978.197425047684,-347.23007019530525,-316.37934132617835,-80.00143296898123,1751.0996203824302,-141.74863268081967,-168.43610676985176,-1291.2639405446175,-527.9952267988247,-123.03238010145574,-267.96825499659343,1099.9557409316353,1104.5021725359281
60.0,289.14000000000095,1446.5567972560225,-569.035536509845,-1237.3735358697347,-1231.7100995188766,-83.61354527543227,-13251.641536491768,76.48581012110589,-169.18899492191878,-77.19034481428358,23.244564529634555,-417.67085097418254,-254.61206170206842,7791.495368465779,-462.1681807614345,-421.3408954804847,-105.88400550068482,2567.850818231344,-187.6066808150872,-222.9316180942061,-1877.2575786972582,-757.9233876387907,-165.43941446438558,-357.2693380135597,1637.7127532617155,1461.5409272967577
72.0,292.968000000001,1972.1987999304022,-727.219561966562,-1683.0251704549485,-1668.7475357860271,-104.16444741470585,-16950.948646103774,177.5616206216914,-195.46901103135042,-112.23109352924087,100.7309557322043,-538.661169194207,-320.7302572184945,7881.579140841805,-579.2889541487218,-528.4338345285202,-131.90502968945557,3529.1581138808656,-233.70939273628957,-277.71956876897013,-2564.966759320109,-1015.950365540355,-209.64242971090545,-448.61887219695734,2263.392091236505,1820.2897640087733
84.0,296.7960001782746,2497.5058635709797,-866.6586964796468,-2166.041224418553,-1866.5738012314357,-121.25264484635633,-20523.37569884137,276.5162986273932,-205.72011099329075,-153.62859845894164,180.52236347974815,-647.167695250537,-379.84618137027195,6964.722783766895,-680.8209529312466,-621.6233581569066,-153.54390855134463,4608.314220754347,-272.04909075325673,-323.27927922737047,-3294.9806849007423,-1245.8750941434612,-250.53446967932487,-528.7149380831777,2644.989730678303,2118.404892640688
96.0,325.4999999563034,3174.134013132641,-1005.323956895183,-2631.116823977557,-2339.5002468455646,-129.83059149236803,-24125.61920917372,416.16065617525965,-181.67359240000025,-209.80493535624942,333.0230678849521,-773.3625505324768,-412.8219737994617,5529.830833958018,-731.3444677769947,-670.2029051318939,-163.2282177959662,5699.446293157853,-288.6584239002415,-344.46653241626876,-3968.580219965762,-1467.1787914691913,-275.03536083295523,-572.1522398166171,75677.74927986736,2133.629417770202
108.0,354.20399995630385,3977.2770414881193,-1182.9459392262534,-3083.820787191541,-2893.681872703158,-138.10377692732462,-27794.289914883826,585.2358536923508,-152.81221210679988,-280.7066179933768,512.1946817885404,-939.5850573711775,-444.37265470179193,4102.673717471805,-779.0504242508938,-716.4947858851785,-172.32652483859655,6801.846307285996,-304.1361825483451,-364.5554157071322,-4643.373058053884,-1711.3588607431382,-298.55048841893915,-613.7783479251017,161075.74803604797,2128.8163179408048
