t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,272.40000000000083,152.79681320935927,-65.39312658471937,-120.32331957245422,-126.99925515927954,-11.225664079720508,-1707.5839893757345,-18.30660246676553,-25.457010014291274,-4.385671231863398,-26.43577199941035,-45.066662723597844,-33.1289794773759,1795.19323765991,-61.00426493478219,-55.51575322211203,-14.215245473519856,237.25911788109573,-25.19300559150479,-29.933385263074474,-180.8800297083226,-72.21175802903217,-21.155920049205992,-46.911498056832656,107.57161567924992,196.37586577068708
24.0,274.80000000000075,362.9857180183559,-155.73345758515944,-297.10292749000917,-307.1012228337226,-25.931111982150995,-3935.0498799541883,-29.638059091924095,-58.88416503269832,-12.037012235611478,-46.3277585238764,-108.78062094892215,-76.91435961104078,3716.5665726397456,-141.3054493638051,-128.62698120634172,-32.8361331019978,591.9931330574407,-58.194933556055425,-69.14528229441777,-447.0624505918165,-181.54348407860348,-49.25699234892924,-108.75174374758004,272.2009770387264,453.58124621875965
36.0,277.2000000000004,637.8494652795188,-270.0485547014885,-539.1368379219742,-546.4018272852193,-43.38631282745791,-6637.079552403807,-23.393049465139875,-96.46757854764004,-24.011981686813602,-49.523826761155526,-191.49210137639548,-129.66581514834652,5499.979139716356,-237.40011928808036,-216.18710825477942,-54.93751853198083,1087.5719042477315,-97.36700517035341,-115.68875020574619,-812.6340251517205,-331.7293338136387,-83.39170089475893,-182.93408470709164,505.8956189376754,758.8026815514625
48.0,279.60000000000025,986.4934589694795,-403.311952491172,-849.9468740220873,-849.3282567689541,-62.549707736706615,-9722.455731088212,10.205378074973405,-133.0484107243281,-40.98518724186393,-28.996979168803957,-290.06137921664595,-188.70693917873302,6868.689453147258,-344.0251855284216,-313.44221855910297,-79.19977520532467,1735.9799876288653,-140.37130688042922,-166.7861592461221,-1284.5625314098538,-520.6403196356573,-121.99471457487272,-265.50330288095927,817.3796185795891,1093.7703219072537
60.0,282.00000000000006,1410.9777495246644,-545.4950345238342,-1227.5784454865789,-1216.5067581835938,-82.42447319345419,-13103.840756736688,76.17181347239027,-164.5300606345568,-63.0590482730691,17.693521963446152,-396.2651344352871,-251.34617977440715,7620.3950861098465,-456.0136757347356,-415.71268137577,-104.36031438692555,2534.6904863437526,-184.97055654075194,-219.77933716545175,-1862.320888274108,-741.9549996266844,-163.43774628258595,-352.5439699958304,1205.1639662113455,1441.0044082150996
72.0,284.4000004777925,1885.1713761950402,-678.992255284416,-1661.2291359992096,-1556.9539792203052,-101.2883401051696,-16620.76082452886,165.67760622049815,-186.0753171275228,-89.85507874697038,83.3265282086243,-495.6132178495861,-313.1311859849472,7581.0939196392565,-564.6377969445582,-515.1130528238158,-128.24096346769392,3470.6987718840683,-227.30125183396234,-270.07703998928685,-2529.742910438595,-973.3259047219103,-205.10469003914739,-437.48925909674233,1577.0306311539837,1770.3923571220093
84.0,302.4000001651451,2457.8757528357014,-789.6426025856796,-2084.116663208284,-1906.3054912712737,-108.39207372491298,-19729.496609139784,272.11495777804805,-160.24522743496775,-128.92147635516005,195.73261845550118,-595.1559918198877,-342.52553724057793,6483.585938021312,-610.9714685811584,-557.8124965050016,-135.6906274693958,4508.899018910656,-242.30969648086125,-288.3429052617398,-3182.1060222115734,-1144.091994896131,-227.3088250795455,-475.5650937501738,43970.15183990837,1799.247346174531
96.0,320.4000001651451,3123.4511014741793,-925.2233967455829,-2495.141844700635,-2329.3731329505576,-114.89790470933673,-22817.188398542476,398.9324177998021,-129.26150806177247,-180.6110255043971,327.606885472972,-721.0338950427786,-369.8399686632887,5152.483849283132,-653.6119983678233,-597.081582044715,-142.09951536582636,5524.037361059441,-255.80494124941512,-304.8903616710234,-3802.8615610144866,-1328.324529583666,-248.1416612898305,-510.8195359401187,94123.2902586946,1804.757660454783
108.0,338.40000016514506,3839.0752652504975,-1071.9167892797936,-2889.1981739849143,-2775.256905973596,-120.72002373202501,-25874.561678353857,542.3639022349139,-94.69618100100243,-239.51664417720434,472.7581151670992,-859.3299928408575,-395.16323513588736,3747.571006544196,-692.5366131108406,-632.9628357706807,-147.58307897735386,6469.796846807913,-267.7298119857727,-319.58864718649556,-4362.491772486339,-1519.6669072430086,-267.72744759253095,-543.2418228390833,145899.68734257415,1791.1091127080028
120.0,356.40000016514506,4577.487882862422,-1224.0510106222725,-3263.459240243857,-3231.131193167189,-125.98147779193734,-28930.358774100117,703.121625580536,-58.37995825763799,-302.99512467047566,632.8497857724556,-1004.0790775566102,-418.8159541177295,2426.843811977608,-728.3996667473594,-666.0569311171955,-152.35934559039197,7323.100306840081,-278.3980405281027,-332.79308553126333,-4850.6426628272675,-1721.0277946036592,-286.2400093761787,-573.3052652293038,197597.2715604255,1763.2468816626015
132.0,374.4000001651449,5319.552988637216,-1378.447520383329,-3616.726462262178,-3688.9070661124188,-130.77261800129634,-32023.12814984153,887.1995626178118,-21.501008662787232,-369.53602449603653,814.8068047449739,-1151.9027634400575,-441.00176161734385,1369.222494143708,-761.6436177777265,-696.7654768982774,-156.5746508450293,8099.54368792976,-288.03168234578936,-344.7585652724381,-5295.747862596219,-1940.2103965318695,-303.77863540511504,-601.3252606992314,248342.91197787365,1724.7369498096873
144.0,392.4000001651451,6052.388835431202,-1533.0257197112485,-3949.1347204833082,-4143.653905554257,-135.15609831036696,-35178.15799582558,1102.7153602601902,15.171953829979921,-438.1606773333068,1027.1763308270677,-1300.5910031410674,-461.83986714792695,698.5368980195326,-792.5496417952926,-725.3404835048478,-160.32242634152942,8814.678376734426,-296.779861332092,-355.65831920506866,-5725.223373164897,-2186.349836280958,-320.39218682976934,-627.4983102943104,297751.3923778218,1678.0835797959514
156.0,410.40000016514523,6772.0239977398005,-1686.4678638933208,-4261.83680107251,-4593.722726767995,-139.1853842177923,-38371.708485271025,1350.5768368380486,51.116658642186906,-507.97871483425644,1270.6671054119101,-1448.7270273302458,-481.4392729172988,381.63280966096,-821.3603887144429,-751.9986633243543,-163.67232619320023,9475.452875800758,-304.76374456387646,-365.63576686961073,-6148.724655079901,-2460.6300862571593,-336.13215320565433,-651.9991102637948,345769.8404524543,1625.223993106702
168.0,428.40000016514523,7481.184507838592,-1837.9993166824192,-4556.625703693401,-5039.243045355845,-142.90950713523875,-41541.20580568047,1621.344917876587,85.99729475520918,-578.0593178648893,1535.4618544079983,-1595.4510839928987,-499.9234076153329,269.44222216871736,-848.3195777185168,-776.9594265023618,-166.6832108509447,10093.114294841575,-312.09141919331995,-374.8202385704797,-6568.507316081967,-2753.6564895133583,-351.0704745511676,-675.0112044438649,392487.12752804963,1567.7608865571317
180.0,446.40000016514523,8181.756035005312,-1987.036738615937,-4835.554777338263,-5480.106936915724,-146.3715024502126,-44637.50611685638,1904.6488450886002,119.62731225773047,-647.6482675958752,1811.167756415973,-1740.1068475196882,-517.4037032399873,242.44122226890636,-873.6435342756109,-800.4176043308166,-169.40522713323742,10678.632030374236,-318.8568387672706,-383.32458579686516,-6984.832805933541,-3055.4031912664627,-365.27376961901615,-696.6987490615714,438022.7526061381,1507.021603295405
192.0,464.40000016514534,8872.92569957397,-2133.05749406731,-5100.638043591376,-5915.639246969102,-149.60759127179864,-47638.687066075916,2194.2239787407825,151.91771107748116,-716.2322709743087,2091.742037590538,-1882.111037392433,-533.9673463005837,247.89249546330387,-897.5074163043964,-822.5301919919416,-171.87989058035126,11238.631363959572,-325.1386626484977,-391.243488690578,-7397.398664812483,-3360.1344731641343,-378.7916802016444,-717.1932884393934,482496.21082423476,1444.0890495141045
204.0,482.40000016514534,9552.764773458846,-2275.6225747861545,-5353.665511841197,-6344.85644525118,-152.64702803634773,-50537.308310362205,2486.573154197085,182.83764081187925,-783.4612278426729,2373.9269762162785,-2020.9755735832273,-549.6828827190047,267.7495251105443,-920.050857329121,-843.4221620101681,-174.14081203468098,11776.832608455537,-331.00046957471733,-398.65345199195707,-7805.688421791942,-3664.840826949459,-391.6624086830707,-736.5991967383308,526001.8156554695,1379.8380881984838
216.0,500.40000016514534,10219.255021711959,-2414.3936855964253,-5596.123490945029,-6766.563120493002,-155.51245691075502,-53331.20236201,2779.3549982861414,212.39204806366743,-849.0854231173408,2655.582183855983,-2156.323137521579,-564.6062340296664,295.90450717736513,-941.3852186391154,-863.1936228347172,-176.21492346587732,12295.638117506303,-336.49202544112615,-405.6140942402911,-8209.066365153329,-3967.576407010169,-403.9181604801279,-755.0001519080813,568587.4973735419,1314.972250094864
228.0,518.4000001651456,10870.601241604425,-2549.1268447626535,-5829.187715437159,-7179.398011471128,-158.2208151856914,-56019.99029154134,3070.693000751104,240.60842469841614,-912.9236801863236,2935.0058266629053,-2287.8789149425475,-578.7843185550839,329.82813233714296,-961.5995422368181,-881.9253504381277,-178.12381723929235,12796.809484661344,-341.65142871090774,-412.1706421219631,-8606.813660347369,-4266.788710528907,-415.58775285598944,-772.4638711060899,610249.4650203409,1250.0563354789215
240.0,536.4000001651458,11505.28789577981,-2679.656743403842,-6053.756446313357,-7581.92392461462,-160.78456772764562,-58604.02916514367,3358.9563719593993,267.52794551255016,-974.8461126426058,3210.730223232949,-2415.4530858358057,-592.2574619695224,368.0909544612602,-980.7658807873671,-899.6834811536656,-179.88498717323293,13281.700375315655,-346.5076861809708,-418.3570812129404,-8998.153685406869,-4561.124181305017,-426.69778938047693,-789.0460284934138,650941.038277773,1185.5437793872254
