t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,272.3999999999994,152.79899122614913,-65.39425529173673,-120.32534969228772,-127.00135650577953,-11.22639308144406,-1707.681592670621,-18.303612145920567,-25.461121435823863,-4.3855700418719445,-26.433796708332007,-45.06647902452108,-33.12912596656953,1795.3157933212403,-61.0067498221482,-55.517799885596155,-14.216267348629152,237.25574966836103,-25.19328324761056,-29.934101636773892,-180.88469606574319,-72.21720270926738,-21.156369285982795,-46.91605503887264,131.7236529734848,196.37573619140076
24.0,274.79999999999933,362.98485567331295,-155.73599138442108,-297.10794117498494,-307.10497018583584,-25.932935075121947,-3935.2963055569494,-29.629626782559065,-58.89496834246396,-12.036738794254969,-46.32048214457595,-108.77987291554547,-76.91463501679841,3716.872041856092,-141.3115882856258,-128.63202179096808,-32.8386915232867,591.9829283706224,-58.195587688325894,-69.14703745273461,-447.07407871517177,-181.55934967177456,-49.25805685998149,-108.763153041656,333.3159389600397,453.58054062342944
36.0,277.1999999999992,637.839118050805,-270.0529927286295,-539.146092176595,-546.4066536331768,-43.389684727748964,-6637.534403210342,-23.37572554024831,-96.48833999666604,-24.011464969969904,-49.50635503175165,-191.49046972775488,-129.66623122202517,5500.5352812120245,-237.41139221731783,-216.19634788821548,-54.942252649964225,1087.5501908974622,-97.36818407620403,-115.69196850077824,-812.6555309758274,-331.762624575294,-83.39360105367926,-182.95517345007204,619.4816867149246,758.8010832138191
48.0,279.59999999999906,986.4692536146638,-403.31878780686037,-849.9612515237595,-849.3339970211947,-62.55513351060601,-9723.175207974755,10.236606715454881,-133.08270266790245,-40.98432963559259,-28.963862398154355,-290.0584480898362,-188.70748224996274,6869.559101585717,-344.04321486525004,-313.45697354004443,-79.2073958972761,1735.9390663053202,-140.3731616516508,-166.7912997081609,-1284.596469530552,-520.6987991744808,-121.99767926273462,-265.5372197421242,1000.9049580512172,1093.767349410806
60.0,281.9999999999989,1410.9379140432861,-545.5054968212343,-1227.5989178603618,-1216.513103770785,-82.43244921273039,-13104.867991655745,76.22295918879902,-164.5814225585542,-63.057814019729236,17.747490516572277,-396.26124018325913,-251.346846070261,7621.6112314300135,-456.0400648913313,-415.734254404108,-104.37152020034074,2534.6223079017745,-184.9732376049882,-219.7868526679595,-1862.3696852023352,-742.0461529235662,-163.44200857287342,-352.5938141648251,1475.7608362272833,1440.9996086908623
72.0,284.4000000861052,1885.1141929076548,-679.0066789113691,-1661.2540313426102,-1556.9542826399902,-101.2986267150678,-16622.043684627108,165.74693820666195,-186.1436052816655,-89.85353626774175,83.39926702925442,-495.60912746412697,-313.13156256313454,7582.5735260868105,-564.6714597639452,-515.1404870398733,-128.25543646476027,3470.602275923634,-227.30442251883463,-270.08647325993024,-2529.802998154332,-973.4459791660573,-205.1099326532373,-437.5538030237555,1931.118438144465,1770.3834504906804
84.0,302.39999915262547,2458.120365136814,-790.0771563882092,-2084.92784940684,-1906.7611692747091,-108.69123603162751,-19759.60126772729,274.7482263009948,-161.96870192852654,-128.85215860137976,197.70190474702045,-595.0512674719212,-342.58353728773756,6512.8577801732135,-611.9884208685273,-558.6498221166955,-136.1104087763544,4505.75511364845,-242.42641623455341,-288.6393292661038,-3183.90998362863,-1147.4918080533414,-227.48899562676667,-477.4268164243566,53822.019180602976,1799.232833286054
96.0,320.39999915262547,3123.738499062504,-926.1752375819334,-2496.8264794166084,-2330.3001905336573,-115.53837116858635,-22881.254777517803,405.05070556244647,-133.04695599535583,-180.44303198206674,332.28202158350007,-720.8308376648612,-369.9593076136271,5213.146281336221,-655.7843772179907,-598.8694537456557,-142.99852245218113,5516.205815745076,-256.05527377500476,-305.52533771005494,-3806.2221207298385,-1336.0636028824913,-248.52226815145755,-514.7997603105418,115201.31274256889,1804.7454244690464
108.0,338.3999991526256,3839.7063780379303,-1073.4293802862583,-2891.706104781951,-2776.663105272141,-121.71247715210588,-25970.652175648655,552.2972093078523,-100.65739418381378,-239.2321367593527,480.34015585855457,-859.0520501054328,-395.34256497112693,3832.4366130588733,-695.8977881750784,-635.7282522639437,-148.97700382582082,6455.516696939452,-268.1178909019017,-320.5726565849648,-4366.17847630729,-1531.9981570949426,-268.3116870833363,-549.4047641334646,178545.12658996525,1791.1173888270864
120.0,356.3999991526257,4579.044670666775,-1226.1612116081235,-3266.695819752146,-3232.995326299838,-127.32519077717232,-29054.258204947982,716.8294877945766,-66.53734936666496,-302.5759003108072,643.1749259287997,-1003.7632301512415,-419.0546369316017,2524.320988381513,-732.9471405457331,-669.797941336043,-154.24821531242193,7301.103352651852,-278.9242230382725,-334.1258730940013,-4853.451478464779,-1737.7866920963497,-287.026678387539,-581.6459074525093,241757.33556603346,1763.305048854389
132.0,374.3999991526257,5322.8824923848715,-1381.1948726932492,-3620.577128116924,-3691.1797156557154,-132.46068986272323,-32168.821963316495,904.1820678132842,-31.827298030425133,-368.9537173165349,827.265605136272,-1151.5994590263222,-441.29995302468166,1464.1184517618226,-767.3561627590122,-701.4651182673991,-158.95015746801818,8070.493101368994,-288.69377344553806,-346.43359628154525,-5297.886978577764,-1960.7573640989704,-304.76498751777785,-611.803015239311,303759.0171392682,1724.8732443877275
144.0,392.39999915262587,6058.259155965427,-1536.4431763770415,-3953.4847185549816,-4146.249415229047,-137.17885325533163,-35339.56378500708,1122.1549092534979,2.726308598367227,-437.38436518334316,1040.8697620546006,-1300.3490680680911,-462.1977453315427,775.9055862504947,-799.397279146781,-730.9746952930027,-163.17242047757875,8779.881368786719,-297.5743281130272,-357.66607510716,-5727.188716610614,-2209.7419396194196,-321.5745753607954,-640.0565915512609,364077.5600369878,1678.318829234371
156.0,410.3999991526258,6780.502829823225,-1690.5589319815278,-4266.5881518793785,-4596.516524343786,-141.53318302249286,-38547.13853120685,1372.220516424234,36.605084390939524,-507.00136670511375,1285.3279860878388,-1448.5662774579735,-481.8551680839504,438.2652393161959,-829.3109812465298,-758.54119320288,-166.98422301376496,9435.421439075377,-305.6873816822897,-367.9670966640379,-6150.766649096427,-2486.5565104471357,-337.50474683711775,-666.5781878285316,422663.12328429945,1625.5732484519574
168.0,428.39999915262575,7491.765438777495,-1842.741406174186,-4561.706078606853,-5042.1561206441875,-145.57389421300059,-41733.26276848989,1645.7918788022719,69.46717106802241,-576.8995325331738,1551.7217158147507,-1595.3638937212695,-500.3936783353168,313.11870837297937,-857.3421700611052,-784.3844705753439,-170.445326613073,10047.387036568998,-313.14189341766695,-377.46761067821103,-6570.7515505555775,-2782.7107535846517,-352.62546623096927,-691.5543393191725,479647.8994933726,1568.234078355891
180.0,446.39999915262575,8193.985067451413,-1992.4061884958671,-4840.919051461868,-5483.173979914317,-149.34516933997034,-44848.816366852676,1932.5813888019152,101.11872881843478,-646.3265469128078,1829.7345774775288,-1740.0830171523437,-517.9250097293253,280.62694214322795,-883.7107494720326,-808.7022232385542,-173.60695562588552,10626.637564673356,-320.0324098917563,-386.28179090293884,-6987.3651219140675,-3088.2603956507132,-367.0038915692445,-715.1552495842908,535194.8916983907,1507.6242683014082
