t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,273.8279999999995,152.97519690570172,-65.62507680953279,-120.3837762065558,-127.07651143078822,-11.240175824735731,-1710.1851684015453,-18.430013345963083,-25.557015343607215,-4.715974719344228,-26.430013406661025,-45.26938546947273,-33.16749088177193,1800.037499953608,-61.07659934936054,-55.581730060454106,-14.233622673090172,237.55340163523832,-25.22483626524319,-29.972818856401524,-180.9687080277257,-72.34429049786512,-21.17747833060712,-46.96782654614586,107.02250306051768,196.62976797344302
24.0,277.65599999999966,364.51046044910004,-157.07756168998685,-297.55926408822114,-307.73338991283487,-26.019360474319758,-3948.682006252262,-30.189664419117168,-59.39581040082021,-13.573799618162228,-46.2618429920323,-109.9574517927201,-77.15188429006072,3739.7787905986975,-141.7565027443506,-129.03675742311577,-32.94788567294746,593.7923165156989,-58.39111541336386,-69.38246853288864,-447.7339731922109,-182.38295453825478,-49.396653418137085,-109.09761721284066,271.29744464720363,455.12526519673486
36.0,281.48399999999975,643.7409751149752,-274.3512450023147,-540.8163218076326,-548.7744052699945,-43.658321818637184,-6675.127545228624,-24.53959992523162,-97.85316269066016,-28.002707454054583,-49.068664157787964,-195.28833718778216,-130.40831587363633,5558.170419051549,-238.80760381629608,-217.4650843280978,-55.28195349265423,1093.5385048190972,-97.97396277315939,-116.41754464696146,-815.1109753183634,-334.5710661261785,-83.8371158323872,-184.01054916873431,505.7438237052147,763.5614082158529
48.0,285.31199999999967,1002.3909473499239,-414.06007556114304,-854.3936548227152,-855.6588438570309,-63.163453510121194,-9802.714595651021,8.873614868824182,-135.82690183842644,-49.05881024712503,-27.15032717448407,-299.6756775623366,-190.399453282468,6976.904738088314,-347.2247044331814,-316.3473093892118,-79.97685438108125,1751.1653147032587,-141.74296449342333,-168.42832934405533,-1291.1562993675527,-527.8738726317926,-123.02132953020428,-267.9493517570894,821.3461475079237,1104.505705853509
60.0,289.1399999999996,1446.5864723459615,-569.0459348354956,-1237.3696358660006,-1231.7168864665857,-83.59922691958033,-13250.078351998965,76.3800281004609,-169.15624394246763,-77.19267409897802,23.159710414803282,-417.65576847081496,-254.60122113112007,7789.670873495477,-462.1603211437663,-421.2933333646335,-105.84740951952962,2567.9629509914116,-187.59823929477326,-222.92003564089646,-1877.0989882009214,-757.7336859700456,-165.4230943445749,-357.2413237506489,1222.8901362419256,1461.5461675463084
72.0,292.96799999999945,1972.2407154479602,-727.2381991120455,-1683.021065243089,-1668.7558572156197,-104.14478621590271,-16948.883512546185,177.4056786174832,-195.42230065083913,-112.23427212380663,100.60663540559585,-538.6443599801547,-320.7158314203187,7879.249965119528,-579.2789644709227,-528.3689119457267,-131.8546137092387,3529.335797642168,-233.69801207122737,-277.7039010346807,-2564.7538652269864,-1015.6822626396643,-209.62029501949243,-448.58086801653786,1690.0910330897095,1820.2992306625476
84.0,296.79599999999937,2497.5641398254647,-866.6885144314728,-2166.0385269809817,-1866.5740961643066,-121.2297839358821,-20521.09465411743,276.3416086517128,-205.66105017729473,-153.63219978236998,180.380772327226,-647.1558823375444,-379.8300942264017,6962.292515622291,-680.8103355720415,-621.5484901958142,-153.48513840973038,4608.5675915922775,-272.03604962809095,-323.2612768517551,-3294.7720920079655,-1245.5664924455484,-250.50925120616134,-528.6714386375453,1975.033268640485,2118.4179611839822
96.0,300.6239999999988,2964.948411954369,-973.2221933048314,-2655.521897758033,-1963.7771747741906,-136.01948215732224,-24102.37726818677,362.783530307975,-211.40511047202787,-199.31489280494043,262.97876421521306,-726.9065493642305,-433.91832629952125,5132.633007232832,-771.6190059071761,-705.1272413857984,-172.21155633290928,5314.716718343833,-305.22500577556264,-362.69867215293436,-3630.8832269267746,-1458.1119460796815,-288.8209051984144,-600.9179460315733,2170.932173455343,2376.251168738256
108.0,304.45200160207645,3369.036601980909,-1056.6283394473703,-3107.8038779875574,-2062.0515960836606,-149.8253001443697,-27961.240109242317,445.2269072103194,-220.0556623823433,-247.77045691109115,358.59227600869184,-785.3109631457861,-485.9747531711822,3032.7666639784798,-857.9542468786517,-784.7134336102081,-189.69337855721795,5736.791405934029,-336.2070057037232,-399.5127999785718,-3723.8959744584586,-1675.030291780705,-326.15043281398124,-669.9247049727671,2321.865792357539,2616.7397628203676
