t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,270.9720000000001,152.6152543658918,-65.15463901828942,-120.26323665273962,-126.92303609616431,-11.212056328124271,-1705.0846301460294,-18.176602451978603,-25.359249830276884,-4.035350526786866,-26.44738055135826,-44.85519467393548,-33.09127627010189,1790.454195148595,-60.93123940486692,-55.45118902789785,-14.195802257432183,236.9514232820971,-25.15784061922037,-29.901400352131418,-180.79310541675542,-72.08799234970563,-21.134978866519518,-46.86093053256507,141.60045693919255,196.1174024499937
24.0,271.94400000000024,361.3765690657173,-154.2934068443438,-296.6374265588907,-306.45042418019557,-25.84304290478096,-3921.4234467551287,-29.070513052581322,-58.37190702041853,-10.324194901194707,-46.433805245560244,-107.50604533439603,-76.67374529844619,3693.2055851187415,-140.84227667984013,-128.2114338229097,-32.71902721004858,590.0794717988825,-57.98560570370457,-68.92130478580462,-446.3793716619456,-180.68230896754457,-49.11598749966508,-108.41270487030238,357.56453722058217,451.988948131861
36.0,272.9160000000002,631.4445960855363,-265.24424134105203,-537.3969758547555,-543.8858969318164,-43.10706440960576,-6598.277165803467,-22.263018180020254,-95.07151156152203,-19.38314669997588,-50.16677251340997,-187.20451627813281,-128.89903719532998,5440.55198432806,-235.93277129713323,-214.86474910989108,-54.57359464641613,1081.0828018375412,-96.71869805429928,-114.96425047014169,-810.0657491667275,-328.6674103461149,-82.93326688074156,-181.8424219099274,662.0345123671323,753.8223018836112
48.0,273.88800000000043,968.5895252433971,-390.7189260155414,-845.2529638747116,-842.2606842151206,-61.899308421979306,-9638.675433533283,11.270233926415207,-130.24567537774004,-31.340347884136598,-31.500135791379623,-278.663665700123,-186.91446374188143,6756.338580038108,-340.6062545094555,-310.35486557614604,-78.35977332216936,1719.013715451416,-138.87708298216222,-165.08419818310395,-1277.5698897816899,-512.4783072139284,-120.91275441405249,-262.94111351662184,1061.984023881842,1082.2422196801988
60.0,274.8600000000001,1368.5425021750818,-516.4003514247919,-1216.813385021063,-1195.4166243718473,-81.07696238828892,-12941.15462071179,74.5199545104752,-159.72787245622297,-45.8517531349299,10.2067879737905,-369.6352260473189,-247.65650549040876,7435.5746253195875,-448.96166720635694,-409.339244406054,-102.63082526083397,2496.65556487358,-181.89672152386257,-216.23330058533043,-1845.8688025935717,-722.710921960747,-161.2094967136009,-347.24163767375796,1538.3832273099601,1417.2260356244763
72.0,275.83199999999994,1758.543279201401,-614.4203155630563,-1630.6672463618877,-1344.6500329930566,-96.5631482338853,-16091.549192324072,141.130787307585,-172.61852073470885,-62.23571551725773,57.73432378765334,-439.6217005366388,-300.89435425085,7096.63965761113,-540.6502366432704,-493.45959716141783,-122.23435081532705,3406.9885969224392,-216.64056776248097,-257.5349792682944,-2479.7318026320672,-906.3265054540964,-197.93522610712287,-419.5005859671704,1822.4687991825006,1687.5679558177287
84.0,276.8039999999998,2077.8208864862195,-670.7655220805324,-2056.8849472174447,-1369.109024548504,-107.7888646807119,-19078.39927547943,197.26706000894015,-175.5226185248314,-78.93315621383412,111.84787903120859,-475.64251211913256,-344.25516584670265,5870.172766705534,-611.8850359844291,-559.2076247308297,-136.44764493038699,4273.79641940283,-241.82928333185296,-287.4727270075876,-3030.393045023243,-1059.0876244718138,-229.32507001105458,-476.6477081672311,1959.7065946236796,1883.2918149456273
96.0,277.77600000000024,2342.6607326873095,-701.2482643529639,-2465.134220696897,-1394.5001514155008,-115.39605926456683,-21941.58877229889,252.88811634226272,-170.4639573525073,-95.21079281366322,176.86816173015578,-492.3511376849507,-380.08418637794574,3706.12859462662,-666.6036303153876,-610.2078336040698,-146.08041053298604,4644.141114743064,-258.8997717036556,-307.7598483695666,-3078.2585065094872,-1190.953003014936,-257.0413360758092,-521.8185107663551,2029.268105388847,2015.6119276292404
108.0,278.7480001460367,2545.3245774884244,-723.5421953108917,-2815.0455129906372,-1420.7494356293184,-121.19108444984123,-23765.68430169877,437.4203742111167,-163.19413677265504,-110.94692946633927,376.05620738052784,-504.15166633830586,-420.13422982937743,-513.3873027134546,-721.0436688811765,-661.8151647864158,-153.41895159025293,4824.22890606897,-271.90430358384657,-323.2140169383322,-3101.538626190542,-1441.0664336043415,-290.9109794229712,-568.9846694700725,2071.366302099655,2116.1420076967947
120.0,286.0440001460371,2654.439515106677,-771.2985283375539,-3070.7435321248886,-1600.9541980730412,-125.92138843329104,-27005.307836883654,840.9686632249482,-159.81634954261108,-136.25398806233184,700.381807204619,-544.1664068854531,-454.2424367836397,-834.6813971091316,-766.499040796967,-705.126946432767,-158.66965774001378,4872.1395407775835,-281.6761941343689,-336.1401660433684,-3263.5315036774505,-1806.6135681644087,-320.3635352313481,-609.3523959929172,19172.37761676249,2088.6090972839966
132.0,293.3400001460372,2862.6164490480983,-844.5849599713621,-3248.864429918802,-1785.0082078886894,-130.08589603872073,-30544.76941227698,1161.3825259146986,-156.21410224914806,-171.81451518912743,894.3853089208952,-610.6992962057717,-486.8750078567421,-756.9481757601188,-809.0914733172123,-745.8448930141775,-163.2366048024564,4972.392729578177,-290.21572230746307,-347.5436653018195,-3439.806880807464,-2036.879246966941,-348.9266469136244,-647.5297470063541,35513.749047885525,2049.2675617519444
144.0,300.6360001460371,3125.077941536734,-925.4173654238981,-3382.2054794178975,-1967.9194140858838,-133.55258290144513,-34061.25344459184,1431.6682810390182,-151.28686941382162,-213.1498910805804,1072.840531515767,-685.9541869427835,-516.8250966853677,-693.071764753154,-847.3110210041085,-782.5131360904871,-166.99846115386853,5094.321160076454,-297.2789079878493,-357.0531237461528,-3616.056126406383,-2245.4994415984856,-375.5101366016795,-682.119797135663,50036.22224432796,1997.5017690436648
