t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,270.97200000000026,152.61782797335326,-65.15672336540744,-120.26049493986814,-126.92718909668149,-11.212182113244749,-1705.0873389056558,-18.17868057619294,-25.3604698273386,-4.035347346432467,-26.443658433071597,-44.85623003653669,-33.092428105178776,1790.4570093506957,-60.93162712713561,-55.4525436530019,-14.196800366215093,236.95126300118963,-25.161919597096198,-29.89782805767898,-180.79485074908024,-72.08480273499781,-21.133098245461202,-46.85935138533342,143.06138101930057,196.1174705005097
24.0,271.9440000000004,361.3820283683506,-154.29862711546514,-296.63059182165205,-306.4607287396906,-25.84337411460822,-3921.4313020663576,-29.07563451214104,-58.37509110497246,-10.324187269035763,-46.42413476256695,-107.50859218227507,-76.6766957074331,3693.2131653359343,-140.84333128091336,-128.21492338701862,-32.72156477324131,590.0788866429491,-57.99593626169137,-68.91232036263978,-446.38388176444727,-180.6746455006318,-49.11126597093071,-108.40877577799078,361.254413963856,451.9893571568845
36.0,272.9160000000004,631.4527238015205,-265.25377660403893,-537.3845866926405,-543.9046401117238,-43.10770991866294,-6598.295491212038,-22.272248886573085,-95.07761054174921,-19.383136253397875,-50.148357684792565,-187.2090433254299,-128.9046068550227,5440.56998559526,-235.93491091322366,-214.87138134986668,-54.57833375833395,1081.0814161521657,-96.7378975670157,-114.94770174844138,-810.0744029924871,-328.65401463703023,-82.92459745044789,-181.83529373587822,668.8687659568641,753.8236224171978
48.0,273.8880000000005,968.5994557789681,-390.73370793633205,-845.2336181684611,-842.2900165689595,-61.90038055526747,-9638.710638653369,11.25588449299316,-130.2557045875914,-31.34034125867714,-31.469757256528037,-278.670347592465,-186.92355137578227,6756.373023153821,-340.60993085917397,-310.36573078145915,-78.3674217351626,1719.0109856738147,-138.90796353632717,-165.0577497386691,-1277.5842948474829,-512.4579797095595,-120.89896171900862,-262.92987730759876,1072.9506067457314,1082.2449770956923
60.0,274.86000000000035,1368.551382907034,-516.4199761153703,-1216.7860368271836,-1195.4549494579824,-81.07848223536712,-12941.206517068098,74.49944191710397,-159.74248650751034,-45.85175855936542,10.251952160528075,-369.6431771878805,-247.6697073886026,7435.623804912926,-448.9669478836149,-409.3549550231032,-102.64186268819172,2496.6507206677607,-181.94138034726294,-216.19489892516032,-1845.889914057048,-722.6823419246996,-161.18958976316586,-347.2253577604364,1554.2669898205152,1417.2294493633085
72.0,275.83200000000073,1758.5317233769827,-614.438011729079,-1630.6333834686786,-1344.6500483241307,-96.56426976306045,-16091.546177531225,141.10231510943737,-172.63454666331873,-62.235708721032104,57.787604217266676,-439.62679545765207,-300.90854164678933,7096.640831860472,-540.6533551564966,-493.4754029161496,-122.24656793155418,3406.983115844789,-216.69195048317428,-257.4876759260808,-2479.751973080497,-906.2864606487059,-197.91091476004615,-419.4790134122244,1841.245114928911,1687.5601435886242
84.0,276.8040000267789,2077.790541062058,-670.7801542563976,-2056.847694131332,-1369.1088592876324,-107.78968239285878,-19078.378394673608,197.23522488707323,-175.53990111561427,-78.93305796276951,111.90826417096163,-475.64429702219405,-344.2696547347441,5870.174765814387,-611.8866584897373,-559.2230795619057,-136.46029050292722,4273.7745903683945,-241.88366405162236,-287.4208262489484,-3030.398741278398,-1059.0442448660165,-229.2985752153637,-476.6232675078929,1979.8892952412282,1883.2766279157277
96.0,305.5080000267785,2576.0540411035627,-777.5916982240389,-2470.239153748036,-1791.4114759018603,-115.42630174885761,-22465.854050569782,302.7887362769357,-159.49796905426797,-117.27882805738336,237.84648945740514,-571.279417291403,-374.06695141691995,4767.081996198963,-658.7122611942099,-603.3867016082806,-143.7955721736123,5151.553421829486,-257.61122952507617,-307.2007021532168,-3540.541577215006,-1247.2730752531616,-251.0962551790723,-516.1740881020913,65118.64196561582,1896.9929232307386
108.0,334.2120000267788,3257.060532395246,-936.1735212123783,-2876.7675905957153,-2294.4893026722393,-123.06306765402711,-25936.098572566934,443.14210172107727,-134.2271787358627,-176.9435679914457,390.8483185314408,-719.293861723619,-403.12754756553255,3767.3164608522598,-704.357121887746,-646.6154702231656,-150.59439898079344,6147.371635312098,-273.0149036224776,-326.8468087321606,-4146.328219307145,-1461.4592658913073,-272.19061832088073,-555.0750331720526,142751.04387263223,1895.5792029949564
120.0,362.9160000267789,4027.02916388278,-1111.1159349617355,-3273.8869342971893,-2822.8205030304457,-130.14770852771323,-29397.451586490803,608.9115469394762,-103.71389867664121,-245.8366048102287,562.2246569121291,-884.7908439045684,-430.63824383658874,2816.3116533873654,-746.9919998870993,-687.1534264799079,-156.58642913940895,7156.232910630872,-287.1144531356354,-344.99372232497683,-4769.589161141201,-1688.9433723756233,-292.3307298442584,-591.7655383251223,223285.15129658024,1877.78692326308
132.0,391.62000002677877,4840.295724806094,-1292.9212270873923,-3660.7270024650616,-3361.1007570084603,-136.7146844027876,-32865.27520535793,800.1748080733394,-70.74185048579874,-319.728289471618,754.5665378454809,-1058.1214253211426,-456.6543714303648,2021.6262088094925,-786.8225801849492,-725.153556244752,-161.89353456825657,8150.236680870991,-300.03448114744407,-361.752891988613,-5396.119616062454,-1932.7809983600812,-311.5302746720957,-626.3306143426034,304608.3206174332,1846.8808255697575
144.0,420.3240000267785,5670.976588547139,-1477.0232613945257,-4036.941739811615,-3900.1238869530357,-142.81815429867734,-36348.167585740455,1018.9258688014627,-36.77300746063181,-396.4930397062304,971.1234190378023,-1234.5761285967917,-481.2668134097608,1455.9767992056536,-824.1072465020715,-760.8294981569773,-166.62417270357355,9113.512486542639,-311.92062424186815,-377.27870577778305,-6019.43425448847,-2196.780232454976,-329.81987524584326,-658.9212044427017,385644.11600776616,1805.686891971024
156.0,449.02800002677867,6504.6098204822565,-1660.8098152098855,-4402.463127199602,-4433.946104952138,-148.50672758388964,-39833.48770573246,1264.820879786813,-2.6464979701768354,-474.7636265840006,1212.0372710085162,-1411.425881549668,-504.568025063011,1123.0338076827913,-859.0801820434287,-794.3800400908162,-170.8652915952047,10037.928764335917,-322.8973148899385,-391.7071327209397,-6635.6689414862685,-2481.5629807451933,-347.23855084921934,-689.6853482198734,465707.17454483116,1756.5274495327642
168.0,477.73200002677896,7334.071637110206,-1842.6920354575539,-4757.3610520832335,-4958.794784424485,-153.8221835723667,-43289.26383227063,1533.1336879303253,31.130123180644784,-553.487881700454,1472.7558915531704,-1586.9860760259933,-526.652237255101,965.6421135045856,-891.9540210480118,-825.9892818858282,-174.68750397741906,10922.486710572934,-333.0690135204819,-405.15400738941423,-7242.166202114358,-2782.9810478470968,-363.8348619788001,-718.7657156879142,544319.6613310637,1701.3143402760859
180.0,506.4360000267788,8155.5177962959615,-2021.6323478114364,-5101.761607196984,-5472.119739543042,-158.80037113508146,-46681.33251943438,1816.8713762918112,64.2473634676413,-631.8358383356957,1746.5031834483132,-1760.139716055061,-547.6090236469947,913.6371645979788,-922.9179341740228,-855.823016749122,-178.14898497225445,11770.055058050719,-342.5238940580439,-417.7181184105028,-7836.930409252503,-3094.600021458178,-379.65934559033593,-746.2938336886971,621136.7758319173,1641.6224888540198
192.0,535.1400000267787,8965.831465645082,-2196.887382922623,-5435.802241133936,-5971.981315877447,-163.47187196942198,-49985.61605297025,2109.675525388083,96.51870014766101,-709.189078833557,2027.262453248055,-1930.077570991824,-567.5163582854325,917.4681805852223,-952.1334796342725,-884.0236236254476,-181.29769659496316,12583.876345461345,-351.33616898089247,-429.4833232768802,-8418.384474991264,-3410.691258394854,-394.7567786784425,-772.3837343122392,695909.3628048033,1578.743381861745
204.0,563.8440000267786,9762.036200610419,-2367.898290232487,-5759.610908440177,-6456.853720674793,-167.86270417123387,-53188.576671065646,2406.762848489499,127.83353447449984,-785.1035366400671,2310.6389660569876,-2096.1862326769824,-586.4399968080543,950.356365533171,-979.7364481305959,-910.7111715955409,-184.17314418346493,13366.31408045474,-359.568191197459,-440.5206408482636,-8985.253742933139,-3727.102406478311,-409.1647549274937,-797.1320602320205,768460.5438445371,1513.7320509340723
216.0,592.5480000267788,10541.451757622577,-2534.246150395807,-6073.299977512709,-6925.590246829195,-171.99512580372405,-56283.44741209307,2704.649771122604,158.12855778930086,-859.2619497465314,2593.5174404625327,-2258.001372569138,-604.4361904814165,999.3746430922159,-1005.8420829268392,-935.9879645492754,-186.80801071180034,14118.96156549574,-367.2726300563866,-450.8905483166993,-9536.50863948235,-4040.9232348272008,-422.91550308075114,-820.6216658145306,838669.0679727668,1447.44925039441
228.0,621.2520000267791,11301.850529835865,-2695.6263330344827,-6376.968079606405,-7377.397533946859,-175.88836238153522,-59267.2188353329,3000.7282980512114,187.37083456741075,-931.4375623894432,2873.6137985192704,-2415.180269615214,-621.5543556936386,1058.3585147074232,-1030.549929597964,-959.9428284642516,-189.22952949532254,14842.971739329421,-374.4943767594436,-460.64503397043626,-10071.335532138795,-4350.044712280021,-436.0377522484146,-842.925106946591,906457.1248905407,1380.5958823852934
240.0,649.9560000267792,12041.483647281726,-2851.8269243130817,-6670.705483263214,-7811.789186791773,-179.55927015249372,-62138.97278246047,3292.977418153593,215.54745343168761,-1001.4693539939907,3149.1857150812493,-2567.4786367342285,-637.8390847210602,1124.1940420403423,-1053.947785554445,-982.6545752659762,-191.46067647807357,15539.27797326229,-381.2722458060651,-469.8294539778763,-10589.114864932048,-4652.876118045848,-448.5580131655928,-864.1074093102017,971780.834596621,1313.743365738878
