t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,272.3999999999994,152.79642546776944,-65.39257593224106,-120.32192348344581,-126.99984987639539,-11.22651393684398,-1707.6832309322388,-18.301188751497993,-25.45864890330743,-4.385569063138001,-26.439586300720638,-45.06743780116101,-33.128352764868794,1795.3183048440576,-61.00624067602775,-55.516308075680904,-14.214491235745427,237.25572737174315,-25.190718699009523,-29.939795656534308,-180.88729367062416,-72.22118915290419,-21.15734544777979,-46.91734739424904,130.55405521417427,196.37562338223984
24.0,274.7999999999995,362.9794580312149,-155.73167187705434,-297.09920191935436,-307.10128136929217,-25.933221554778605,-3935.2985230112067,-29.623524813111867,-58.88857611003309,-12.036736703767843,-46.335326033900785,-108.78226394662396,-76.91262660348772,3716.8765951315145,-141.31020003983988,-128.62815646046616,-32.83417277669066,591.9828856684676,-58.18905497162811,-69.16139412194852,-447.08050162520976,-181.56907334689396,-49.26049565584905,-108.7663475635449,330.35516659413844,453.5799176164667
36.0,277.1999999999996,637.8310842121862,-270.04461697977996,-539.1295044806761,-546.3998478967552,-43.39015649053814,-6637.5307982445875,-23.36450211502486,-96.47614719759554,-24.011449937949987,-49.534369729194076,-191.49467546347836,-129.66232547543513,5500.535050428275,-237.40848844816415,-216.18887005648753,-54.93377768878717,1087.5497383638979,-97.35590676736359,-115.71848911128598,-812.6668216229784,-331.77973663510306,-83.39802523236811,-182.96086292845413,613.97510942653,758.7988659836758
48.0,279.59999999999974,986.458449812123,-403.3045749315428,-849.9339902207118,-849.3228579012256,-62.55582031352436,-9723.158632070594,10.254217697919108,-133.06271083959186,-40.98428455233457,-29.00982083378725,-290.0646995197028,-188.70094039033617,6869.548062134589,-344.0381046621797,-313.4445099132614,-79.1936075434585,1735.9376474840635,-140.35315608107948,-166.83394814287513,-1284.6136323669266,-520.7250899687422,-122.0046764294759,-265.5460881266992,992.0010775767199,1093.7624517055472
60.0,281.9999999999999,1410.923821520016,-545.4828639588253,-1227.5581179231297,-1216.4969646235247,-82.43339439178496,-13104.831734319338,76.24778824691721,-164.55183750587634,-63.057691767749965,17.678479251132725,-396.26890225822234,-251.33694582407537,7621.588164368769,-456.03210805129476,-415.715488531127,-104.35110511542237,2534.618099144426,-184.94358976785716,-219.84955463669257,-1862.393186191941,-742.0830750562707,-163.45214239306137,-352.60655210403445,1462.6263486374808,1440.991211093815
72.0,284.3999999999998,1885.1021321756664,-678.9746758513429,-1661.2014277711219,-1556.9534891754356,-101.30005580317673,-16622.009526593185,165.77908954669374,-186.10578417272546,-89.85330425862657,83.30805425526442,-495.616419542011,-313.118923140111,7582.565619673567,-564.6618407435907,-515.1166296470103,-128.22896515139146,3470.591043584189,-227.2660575344796,-270.16903534852696,-2529.831924335857,-973.4950750087522,-205.12330424431417,-437.57102352850626,1913.943244373863,1770.3758216284382
84.0,286.80000000000007,2305.6616110748505,-777.4569143043636,-2117.9690386225907,-1618.0329033374965,-115.4757718579659,-19875.37101915303,238.8648847552236,-191.8576968047234,-120.01928414611642,145.7548922571571,-568.436507565514,-364.48748056109457,6480.207502352385,-651.2313782028568,-594.7535680701673,-146.17571565425945,4470.512262814643,-259.07222305702,-307.97480019632894,-3189.742426770857,-1160.5102638714516,-241.37736284711409,-506.35268388403153,2121.490099230231,2017.6495704501522
96.0,289.20000020548787,2659.4112067872006,-845.6644080004552,-2573.700638991167,-1679.3629885793707,-127.99266942276306,-23244.02806732614,305.6086684740184,-197.4144625187325,-151.98743292216395,216.27506986696972,-613.9836544271565,-412.12441369869555,4622.352930331114,-729.9503319602383,-667.3513836722752,-162.02326237598163,4975.303081280495,-287.15750491433033,-341.35622115242853,-3355.0511931313363,-1341.019573917091,-275.6678581884719,-569.3642397811656,2284.4674494909773,2235.769941585072
108.0,307.20000020548775,3165.1060159522954,-942.681712600824,-2982.94668730653,-2094.094863419001,-135.32921744138304,-26951.16733863197,420.74402747836075,-179.93800933329604,-196.48546875175904,355.10973239144096,-700.4741178405382,-442.28918078955365,3087.9968112153288,-777.8487326601509,-711.1299727457847,-169.145928586272,5709.130065156059,-301.14908199008335,-361.83415746031085,-3732.766362180662,-1542.6087770240852,-299.49191247909135,-610.5451318957846,51477.6993327598,2232.672731067925
120.0,325.2000002054873,3800.5089387844173,-1085.626246262375,-3352.369401187108,-2552.4880531714657,-142.2479804901139,-30732.197270773224,567.9700907138792,-153.2726786424672,-256.7060197265518,519.3266406711562,-833.9639416067358,-470.82368898819226,1797.465200941079,-823.0238948127768,-752.3286541421651,-175.4913708659906,6486.309831220307,-313.92012309892255,-381.3024340458409,-4164.220340829132,-1765.7122824946027,-322.30104966607155,-649.8123542139183,106292.92340656821,2213.065850571039
132.0,343.20000020548713,4489.119316717928,-1244.6931515723738,-3684.092862308953,-3005.8824185915823,-148.32498419297897,-34549.423331756305,746.2638426814851,-121.02354068395866,-325.88456901512143,711.5452682030893,-984.9422350852215,-497.13975493776286,844.8180832629399,-863.9181060315408,-789.6885031610262,-180.89513682714644,7227.349422788683,-324.9439153151643,-398.4735760166281,-4595.442134419198,-2009.5165049682353,-343.7044013226991,-685.7123754635065,158284.9710601019,2176.3068722494077
144.0,361.200000205487,5197.7417937976825,-1410.563746433815,-3985.611899150556,-3456.5162204179137,-153.73412003075666,-38430.07670761274,963.0630941822413,-86.38024837735554,-400.6926935709637,941.5598735720549,-1143.8130185621926,-521.519181068966,338.88727634473673,-901.2383799543452,-823.8242515727381,-185.54789683216922,7917.58392981032,-334.5770029384826,-413.8237538532965,-5025.646183850088,-2285.3207379382748,-363.81853291448755,-718.7678839165175,208124.59683437258,2126.546434116401
156.0,379.20000020548684,5916.9984489644785,-1578.9987734770073,-4265.2337428507735,-3905.5864249891315,-158.6197412777243,-42318.107407470816,1214.4470110711736,-51.12829381536424,-478.8237838168206,1205.107340065092,-1306.1177208010188,-544.2358645798612,148.8697147017828,-935.609682719961,-855.2821581376021,-189.59937864780338,8561.105510948497,-343.1056107784466,-427.7518547633261,-5454.6866981793555,-2590.1045477159796,-382.78602567055515,-749.4606607749641,256562.51252725162,2067.133289955037
168.0,397.20000020548696,6645.201076683825,-1747.727233529661,-4529.688708166629,-4353.451208238294,-163.09216902587235,-46139.25741672376,1489.1437343165185,-16.25237459564332,-558.5249182033033,1490.0912761533307,-1469.4157323579093,-565.5280780944153,90.44494196967806,-967.5389411088989,-884.5093844141716,-193.16558399855725,9170.681286806788,-350.7502783769475,-440.56206340971397,-5882.399906843042,-2912.7225565974713,-400.74371839549,-778.1863968104725,304136.78561405936,2000.708322267626
180.0,415.2000002054867,7378.863096110166,-1915.2533976731213,-4783.566934695748,-4800.173531520482,-167.2356642800217,-49857.945659835445,1779.3975222286444,17.72183399917599,-638.6107042918644,1788.5456964971038,-1632.0811161806334,-585.5760009972813,77.19551875035732,-997.4116437252566,-911.8458996241578,-196.33563410041566,9755.015709043044,-357.68004399466696,-452.4864902853672,-6308.583661251893,-3245.9355978609165,-417.7939605988862,-805.2450216062265,351246.56135658215,1929.3348103686649
192.0,433.2000002054866,8113.449475457329,-2080.516981821012,-5029.704800930426,-5245.6936726722215,-171.11292428517078,-53462.90220252496,2080.973232801082,50.523226335766154,-718.2807108038567,2096.2710467644274,-1792.9556886045693,-604.5120986114281,83.1757723810581,-1025.5132014399355,-937.5434401777654,-199.1766396756819,10318.511795865075,-364.0215951986511,-463.6975094280478,-6732.986555036857,-3586.085585917059,-434.010760292084,-830.8573670205329,398170.7703111911,1854.6099254216592
204.0,451.20000020548673,8844.801567572988,-2242.759779462992,-5269.75373051992,-5689.829529205077,-174.77024111081292,-56950.672854214805,2390.977783455566,82.02335763235112,-796.9625448759854,2410.422151339144,-1951.207379336513,-622.4377462181789,100.72945013951282,-1052.0581937209972,-961.7920274069849,-201.73939391098827,10863.676831321858,-369.8698876994263,-474.3218688552369,-7155.303802250678,-3930.728136944338,-449.45148110954955,-855.188903326151,445087.19659109606,1777.7757609385455
216.0,469.2000002054865,9569.45510460889,-2401.4326116661487,-5504.629922758225,-6132.256984825906,-178.24216629805665,-60320.187414454515,2707.0085340776927,112.1758889602431,-874.2325674501418,2728.635035383503,-2106.2301924266703,-639.4339789395751,126.803740781882,-1077.2124457779614,-984.7394824459839,-204.06313380486955,11392.204058724963,-375.2973066755773,-484.45361265699324,-7575.17230485335,-4277.799486069403,-464.1634014976834,-878.3672779109276,492098.4811302195,1699.8081164669356
228.0,487.20000020548645,10284.578334956797,-2556.132584095369,-5734.808689222917,-6572.479956205735,-181.55476096239937,-63571.3876798807,3026.9304605203206,140.98254072273417,-949.7740093852436,3048.819133603588,-2257.576596184929,-655.5677837918145,159.67069671121146,-1101.107212466385,-1006.503824386841,-206.17885566792276,11905.346345233349,-380.3600476894805,-494.16308532476216,-7992.163921441158,-4625.43663195366,-478.1870882475968,-900.4933392860798,539250.284366498,1621.4800535317884
240.0,505.2000002054864,10987.850855219971,-2706.5644936171493,-5960.502090342938,-7009.785661735721,-184.727587813251,-66704.80673550045,3348.8089225597164,168.47336729171752,-1023.3514809477939,3369.101189990833,-2404.9157508279404,-670.8958462035205,198.12532096101916,-1123.8477962428558,-1027.1808315532571,-208.11150121261463,12404.069163346134,-385.1022032123542,-503.50238575498554,-8405.77847156496,-4971.938481180961,-491.5582488638171,-921.6476413594349,586538.92794928,1543.4061678318274
