t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,273.82799999999986,152.98283667242194,-65.62559266655738,-120.38706946465763,-127.08038044561815,-11.241322939020392,-1710.325574812338,-18.426332633992672,-25.558979998963462,-4.7158175012345085,-26.42695834220208,-45.270234100616946,-33.16644346858179,1800.212382431856,-61.08199204554391,-55.58569631321661,-14.23481381807042,237.54842471393755,-25.226437150873743,-29.97266593269883,-180.97826254238046,-72.3549490085456,-21.17892610646369,-46.97396429428479,142.60061887005025,196.62966283872478
24.0,277.6559999999997,364.5214482713091,-157.07840888791185,-297.56746877717023,-307.741203996701,-26.02224483578546,-3949.0348778191,-30.17855867723446,-59.40126011785661,-13.573355116948855,-46.25056266755582,-109.9591851791284,-77.14911094578983,3740.209167775678,-141.76999638109237,-129.04664658551113,-32.95087536025693,593.7768463712678,-58.39512077486416,-69.38201813035646,-447.75799083533656,-182.4133023952658,-49.40023037613464,-109.11302908453462,361.48701760079643,455.12458681883766
36.0,281.48399999999975,643.7495413873922,-274.3523454025516,-540.8315992612257,-548.7862338059716,-43.66369553504146,-6675.7785518309765,-24.515519873277,-97.86418142923125,-28.00183337859535,-49.04148183419844,-195.29109549441398,-130.40305472136927,5558.950981041169,-238.83265904379985,-217.48342177388392,-55.28752261266725,1093.5046703823216,-97.98142213748683,-116.4166963617253,-815.1557042458581,-334.6337647541521,-83.84369620069756,-184.0391844662677,673.8751247717723,763.5600866886739
48.0,285.31199999999995,1002.3937065422089,-414.0611930772675,-854.4180991442609,-855.675492683593,-63.172181192426976,-9803.750980567846,8.919083767990715,-135.84580443296065,-49.05733845318788,-27.09792258454221,-299.6794867112769,-190.3907930704319,6978.126413668227,-347.26528051858105,-316.37697525155806,-79.98589937475013,1751.1008819817541,-141.75507987749026,-168.42695304414798,-1291.2284217929587,-527.9839608056998,-123.03189990286135,-267.99574155128624,1094.4036817331444,1104.503567388607
60.0,289.14000000000016,1446.583288832274,-569.0469034925173,-1237.405321253948,-1231.739839619969,-83.61222076801376,-13251.57606682155,76.45746838189578,-169.1855210745301,-77.19046682718795,23.2469468669614,-417.6607460103093,-254.5881722338271,7791.396684143518,-462.22057776687427,-421.3373462258186,-105.86087548127524,2567.8526102527126,-187.61627606533833,-222.9179845564945,-1877.2051359551601,-757.906799262944,-165.43867840810628,-357.31023737367167,1629.44651176019,1461.5429721954706
72.0,292.9680000000001,1972.2320681674282,-727.2378012237426,-1683.0684202885927,-1668.7832449199793,-104.16262448092304,-16950.86447335407,177.52353628198819,-195.46391368921454,-112.23127651962358,100.73436704972832,-538.649719396766,-320.697259750734,7881.45796916148,-579.3614068624205,-528.4289633171613,-131.8730727100692,3529.163264127193,-233.72267096233242,-277.7007469833603,-2564.896043153071,-1015.927626185784,-209.6414230985945,-448.67542494318866,2251.9637113737735,1820.2927254549193
84.0,296.79600005995,2497.5321979655196,-866.6841697824769,-2166.0878957631408,-1866.574199111701,-121.25009707024745,-20523.236562605212,276.4709748501816,-205.71223792009516,-153.62879041110256,180.52490254352753,-647.1592292564484,-379.8065762146283,6964.564079203964,-680.9035396752561,-621.6157887558169,-153.50603594523506,4608.337788289778,-272.06367155094017,-323.25617184358055,-3294.9087635708047,-1245.8434093067065,-250.5326934502706,-528.7794669286343,2631.6001316886627,2118.4010670353105
96.0,304.0920000348335,3042.554581568769,-958.644819735471,-2614.901932474984,-2044.227761351685,-127.39651119003406,-23725.3020635244,378.79877560584947,-176.66448595179344,-199.76544780932136,294.5861235992278,-728.9711491583765,-408.2047486082047,5036.712851167566,-724.4643027985733,-662.0369658636016,-160.2410487525983,5431.356789575168,-284.8354459868222,-338.5961644186456,-3701.060496837766,-1410.5228057316108,-273.18272545789375,-566.144864295315,38337.349693825854,2114.0676648816784
108.0,311.38800003483345,3581.97278650874,-1049.3318706729574,-3014.5722523914983,-2229.080907764872,-132.58718264572477,-26871.985278184187,483.5215919688175,-146.08239229810613,-248.84827147181727,414.88305727978053,-811.1720735022623,-433.88498740483493,2959.4044149524166,-762.9407272468659,-697.8504196491524,-165.83848857812126,5988.404870821921,-295.5332708259011,-351.4605442821351,-3878.849342045285,-1573.2729410370441,-294.07810240821203,-599.5201047630063,71560.58228306274,2088.199714758974
