t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,270.9719999999989,152.62003198753027,-65.15939720416621,-120.26130095687095,-126.9247321822128,-11.212043928812355,-1705.0747354605849,-18.17882780195477,-25.36118654253861,-4.035358567629685,-26.442777650354746,-44.85801790599169,-33.09223506590414,1790.4405912015034,-60.934110565947485,-55.450201045220076,-14.196776246114178,236.951632632953,-25.162665513675414,-29.89749729423757,-180.79495698413663,-72.08284894093215,-21.1330431708199,-46.862823867824886,141.02009541125014,196.11752819539853
24.0,271.94399999999894,361.3876309696402,-154.30532015219038,-296.63266893471206,-306.45462580804985,-25.84303336653803,-3921.399662222478,-29.076099292893016,-58.376917984593526,-10.324215217770801,-46.42200864429489,-107.51303316668982,-76.67623086569115,3693.171728501404,-140.849645342986,-128.20904684946228,-32.72151423438464,590.079903590077,-57.99783821021672,-68.91150696995997,-446.38422155600944,-180.66968580072802,-49.11114077658582,-108.41757706796851,356.10001173748515,451.98964605312705
36.0,272.9159999999987,631.4627756560209,-265.26588913718155,-537.3885220765211,-543.893503925636,-43.10709209627984,-6598.238817592025,-22.27334771909083,-95.08103469998981,-19.38318745308817,-50.14457630604154,-187.21696247199372,-128.9037812287981,5440.495896546073,-235.94666901861567,-214.8605619493188,-54.578256736440466,1081.0833904056535,-96.74144840546361,-114.9462306103673,-810.0751937658817,-328.64479140494666,-82.92438673769392,-181.85164058276348,659.325698142496,753.824385860938
48.0,273.8879999999989,968.6143251456451,-390.7521219963265,-845.2400389624383,-842.2724418089139,-61.89939797277102,-9638.623674971492,11.253560672964275,-130.26126713932157,-31.34042105840717,-31.463837565204475,-278.6820195653,-186.92224728850346,6756.260450300958,-340.6288337444972,-310.34841232589247,-78.36730892499155,1719.0139625357588,-138.91367857200314,-165.05541246725937,-1277.5857975155845,-512.4431128929966,-120.89863498257982,-262.95613047012847,1057.6423846699017,1082.2463499692383
60.0,274.8599999999991,1368.569837639258,-516.443556948229,-1216.7953035915361,-1195.431353710298,-81.07703646259989,-12941.086059602625,74.49498580144196,-159.75064341275254,-45.85186406347997,10.260692583899292,-369.65703202194453,-247.667744923528,7435.470792894193,-448.9942014245797,-409.32974962995127,-102.6416709474183,2496.6533637198613,-181.94960882222014,-216.1914534239637,-1845.8922120364937,-722.6607743310144,-161.18906698249646,-347.2632869141263,1532.08988015128,1417.2310466574124
72.0,275.8319999999993,1758.5515374067102,-614.4592636445984,-1630.645134149887,-1344.6499022302644,-96.56273078864064,-16091.441899083522,141.09829591291566,-172.64511184688027,-62.23581762213795,57.800637767852926,-439.6362113467014,-300.9065730832192,7096.498440884005,-540.6864283512823,-493.44624605364857,-122.24656039982393,3406.9783652727165,-216.70208802042526,-257.4840574532595,-2479.7562537827926,-906.2651152439918,-197.91046640444685,-419.5245157538172,1814.9859682084289,1687.5650678155775
84.0,276.8039999999992,2077.803330291471,-670.7950789035671,-2056.8577087549997,-1369.10866419031,-107.78729726838675,-19078.238362293796,197.22975673105478,-175.5493819059728,-78.93315435430544,111.9249026695168,-475.6478162989693,-344.2655307859315,5869.991599938947,-611.918401613107,-559.1882641286247,-136.45935813312303,4273.764689817123,-241.89292619953068,-287.41498811398765,-3030.3987845704096,-1059.0174991684462,-229.29686485007917,-476.6692917091783,1951.632759174362,1883.269155812201
96.0,277.77599999999893,2342.630350131155,-701.271799774958,-2465.099918515406,-1394.4998434519632,-115.39295879406599,-21941.348447735694,252.84838265015853,-170.4872333575339,-95.21057258281822,176.9540132915215,-492.3522346723645,-380.0910498643546,3705.963400525672,-666.6306421862125,-610.1809703272896,-146.09066884084757,4644.108335938421,-258.9623579468304,-307.69612037626484,-3078.2582265305223,-1190.8734993665146,-257.0098362526613,-521.8351764542336,2020.8875338066857,2015.562634977874
108.0,278.74800044563636,2545.306814686448,-723.5647064799653,-2815.0119004441513,-1420.7491681009174,-121.18748183528352,-23765.6500452652,437.34050640676986,-163.2152673990803,-110.94626860012013,376.12345826097203,-504.1520664109002,-420.14017757745813,-513.0508950334971,-721.0690957724771,-661.7858129661589,-153.4288682536634,4824.239664801939,-271.9672055895975,-323.1477993763309,-3101.5386194100033,-1440.9610499557336,-290.8782349992907,-569.0000851142692,2062.8086423643704,2116.0840530712453
120.0,307.4520003788142,2963.941408529706,-837.1590648796481,-3137.7477033797627,-1967.1997775337088,-129.46621352392296,-28383.11424445021,626.7838856440915,-158.6046460261674,-152.66032489924936,597.3320636433515,-604.9619344289895,-453.1080788076176,537.9338095666634,-773.9767823031608,-709.5293747467871,-161.5846638545178,5538.832145087971,-289.57727648878404,-344.64176774484935,-3623.620150055352,-1729.2368609336943,-315.1611514618695,-614.2566719914836,65929.31951459534,2121.6102433900296
132.0,336.15600037881427,3652.5986427975126,-1009.1004960259224,-3478.678225250649,-2594.8468893067857,-137.722673140422,-32729.722429814363,811.2298687997467,-138.8428900193102,-218.6719001059798,807.659974888167,-764.7372120971527,-483.724113320137,843.5217837986753,-824.3153261864315,-754.4225067729649,-169.1024902322309,6460.869536528662,-306.8832931544879,-365.92390443804936,-4257.750084808458,-2004.9493535975364,-337.154067954489,-657.6898159440389,146505.32457113836,2111.7146799591465
144.0,364.8600003788139,4454.969050319429,-1198.7053812050526,-3826.2726896439467,-3235.484067891335,-145.30017718764904,-36905.19308086801,1026.8090409237777,-111.38512327797228,-294.87840945677306,1039.9723018389989,-943.5118442724911,-512.448291976146,848.0392255897613,-871.0461716478028,-795.9861722446547,-175.64823255307155,7407.026201505231,-322.61873440257807,-385.3674745292436,-4906.339463875074,-2296.404046512483,-357.9863524688092,-698.4996479597071,230152.53907810574,2084.3031148741925
156.0,393.564000378814,5312.166114080047,-1395.4180797934982,-4175.281168363411,-3874.800964347089,-152.26766924824628,-40974.58466964395,1272.4255656691348,-80.33764392104837,-376.3625667780685,1295.7168487309696,-1130.525185579426,-539.4525136527427,776.2961870516228,-914.5348843482885,-834.5927415342097,-181.39376292971207,8344.710178126046,-336.9735667635367,-403.17746346580765,-5555.834864990138,-2605.8609782950575,-377.75108008702585,-736.8656563686216,314554.17419932253,2043.2935985592553
168.0,422.2680003788142,6195.267296608485,-1594.3568097640261,-4522.639946279758,-4505.685841178861,-158.70684924365418,-44955.26715069797,1545.1287354741662,-47.70046336533286,-460.5902024875396,1573.3330247986391,-1320.709329384376,-564.9109282563825,715.0571164628719,-955.169194670571,-870.6092909796097,-186.48282143701692,9260.404849208595,-350.14793346703055,-419.5818010818425,-6200.8538443287935,-2932.57608403335,-396.5327382884932,-773.0256110301834,398607.1434181816,1991.9420386032832
