t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,272.3999999999988,152.7930843871939,-65.39466846531353,-120.32078703073188,-126.99667799355004,-11.225345350480703,-1707.5513386646137,-18.305892854428105,-25.45843001413248,-4.385705085375273,-26.439330337732486,-45.0657049549362,-33.12785061122816,1795.1531839068302,-61.00384432124165,-55.51283006342661,-14.214506006655562,237.2603516842956,-25.192494213278167,-29.933356421502108,-180.87866280688448,-72.20830135571995,-21.15504675049425,-46.911333424426935,98.82340368487513,196.3758274425143
24.0,274.799999999999,362.9779665076093,-155.73745468453146,-297.0965214740997,-307.0950136273226,-25.930298290043435,-3934.968126331848,-29.636928835325552,-58.8876630960689,-12.03710276695015,-46.33763993642167,-108.77830588129719,-76.9114981794699,3716.469579690739,-141.30436229121943,-128.61956517618896,-32.83425287777632,591.9971825949702,-58.193623465043636,-69.14519018616241,-447.0589685078743,-181.53379691690498,-49.25478525737622,-108.75131341366675,250.06383831140175,453.581023987922
36.0,277.1999999999988,637.8378678562466,-270.05618939284807,-539.1249614196802,-546.3907058748539,-43.38476935251381,-6636.928226119283,-23.39214141479646,-96.47385049326103,-24.012161508141435,-49.5435590012693,-191.48806115081968,-129.66044185737618,5499.801465974228,-237.39796623892025,-216.17320790695896,-54.9339846197296,1087.58143107039,-97.36450033195487,-115.68849583966015,-812.6275082208225,-331.70968859234677,-83.38757698173727,-182.9331913761272,464.75126425407643,758.8017234341049
48.0,279.5999999999985,986.4781833623688,-403.3245224240803,-849.9273323904636,-849.3105353282208,-62.54716710428983,-9722.210955112769,10.20462856427763,-133.05821718514056,-40.98544836661044,-29.031015110170408,-290.0551706592337,-188.6981673149964,6868.412316717843,-344.0215003556003,-313.41957617026566,-79.19400625264404,1735.9976985619787,-140.36715475856053,-166.78562341927287,-1284.5513037670482,-520.6060131009433,-121.98801126258616,-265.50171179182854,750.8992804238894,1093.767956011318
60.0,281.9999999999984,1410.959650906314,-545.5148829849663,-1227.5496313694211,-1216.480981061923,-82.42072944781246,-13103.487028830292,76.16788909929865,-164.54422822749243,-63.05939782700964,17.64125329772523,-396.2572913969418,-251.33331478082428,7620.009359995612,-456.0083162044463,-415.6793698318052,-104.3518113828068,2534.720622316202,-184.9644395744198,-219.7785530711299,-1862.3038264892723,-741.9023518932867,-163.4279288261935,-352.5416952190437,1107.1423621317367,1441.0009600146425
72.0,284.39999999999844,1885.160615117289,-679.0216347425253,-1661.1932049911438,-1556.952961470789,-101.2838576850239,-16620.35242520927,165.67325485855739,-186.09463587001494,-89.85544405196298,83.25921143628972,-495.6056072878758,-313.11547539619596,7580.6596121570865,-564.6329419542343,-515.0714165746639,-128.23036333243238,3470.7399805420355,-227.29418171078495,-270.07712440877964,-2529.7226056822938,-973.2617499277357,-205.09252328345414,-437.48791811647686,1448.786581570468,1770.395120931322
84.0,286.7999999999987,2305.7486376355528,-777.5161922679198,-2117.9648352076742,-1618.0329477082887,-115.45815425765454,-19873.678201422517,238.76141965919714,-191.84116120889564,-120.02164885374373,145.7096795659943,-568.4311393988305,-364.48523170123383,6478.356328481155,-651.2017553469817,-594.7056968588657,-146.17769209606055,4470.716125817251,-259.1041533172609,-307.8738211859628,-3189.6615520285536,-1160.263526183658,-241.34445732751794,-506.262553204552,1605.8982541685375,2017.6768455363224
96.0,289.20000009649254,2659.5296689574684,-845.7324948176664,-2573.701465441926,-1679.3630308250715,-127.97398738777693,-23242.37021742355,305.51453784231876,-197.39206490333785,-151.9899578076275,216.24062929925765,-613.9816055824749,-412.1235173327292,4620.690169818173,-729.9206762983254,-667.3019362572891,-162.02575637087435,4975.603060628869,-287.19253657053713,-341.24825528242786,-3355.0505179672055,-1340.770666675703,-275.63364187074353,-569.2690652371715,1729.2744204134476,2235.8043481269287
108.0,325.19999931002553,3248.865322583194,-980.3800270634326,-3005.558567227528,-2217.484278967408,-135.96069349436087,-27128.502081231014,435.26256067965863,-181.61268989149053,-206.29895279445284,377.008776039786,-734.9017653503005,-443.9108041729197,3399.04976292005,-781.3921356177067,-713.234457896518,-169.8701392864044,5967.596473611121,-303.96226817528884,-362.06779897307746,-3953.231837269018,-1567.768462440784,-299.38011479081865,-611.5299342367541,54378.71576683182,2242.718503334149
120.0,361.1999993100253,4040.5212753319483,-1172.6050603726026,-3438.514030529504,-2831.390567138644,-143.69923540145425,-31130.104134153305,607.9456705618255,-155.38019779302033,-282.39089284964365,571.610504015025,-913.9919925100451,-474.63269086871725,2438.347522742177,-831.1529108931292,-757.2604499971021,-176.95923692592297,7117.254996483253,-319.9506691134109,-382.13274115842137,-4677.376492606961,-1825.650092185507,-322.41872635262223,-652.5502882389557,117245.72483589622,2233.1604014867266
132.0,397.1999993100253,4924.941536524627,-1381.5604309059288,-3868.619592981617,-3461.4086372199927,-150.763653058345,-35166.83505183895,816.3750041577617,-123.30220446556869,-367.90265595037397,794.0456763665072,-1111.0586714252577,-503.5796261521407,1694.7939715968364,-877.4595513027795,-798.1060290837079,-183.11679872119913,8279.981459827239,-334.38653196203273,-400.3836723339648,-5420.488601149545,-2105.30273474417,-344.4177987115274,-690.9908328247925,181911.92932365215,2206.1474555540094
144.0,433.1999993100251,5851.8400867775335,-1596.7705653099622,-4293.624705149637,-4092.3894852024177,-157.2172639370714,-39236.974926845796,1061.2739705638799,-88.39709812155601,-458.41693716253747,1047.755586567664,-1315.490508273152,-530.8299427287195,1230.2452845433836,-920.5518939192324,-836.0267183814574,-188.48786967135328,9421.448678649826,-347.44495950052897,-417.0030902218874,-6165.59858978824,-2410.8374743604486,-365.3744748061457,-726.9885857825059,246874.78818420548,2165.1608269052085
156.0,469.19999931002485,6796.982894938289,-1813.4541624643368,-4711.930507113516,-4716.538181499024,-163.13655528801428,-43308.30088092862,1339.2367292205402,-52.246250593245534,-551.5067826317028,1330.2741931610976,-1522.3568532301197,-556.5185683527119,1007.2800365106191,-960.7570034421271,-871.3361722589557,-193.20267645227176,10527.7218013195,-359.3145870067155,-432.2019803653964,-6904.795877492641,-2740.519016699549,-385.3350764481377,-760.7625861016846,311361.68038152636,2113.2981724126003
168.0,505.1999993100248,7748.417059521941,-2028.9911374126234,-5122.364446462008,-5329.451978793623,-168.5896737536647,-47332.94853604801,1642.0864107732523,-15.747275094199667,-645.5138790383863,1633.7559565208417,-1728.907259298356,-580.7870882425866,934.7555080610347,-998.3871028579698,-904.3286801014652,-197.3689236200509,11596.039831753389,-370.1592461634333,-446.16656934985883,-7633.28344301887,-3087.1384059588004,-404.363996898591,-792.531803605718,374877.0609784317,2053.1437015371184
180.0,541.1999993100251,8698.460511241847,-2241.730012941811,-5524.047209628153,-5928.182398786626,-173.63399905735756,-51273.09574029548,1961.2299504028847,20.564336623694807,-739.2702136192495,1950.0109169670138,-1933.3815312209601,-603.7611565071476,938.8642152434835,-1033.711311617896,-935.2559402166505,-201.07407207089167,12627.421114630068,-380.11524217696234,-459.05298133152996,-8347.782955469826,-3443.036086367275,-422.52257366738905,-822.4879987324751,437078.4493423931,1986.8129651033237
192.0,577.1999993100246,9640.832848047437,-2450.520946890334,-5916.3070218648145,-6510.505094137259,-178.31676843202123,-55106.84200351998,2290.007520273362,56.356808650712196,-831.9651647605685,2272.8989882389783,-2134.5408917983086,-625.5441119074688,980.2197002170758,-1066.9509600538931,-964.3236869936611,-204.38837942542668,13623.003728040863,-389.2938997252229,-470.98937674746713,-9045.914791760235,-3802.505593249214,-439.8615646512352,-850.7894439359698,497724.3050198071,1916.0209700118908
204.0,613.1999993100246,10570.274603193826,-2654.5335517679137,-6298.62506835832,-7074.751263926138,-182.67674514750357,-58822.83546432334,2623.5601534737593,91.4181586941723,-923.030697435406,2598.083436060151,-2331.48237215508,-646.2206307485808,1041.1415900693737,-1098.2874683741481,-991.6996572032895,-207.36826892761545,14583.521911772455,-397.78594660268715,-482.0806660229801,-9725.905472667633,-4161.563881378542,-456.4227569616057,-877.5662562383154,556644.9368491236,1842.15440484897
216.0,649.1999993100246,11482.553546437804,-2853.1678297753747,-6670.600849137146,-7619.741151450291,-186.7460101095551,-62415.30290928641,2958.218216623753,125.61056659122647,-1012.0615258438717,2922.3647839158343,-2523.5462396438943,-665.8618592421989,1113.8468899376865,-1127.8719813385376,-1017.5229301636697,-210.05940706769326,15509.546693240447,-405.66594608692134,-492.41345732981506,-10386.430688398697,-4517.302390255672,-472.24201808767197,-902.9274917616324,613723.7738356624,1766.335663500716
228.0,685.1999993100246,12374.380419259649,-3045.9976715983958,-7031.9297977099495,-8144.711947505295,-190.5514660407346,-65881.46043852909,3291.1005814527325,158.84453110377825,-1098.766389295401,3243.271351632173,-2710.2565926662483,-684.5292593332673,1194.6378942384626,-1155.8329859003145,-1041.911208334105,-212.49916265309952,16401.653890816342,-412.99595473429576,-502.06018431946796,-11026.521250567634,-4867.4917753240325,-487.35142067897374,-926.9666756223147,668884.533056595,1689.474500605513
240.0,721.1999993100246,13243.268403020298,-3232.7308676366024,-7382.388379485833,-8649.243298840329,-194.1159925810687,-69220.31741232795,3619.902225296202,191.06340158092885,-1182.9379603445473,3558.8518032287834,-2891.279151649615,-702.2771811493786,1281.499718698651,-1182.2817781493836,-1064.9660037420176,-214.71846504267756,17260.478238380038,-419.82831595844004,-511.08226957197036,-11645.500336775016,-5210.385303754271,-501.7804997071172,-949.7656764814617,722082.0642357062,1612.3084178440374
