t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,272.4000000000002,152.8020159402318,-65.39428128222184,-120.3245362303571,-127.00133766248176,-11.226434057802829,-1707.67601806516,-18.302106789668247,-25.461217623441097,-4.385574758814833,-26.435833403413067,-45.06736240935769,-33.130068596916395,1795.3079453167545,-61.009566747195194,-55.517025047290005,-14.216285166040711,237.25587217577237,-25.193342004794324,-29.936860207434982,-180.8831745383371,-72.21719227412784,-21.15550288196564,-46.91797019067873,130.45895380851454,196.3757650022603
24.0,274.8000000000003,362.9926142728603,-155.73592817893976,-297.1057684472672,-307.1048832019507,-25.933026184816473,-3935.2793003068277,-29.625743519113247,-58.895138852291765,-12.0367452380091,-46.325600906196875,-108.78200203875058,-76.91698776526984,3716.8478580448714,-141.31865254755627,-128.6300035512227,-32.83872068938865,591.9829682088841,-58.19570815073174,-69.15398425094301,-447.07006676813575,-181.55924767235967,-49.25584541003283,-108.76795121990467,330.11530701665384,453.58039346073696
36.0,277.2000000000001,637.8533387202821,-270.0526863578013,-539.1419654536645,-546.4063797177843,-43.38984449781713,-6637.500058681271,-23.368547035954993,-96.48860391545357,-24.01147353959198,-49.51583144024882,-191.49425515762096,-129.670585655886,5500.487160532842,-237.42447944868928,-216.19255962075678,-54.94229478184457,1087.5500421861668,-97.36838653651519,-115.70485392376459,-812.6479294554059,-331.7623880835623,-83.38948292862845,-182.9640610384189,613.5319550601956,758.8006431494509
48.0,279.6,986.491656875313,-403.31793029056394,-849.9546587761793,-849.3333604432153,-62.555387835976695,-9723.119345989575,10.247912026810635,-133.08314274039626,-40.984349808186366,-28.979095719918924,-290.06420856984823,-188.7145310006893,6869.481075302687,-344.06436382651276,-313.4508584668674,-79.20745920312575,1735.9389306772077,-140.37348026810923,-166.8121086865192,-1284.5842388563055,-520.6984615334991,-121.9910428517323,-265.55158800888444,991.2895991809361,1093.7665733357403
60.0,282.00000000000017,1410.970215748658,-545.503243361582,-1227.5893194030223,-1216.5123975868205,-82.43282610645026,-13104.787316610771,76.23901998670492,-164.58214880915304,-63.05784142941931,17.724997474371456,-396.26874094539016,-251.35728700712488,7621.500828256444,-456.0713002884874,-415.72529010358994,-104.37161600846184,2534.621978492004,-184.97371171578675,-219.81753907414605,-1862.3518412372327,-742.0456392782827,-163.43226970329877,-352.6150494795884,1461.5820277789655,1440.998499077632
72.0,284.4000000000005,1885.154854144974,-679.0011067686377,-1661.2416659365294,-1556.9542535978599,-101.29910967165708,-16621.938961284886,165.76693346303466,-186.14472533645142,-89.85356416224066,83.3698997758065,-495.6163377120469,-313.14528570694256,7582.434858917716,-564.7123682462525,-515.1287969701117,-128.25554894921797,3470.600949113826,-227.30502002906613,-270.12660092173644,-2529.7801545949205,-973.445283351033,-205.0972602598596,-437.58163859294126,1912.5621890720631,1770.3818216763343
84.0,286.80000000000064,2305.7103395958698,-777.48612793803,-2118.0119234226077,-1618.0330387713361,-115.47470228391053,-19875.302889589344,238.85232435425166,-191.90104305139886,-120.01954637108248,145.82666972754382,-568.4363711562065,-364.5170275638692,6480.0825271717595,-651.2876588064352,-594.7673389460408,-146.20515579517073,4470.53871811372,-259.1153638513481,-307.9277086213688,-3189.702981839408,-1160.458115216547,-241.34884259676096,-506.36475012513375,2119.9587702642143,2017.6558547011407
96.0,289.2000017817137,2659.456794024331,-845.6956578011839,-2573.7421475180013,-1679.363182980189,-127.99140545612956,-23243.962125428614,305.5965625711239,-197.46080451513723,-151.98767834629075,216.35638219773966,-613.9835026913256,-412.1564263650003,4622.25277510401,-730.0108532639642,-667.3661844379286,-162.0548220285256,4975.3689791800725,-287.20370800142285,-341.3052126356353,-3355.050774041259,-1340.966453702031,-275.63746245917594,-569.3772909770578,2282.818132748345,2235.774737586248
108.0,325.20000178171364,3252.0516535904594,-979.955919296855,-3007.447527597988,-2219.5389906919618,-136.55774304004564,-27180.264235994084,439.9892251712342,-183.23698668712186,-206.15662624599338,381.54276542694566,-735.6049440587257,-445.1118997908606,3447.063378652333,-784.5164219807749,-715.520343302299,-170.8476265215218,5960.933515716859,-304.4252534255291,-363.9904803122349,-3954.963353238396,-1575.255871813861,-299.6138083427023,-615.1588535272746,71751.15473105422,2242.6818186725386
120.0,361.2000017817136,4047.9307039111063,-1171.7490446162976,-3442.3683898008608,-2836.2994971725843,-144.98944035910478,-31238.82992536521,619.2732919460813,-159.01647121974037,-282.0118398366617,582.1788698774293,-915.5615748290021,-477.2223371165169,2531.5764049491263,-837.8963961923506,-762.194593055576,-179.07024251614564,7101.398136915324,-320.9552093785197,-386.2859654238658,-4681.067744098365,-1842.611109432759,-322.9194762672223,-660.3783904245732,154710.3087177808,2233.149414536489
132.0,397.20000178171347,4938.188732816708,-1380.3384452678465,-3874.32131791432,-3469.7831808246465,-152.7685516138372,-35325.13679382506,834.664789841239,-129.06112681086657,-367.2153967040235,810.5206449211034,-1113.5946018006382,-507.5984105552016,1810.0901905501587,-887.9308788682551,-805.7685068374238,-186.3959672043851,8254.272961018729,-335.95199198338,-406.8358147005045,-5426.182189189634,-2131.7230658706185,-345.1922784368403,-703.1411750812936,240041.98718820102,2206.2116611984425
