t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,272.40000000000043,152.8014818691606,-65.3948729393383,-120.32611399048069,-127.00277461086503,-11.226818778783484,-1707.7220196089324,-18.30295818984702,-25.462200434776506,-4.385527972174591,-26.43294085125307,-45.06675797471436,-33.1296418338239,1795.3659818077044,-61.008201702210144,-55.51899614280807,-14.215466551288031,237.25431199018715,-25.193877670092544,-29.9359212863685,-180.887424810305,-72.22149159785235,-21.15663059350881,-46.918393203304014,141.6644004769165,196.3757039911616
24.0,274.8000000000005,362.9884927994285,-155.73739478942878,-297.10982262355117,-307.1079219171419,-25.934003964669195,-3935.3976326310158,-29.627465960348278,-58.89784576578222,-12.036624879648745,-46.31730705653541,-108.78043431679076,-76.91590169103077,3716.9954039699296,-141.31520284377532,-128.63499357496363,-32.8366546488314,591.9784330897314,-58.19707318645586,-69.1516197842273,-447.08090960986027,-181.571138761559,-49.25868825027385,-108.76902070089646,358.47033530253645,453.5803137611533
36.0,277.20000000000033,637.8419279065043,-270.05541457365615,-539.1495403204076,-546.411218824405,-43.39167292323238,-6637.721213373638,-23.37085226516574,-96.493984219325,-24.011244564789656,-49.49879966042562,-191.49132376357514,-129.668564623956,5500.760169318026,-237.4180932751016,-216.20185352901873,-54.9384690600704,1087.5402922016192,-97.37094855223617,-115.70048926410892,-812.6681485699011,-331.78620354337863,-83.39475203701826,-182.96605998632123,666.2328533981788,758.8006899111502
48.0,279.60000000000025,986.4700763027145,-403.32247104108905,-849.9667317896152,-849.3404907047739,-62.55834244416157,-9723.47135653324,10.24622336974197,-133.09212647180007,-40.98397463344609,-28.94950252439541,-290.0596044418526,-188.71121197203146,6869.9094715301135,-344.0539929581935,-313.46582184816987,-79.20127831097727,1735.9204378840175,-140.37762053102458,-166.80505767434371,-1284.616707858452,-520.7390182340921,-121.99950220834579,-265.5547647300441,1076.442979562675,1093.7666535891697
60.0,282.00000000000017,1410.9361728865683,-545.5106062594277,-1227.6067852135418,-1216.5220009481436,-82.43717060912192,-13105.291795594654,76.23967921728628,-164.59564978790038,-63.057304592869485,17.770687302123353,-396.2626419647895,-251.3522791256179,7622.101075341227,-456.05586555455545,-415.7472145964824,-104.362487632866,2534.59090040738,-184.97978954901217,-219.80711125114857,-1862.3991274622235,-742.1073894350367,-163.44464084906377,-352.619604650934,1587.1373239717534,1440.9984088362203
72.0,284.4000000000004,1885.1061481062552,-679.0125063247087,-1661.2634263039843,-1556.954577604338,-101.30465278642134,-16622.564621370348,165.7696008758964,-186.1623959059604,-89.85291594779783,83.42957718112628,-495.61037836869355,-313.13823775878905,7583.159716788777,-564.6913238453425,-515.156708626999,-128.24342451091024,3470.5576361613867,-227.31265494761087,-270.1125772348382,-2529.839384657862,-973.5247303695629,-205.1131049822242,-437.58692992076516,2076.849910420012,1770.3792262520894
84.0,286.8000000000002,2305.6508956190773,-777.5019867756291,-2118.034276921104,-1618.0331315315764,-115.48087028099054,-19875.959658973952,238.85310207441705,-191.9217704037102,-120.0188659448886,145.88943912185803,-568.432945715567,-364.5090042917409,6480.791237948635,-651.264180374742,-594.7981136825572,-146.19174662966515,4470.470881478993,-259.1238800140487,-307.9122276190708,-3189.746503499617,-1160.5430068237495,-241.3661691222543,-506.37043349139356,2302.0644460794783,2017.65339486376
96.0,289.2000016329612,2659.387563264766,-845.7154104232139,-2573.7637704951076,-1679.3633406992976,-127.99825312443798,-23244.634267455993,305.5944701634708,-197.4846299194278,-151.98703248045763,216.41823830024342,-613.9821169534674,-412.1480549773208,4622.897906997132,-729.9863505295401,-667.4000020582038,-162.04064329673926,4975.248840195248,-287.21334023942893,-341.28909116769825,-3355.0511842898322,-1341.053940181108,-275.6561688087225,-569.3839320720508,2478.9181988332452,2235.775686523116
108.0,307.2000016329605,3166.31063251672,-943.6249116645268,-2984.4133854740885,-2094.435923111207,-135.44405110807074,-26961.934767710798,420.48649804631646,-181.35335726025994,-196.46001969599294,358.1534308299911,-700.2509764822682,-442.7881420012803,3097.866779585893,-778.5999632801568,-712.1707517687121,-169.52611409410596,5707.89443011778,-302.3845371170217,-360.2932328819705,-3732.769238381266,-1543.110602008047,-299.20539089222297,-610.9393868469147,55792.393568399166,2232.6523475442555
