t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,270.9720000000006,152.61539221709592,-65.15843240056603,-120.25936082851557,-126.92666294859646,-11.212035840003063,-1705.0743569175659,-18.17799473817689,-25.360190270743438,-4.035360441394708,-26.440059443868233,-44.85706139740266,-33.0922214782766,1790.4413442177238,-60.93022415195334,-55.45113994787538,-14.196772704170357,236.95177141661333,-25.162650152076157,-29.896513770080933,-180.7949059800041,-72.08358506098554,-21.134001422231677,-46.86183060865989,140.2769739690306,196.11749662653915
24.0,271.9440000000007,361.37691491258363,-154.30298026286187,-296.62778669211343,-306.45970326862295,-25.84301622959936,-3921.400261321035,-29.07419283821095,-58.37437292799172,-10.324220484233647,-46.41549062593512,-107.51070828338209,-76.67620572335977,3693.177362661032,-140.83984879744506,-128.2114334588149,-32.721509439292845,590.0805301084979,-57.99780679385091,-68.90903216471905,-446.3840992630867,-180.67122754375177,-49.113566191337576,-108.41508213631609,354.22395956600934,451.98962360723965
36.0,272.9160000000008,631.4447774258754,-265.26184459429436,-537.3795851884157,-543.9032978784289,-43.107075415556395,-6598.241863799433,-22.270124721909326,-95.07631327270424,-19.383198946809284,-50.133041281133686,-187.2129185124438,-128.90377114915955,5440.509833083075,-235.92860431958945,-214.86504725394195,-54.578266862704915,1081.085180910906,-96.74142398949886,-114.9416885677962,-810.0750632275415,-328.6472448022024,-82.92889787181635,-181.84707616067263,655.8537126881524,753.8246066687485
48.0,273.88800000000066,968.5882560165751,-390.746323415822,-845.2259553056115,-842.2885894877862,-61.89939222868344,-9638.629949183902,11.258335278687355,-130.25368525213943,-31.340443749139705,-31.44595780648611,-278.6761839560712,-186.92227184140316,6756.283646135307,-340.599948472424,-310.3556899034185,-78.3673516872015,1719.0181918058054,-138.91368652890716,-165.04818244624428,-1277.5858084559416,-512.4466088604687,-120.90588974809053,-262.9488751500032,1052.075586462431,1082.2470701201582
60.0,274.8600000000004,1368.536149329976,-516.4367891405665,-1216.775364837131,-1195.4536242455085,-81.07703964020159,-12941.093923096028,74.50146421410213,-159.73955296176334,-45.85190416655667,10.285842060924304,-369.6501898180282,-247.66777590910706,7435.499961428606,-448.95238241650964,-409.3403101653364,-102.64174738514198,2496.662297772785,-181.94964612615533,-216.18101072092574,-1845.892514128525,-722.6651883511921,-161.1995593326705,-347.2527865200486,1524.0278346313664,1417.23228952056
72.0,275.83199999999965,1758.5141192522929,-614.4542328632625,-1630.6212402438848,-1344.650001018485,-96.56247634653565,-16091.417090445459,141.10332344782037,-172.63094147491077,-62.235869297180464,57.827997908080725,-439.6315595122481,-300.9058959890333,7096.502343432093,-540.6355331675239,-493.4575281120657,-122.24632448121235,3406.9960981658455,-216.70155292872474,-257.4709982425873,-2479.7550909598126,-906.2656441558527,-197.92245760882727,-419.51104524223706,1805.4191535169937,1687.5620312521958
84.0,276.80399999999923,2077.770018522374,-670.7935517703783,-2056.8342522136036,-1369.108741561899,-107.78737822469323,-19078.233711166133,197.23492794277263,-175.53519000689224,-78.93319332875889,111.95310363963978,-475.6460548583201,-344.26557738173557,5870.027875968268,-611.8653293951978,-559.2018771905615,-136.45955318231123,4273.787129227271,-241.89314644502025,-287.4018910169234,-3030.3990858735447,-1059.0199639021264,-229.31015541764378,-476.65601728062035,1941.3558631329606,1883.2720887591902
96.0,277.7759999999989,2342.5997298303714,-701.2725942974664,-2465.080983078166,-1394.4998105515504,-115.39355159264947,-21941.383164119863,252.85310206075152,-170.47437656102923,-95.21064481515076,176.9817447138931,-492.3518650418671,-380.0921562518356,3706.0337932361826,-666.5780084616897,-610.1971395475637,-146.09151522206398,4644.133112370418,-258.9637282432431,-307.6839156491232,-3078.258352684164,-1190.8790536542233,-257.02411375183857,-521.8231142205019,2010.2537107011478,2015.5745709088908
108.0,278.74800049369776,2545.2760088144278,-723.5661229224636,-2814.99931202035,-1420.7490515559934,-121.18827557148757,-23765.656097703904,437.3513408221706,-163.2031519233289,-110.94642411618165,376.15653546758114,-504.1519529778029,-420.14150615826446,-513.0781572522174,-721.0160378377655,-661.8028930306086,-153.42997105711913,4824.263830632385,-271.96902767152295,-323.1358444822549,-3101.5386509851405,-1440.9731478719186,-290.89280671536955,-568.9882035717853,2051.956411831852,2116.0995305222755
120.0,307.4520004936987,2961.897595137112,-836.7856053135718,-3136.9862853337245,-1967.8295360114364,-129.4636189099118,-28382.618710256662,627.1389992824468,-158.1379719011901,-152.66268835720638,598.5378669600673,-604.5897848407411,-453.10183630347507,537.6656548614762,-772.163322789738,-709.9710511943674,-161.5849527172601,5539.167861739086,-289.57294276087623,-344.18531176098764,-3623.6080653180948,-1729.5276802735325,-315.60788394172766,-613.7935542170125,65569.85522972832,2121.6223669109463
132.0,336.15600049369846,3648.283009829038,-1008.2870818693997,-3477.14618384829,-2596.1550299069586,-137.714954374855,-32728.661179844137,811.9199381258431,-137.79047172405956,-218.6788485611365,810.2347296761895,-763.9298273282076,-483.6996599936666,843.2713971083131,-820.2705508055735,-755.3897507416103,-169.10110010536127,6461.9188736224105,-306.86946338740415,-364.9045724129745,-4257.722046936531,-2005.4749382804605,-338.1381691861867,-656.6473959151074,145694.4759569671,2111.7135695675797
144.0,364.86000049369824,4448.418811313117,-1197.4439024907751,-3824.0484673110304,-3237.4199969824203,-145.28643421015386,-36903.54728561676,1027.7398047295446,-109.72066872057853,-294.8902097155244,1043.8707628668858,-942.2622689919199,-512.396214559714,847.9227650902377,-864.6748861654195,-797.4890686955831,-175.64452495796564,7409.04619962235,-322.5935974599188,-383.76207193805766,-4906.291746623071,-2297.070616903438,-359.520257662608,-696.8460303856536,228864.41614918783,2084.279824517615
156.0,393.56400049369813,5303.413467404963,-1393.7062764367822,-4172.4217309194655,-3877.326369552274,-152.24728792786206,-40972.288014881015,1273.5000548779599,-78.05361573059712,-376.3783900821632,1300.8604886691714,-1128.8319790688877,-539.3649442836341,776.2877161047455,-905.8073620529224,-836.6275318427087,-181.3872689532402,8347.876693453394,-336.93587300668247,-400.97932591464894,-5555.762995854467,-2606.5751512268034,-379.8326610994284,-734.5868337846209,312777.34668175987,2043.241447788835
168.0,422.2680004936982,6184.336240944647,-1592.1944895543008,-4519.183472040655,-4508.776311632989,-158.67943203457614,-44952.247856541304,1546.257061265199,-44.79811204780793,-460.60839672041664,1579.6334828534366,-1318.5728392405538,-564.7816223566264,715.1063554707254,-944.0879393686869,-873.1666579819777,-186.47322761421128,9264.835170668444,-350.0968698319463,-416.79233725425735,-6200.751700163098,-2933.251308935631,-399.1537414271429,-770.1170987808944,396337.80771536345,1991.8567315828197
180.0,450.9720004936981,7075.033607454322,-1790.1584667307159,-4862.358328310044,-5127.494005112762,-164.65094418781158,-48840.00876600663,1841.3757805742162,-11.042876015293222,-545.9913856672943,1876.382469596921,-1508.5880069874006,-588.7950677713312,686.5800907793056,-979.8596443411144,-907.4048422169647,-191.0133934720024,10154.559273835535,-362.23970146908,-431.3934792407509,-6838.287198514847,-3273.960123394887,-417.55351126247365,-803.6513027917945,478869.9612773959,1932.709209666811
192.0,479.67600049369804,7965.417880013888,-1985.8687552707768,-5200.593760040847,-5730.594035231208,-170.2161399922379,-52625.78931100179,2153.470972423297,22.581813617901634,-631.432551507271,2186.364416349928,-1697.0334106711111,-611.5275791214332,688.0522968233025,-1013.3970671882807,-939.5822646095856,-195.09370635189592,11015.588752755633,-373.49341796663424,-444.93509226255486,-7466.306564735722,-3624.484443143607,-435.09204753928236,-835.3660232145919,559905.9756262432,1867.8487772162034
204.0,508.38000049369793,8848.493932907868,-2178.158895728913,-5532.913361495571,-6315.997585550806,-175.41841080140583,-56300.37456243536,2477.3408356783025,55.6970323594469,-716.147988881291,2504.9580917099024,-1882.6521742913621,-633.0792747032242,711.6625625550345,-1044.9207563927826,-969.8925400955798,-198.78160862683688,11848.039386385217,-383.9606088035979,-457.53834659220877,-8083.140681166592,-3980.6197540090025,-451.8200644454619,-865.4056182911664,639105.2138851567,1798.9106439833088
216.0,537.0840004936977,9719.066809705177,-2366.209457747668,-5858.581776376974,-6882.187573459914,-180.29288902402374,-59857.11678042921,2808.4060259763987,88.07053627303621,-799.5674509739098,2828.121698705117,-2064.552499403095,-653.5330238940351,750.8097309657128,-1074.61019044768,-998.4937456837436,-202.13082092605214,12652.509738927813,-393.7239682104317,-469.30096221839585,-8687.33122577678,-4338.659175941843,-467.7806518945055,-893.8894175990768,716216.0309908419,1727.2063825048492
228.0,565.7880004936977,10573.167625730513,-2549.4352419090837,-6177.027650132508,-7428.094775530839,-184.86854461527295,-63291.87362763392,3142.792925233858,119.55964215910704,-881.2733987166606,3152.4699617128094,-2242.0903254028017,-672.958840578049,801.0118300346905,-1102.6141753402032,-1025.5174329685392,-205.18478318843526,13429.669265492656,-402.85132791806916,-480.3031431447026,-9277.575686924263,-4695.491189218735,-483.0112363194869,-920.9181208352009,791054.3338163641,1653.7926952064029
240.0,594.4920004936978,11407.756101240419,-2727.4197510846234,-6487.798418319432,-7953.026804379154,-189.1697433301294,-66602.47529999811,3477.280309852971,150.07839723095663,-960.9604791217563,3475.216092687598,-2414.8004942482758,-691.4172927782912,859.3593312203276,-1129.0586429107225,-1051.0754304318066,-207.97913952904625,14180.137671686598,-411.399367520494,-490.6119563288541,-9852.722376309923,-5048.556738522743,-497.54520039843396,-946.5787506366562,863489.6314552182,1579.523471889706
