t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,273.82799999999975,152.9844700721514,-65.62581857626786,-120.38628965453805,-127.08186745540351,-11.241456568422977,-1710.336326071638,-18.4251875373669,-25.55727801230514,-4.7158053773024875,-26.427755590246306,-45.27032629570077,-33.16857142408542,1800.225430386822,-61.08245104693549,-55.585080311923114,-14.23387252417504,237.54800969505322,-25.227619157481524,-29.97489623012007,-180.97812262783813,-72.35793833924735,-21.178016030006585,-46.97143865360035,145.08821126380835,196.62966467972376
24.0,277.6559999999995,364.5254983663851,-157.0789601762775,-297.5654668701653,-307.7449231032702,-26.02258260543982,-3949.060766390722,-30.175380138280754,-59.39692391023534,-13.573319499963072,-46.25231749358948,-109.95939926919674,-77.15450551443922,3740.239197866824,-141.77115779547557,-129.045083388463,-32.948487986258336,593.7754327325222,-58.39811492891082,-69.38766924797973,-447.757592250841,-182.42113782238923,-49.397924692426294,-109.10662576924138,367.7928241018487,455.1245745345387
36.0,281.48399999999947,643.7571568080316,-274.35320893022606,-540.8276431576693,-548.7930416723618,-43.66431266829361,-6675.8221371486015,-24.50907602741371,-97.85600475217636,-28.001748935699776,-49.04442996391641,-195.2913531027524,-130.41308408398731,5559.001072723898,-238.83476596063448,-217.4804556678743,-55.283056277236305,1093.5009615071772,-97.98697565601468,-116.42719763306143,-815.1546378849542,-334.64858440773884,-83.8393843067199,-184.02720512141715,685.6297765295734,763.559844624251
48.0,285.3119999999995,1002.4059308901395,-414.0626108338551,-854.41181337452,-855.6864092941203,-63.17318742535965,-9803.818627282415,8.930312333276692,-135.83253966102941,-49.05721242743039,-27.102034495615104,-299.6799132014569,-190.40712342661178,6978.2000744914385,-347.2687543596082,-316.3722083343462,-79.97865090802522,1751.0942679353718,-141.7641079902765,-168.4440182083336,-1291.2268213141215,-528.0087395345531,-123.02493516231725,-267.976333654868,1113.493168742202,1104.5032445913437
60.0,289.13999999999936,1446.6019030735629,-569.0494202379568,-1237.3964574199738,-1231.7557832574787,-83.6137527286293,-13251.674709868674,76.47518325536076,-169.1658958306039,-77.19030640736817,23.241458124429403,-417.66172566949825,-254.61264848290054,7791.499047272388,-462.2259959954007,-421.3304783537989,-105.85012611591115,2567.8425439174353,-187.62979377279387,-222.94348281494067,-1877.2032052614225,-757.9446223953121,-165.42843478113446,-357.2815447890457,1657.8686123087505,1461.5430843935337
72.0,292.96799999999934,1972.258755405953,-727.2409829241819,-1683.0565497695845,-1668.8039449830283,-104.16473197321969,-16950.992681312182,177.54904914069834,-195.43683380524914,-112.23108120286827,100.72690133093015,-538.650794380429,-320.7311851513272,7881.581048200718,-579.3689691089769,-528.419550434165,-131.85820435041626,3529.148821868312,-233.7413311720972,-277.7359606967343,-2564.893780152484,-1015.9799335663596,-209.62737455587012,-448.63585680639284,2291.2427295380567,1820.2927107769337
84.0,296.796,2497.5596387572505,-866.6868907593458,-2166.0734831774707,-1866.5741766408205,-121.25228627318174,-20523.341367396286,276.49790138018324,-205.68001324691272,-153.6285703584309,180.51337416895623,-647.1599831927313,-379.84580406556853,6964.6573756355665,-680.911281081306,-621.6038273533901,-153.4883153939439,4608.3245929599725,-272.08486399625554,-323.29659273694716,-3294.905256233975,-1245.8993285726951,-250.51615165867847,-528.7324756692794,2677.4777913942276,2118.3962789008247
96.0,300.62400000000025,2964.9162803710774,-973.217331781674,-2655.552979435606,-1963.7772834444459,-136.04413978650436,-24104.647421463822,362.93619744280784,-211.43189127350666,-199.31092002764905,263.11008799886235,-726.9081188271374,-433.9350411646365,5134.764718793686,-771.7292205021575,-705.1873613949374,-172.21495157553548,5314.308174296493,-305.27849001108973,-362.7372866132874,-3630.884454794653,-1458.4626908796595,-288.8280186519904,-600.9843898232137,2943.0437877772993,2376.226014954345
108.0,304.4520003549079,3368.9798121399854,-1056.6219745688513,-3107.827541795814,-2062.0517079822057,-149.8516628245771,-27963.44903624272,445.36600611165306,-220.09076119609983,-247.76608374310234,358.7110275777106,-785.3114929456948,-485.9922785439333,3034.5844564913664,-858.0717496415556,-784.7773635786085,-189.6969983822259,5736.360346106326,-336.26418778394736,-399.5540745091431,-3723.8965867014263,-1675.383638315359,-326.15769910577245,-669.9954052465865,3147.651055180157,2616.7127181931996
120.0,311.7480003549089,3780.0924902397173,-1125.3333264460382,-3431.7030645633026,-2244.4610584258357,-155.14076501236514,-31865.86436518916,547.451537252717,-201.24579216724644,-299.2638485075431,503.48326728109043,-845.072496715465,-514.334682363879,1179.8840907087608,-899.1740591727452,-823.0527048629882,-195.5696079743636,6187.62847597925,-347.63568639863377,-413.29656957740474,-3890.828175815674,-1864.9250794787865,-348.9100764157691,-704.9651642971864,25759.965056612342,2572.728213995889
132.0,319.0440003549089,4168.193975819067,-1207.325761034951,-3637.4330028884883,-2428.5008624169086,-159.2812160822302,-35898.81937133391,671.3570814441584,-180.55719191191147,-353.8085801961103,680.0330192759275,-920.080567967779,-539.3937585837989,89.12099594465347,-934.2086975817514,-855.865798080055,-200.13763760760446,6538.704397298766,-356.51995484289193,-424.0417854270377,-4067.083298995556,-2076.461104407859,-369.59495535211965,-735.2170276295146,44260.154561325675,2507.724743762683
144.0,326.340000354909,4529.460941614398,-1291.9613891538847,-3776.7348612568026,-2611.3620065203104,-162.56891777170588,-40058.13705111807,823.8495156176689,-160.38649494463786,-410.3330160580257,895.3072917713415,-999.1910904988763,-561.721274503901,-236.31793071628698,-964.4448644092789,-884.329985873181,-203.73751731868524,6809.08136777257,-363.55794091735294,-432.56200261965324,-4243.366112860938,-2319.4588310649447,-388.4508733719213,-761.6722607035862,59697.69755400731,2428.194753773325
156.0,333.63600035490896,4883.894963610252,-1376.9003505592584,-3891.8793834371045,-2793.722404342497,-165.38722289120477,-44172.64335763578,988.9188924864213,-142.47800558170354,-467.44236391696006,1127.1636532634354,-1079.4267103608752,-582.2029212805635,-298.2128386666962,-991.686396554235,-910.03990159197,-206.78013035206615,7047.804489933314,-369.56492928094605,-439.8468153866989,-4419.641209993213,-2574.9901591506155,-405.9592805284923,-785.6992871876826,74115.2002462149,2340.987725031073
168.0,340.93200035490884,5238.549775143876,-1461.4424710032868,-3999.5011066397356,-2975.9025722874094,-167.91788051545043,-48165.064390078245,1157.5973165041623,-127.14220260880792,-524.4084621373726,1363.0725886838247,-1159.7810937811346,-601.2869353276947,-314.6206985397629,-1016.8191635742317,-933.7837346110174,-209.4654347858788,7276.666682243547,-374.93056511223796,-446.3676503077108,-4595.841697336546,-2832.060237809032,-422.37643864456754,-807.974376282831,88340.05867485513,2249.7139492871906
180.0,348.2280003549088,5593.463067718387,-1545.3293831223652,-4104.599898737352,-3158.005914163668,-170.2382216515463,-52022.05601137899,1327.9837159386354,-114.10829594234448,-580.9082394321301,1599.6375636304815,-1239.8628215161934,-619.1736993623657,-320.8866869232909,-1040.231413734309,-955.9092407792293,-211.88217358571004,7501.156134767335,-379.82284940094456,-452.3266941826393,-4771.932716073876,-3087.9331394860965,-437.82081963235413,-828.7943429718331,102624.11266420786,2156.2661936681106
192.0,355.52400035490876,5947.914462973437,-1628.468936266931,-4208.60332622648,-3340.061482741291,-172.38877098478324,-55741.14845231879,1499.3859689880314,-102.97859451429636,-636.7431611634192,1835.0810013004862,-1319.5083495975362,-635.9792047409403,-322.11161866855264,-1062.1385820842127,-976.6112754219903,-214.07904605617503,7722.772340176134,-384.3311474072635,-457.83086135493073,-4947.894459525102,-3341.1820483070514,-452.3653530149532,-848.3253588715311,117039.3338613464,2061.85461164578
204.0,362.82000035490876,6301.353500722411,-1710.824232092618,-4311.91708549285,-3522.0756773633516,-174.3961702853362,-59321.964660880156,1671.2416362153951,-93.36259369100114,-691.7682281381537,2067.998936580279,-1398.6331137183927,-651.7878608096771,-319.5009294130229,-1082.6908896250968,-996.026810198046,-216.089028804103,7942.14291507434,-388.51479011620455,-462.9508598295674,-5123.710701688839,-3590.635602314001,-466.0660783526481,-866.6846677656129,131606.7681236771,1967.3663388161763
