t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,272.4000000000002,152.79435611496078,-65.39323601867272,-120.32117104813669,-127.00030442194894,-11.225738366155166,-1707.5936237778137,-18.305739603598532,-25.457151276888947,-4.385661241114525,-26.435597673405034,-45.06673080148796,-33.12983523910914,1795.206122441325,-61.0030117430587,-55.515959325476516,-14.214505417560247,237.2588346692111,-25.19312273864215,-29.93354745411634,-180.8797414911131,-72.21161858617744,-21.15521292788789,-46.91469913148283,109.4197672916795,196.3758193224462
24.0,274.8000000000005,362.9792986119519,-155.73370758776096,-297.09749479338575,-307.103779455575,-25.93129450144508,-3935.074668496133,-29.635920393791505,-58.8845401995989,-12.036987333745552,-46.32725915545583,-108.78077618491143,-76.91651169745597,3716.6005646387453,-141.30225137051627,-128.6274785046212,-32.83425354152292,591.9924405656068,-58.19521774098158,-69.14567815531917,-447.0617046611451,-181.54314151622336,-49.25519551061955,-108.75982375278961,276.87755698165313,453.58103322244546
36.0,277.2000000000007,637.837388199594,-270.04907587233174,-539.1268976955049,-546.4064650569551,-43.38664925057909,-6637.126431119598,-23.389148552281465,-96.46834425393368,-24.011945912022938,-49.52264993370331,-191.4924514877304,-129.669816206304,5500.041614036656,-237.3941700776603,-216.18802824873654,-54.93402175325666,1087.5709949216873,-97.36752706135525,-115.68947847089466,-812.6327836920763,-331.72892128002854,-83.38836571121514,-182.94909959162018,514.5873202077051,758.8022369272402
48.0,279.60000000000093,986.474314577907,-403.31260755485425,-849.9306793650512,-849.3354784218212,-62.550232858366,-9722.528251961056,10.211555398497849,-133.0496742147786,-40.98511425952866,-28.99496049573194,-290.0617912943163,-188.71336484131757,6868.787241149378,-344.0154886704412,-313.44362934479545,-79.19410207512942,1735.9780985981083,-140.37210871687242,-166.787286737137,-1284.560170750514,-520.6396082296762,-121.98930668234522,-265.52750103138305,831.4228590496008,1093.769280830596
60.0,282.00000000000114,1410.950776925333,-545.496063871286,-1227.5547241170946,-1216.51682429096,-82.42524069612486,-13103.94221818319,76.18083951480864,-164.5319772071707,-63.05893988888773,17.696692474925808,-396.26581774248456,-251.35566827429642,7620.531897653112,-455.99937604551945,-415.7147623605251,-104.35194123916014,2534.6877046403692,-184.97172363898653,-219.78098156695475,-1862.3171653197344,-741.9540854623505,-163.4297943062271,-352.57965438857724,1225.8696674117732,1441.0027558361892
72.0,284.4000000000013,1885.1355106166593,-678.9929403618588,-1661.1980214505695,-1556.954499385783,-101.28917292595641,-16620.869469323818,165.68790006988462,-186.07745289438597,-89.85493941484447,83.33001394076409,-495.6137603482895,-313.14324324088983,7581.247132132629,-564.6183003386436,-515.1150750864114,-128.22978984781196,3470.696778069754,-227.30239432339974,-270.0787345915612,-2529.7369334048913,-973.3225392636082,-205.09410834530092,-437.53538453250275,1604.1162836223693,1770.3872013415184
84.0,286.80000000000183,2305.703992934483,-777.4789675128645,-2117.9673361481573,-1618.0330161911484,-115.46380171154077,-19874.198296465707,238.77235835952786,-191.82370104782794,-120.02098034799917,145.78598935273405,-568.4352000163199,-364.51519975193867,6478.931538915559,-651.1841086690833,-594.7527919211808,-146.17674731685148,4470.659082759249,-259.1127085663372,-307.87495488212454,-3189.669959608295,-1160.3265911536048,-241.3456637314412,-506.3140561062391,1778.0677671649098,2017.6638012460917
96.0,289.200000098207,2659.4657153783705,-845.6889914160906,-2573.7007478428645,-1679.363038027166,-127.97977852427539,-23242.871862106673,305.5206635589101,-197.37465412565322,-151.98912111658746,216.31953079655207,-613.9830847318193,-412.1548447101448,4621.232758372319,-729.9000104060218,-667.3511278313314,-162.02437166006027,4975.533048262314,-287.201097886942,-341.2487023123757,-3355.0504863696765,-1340.8327557941307,-275.6343074978611,-569.3232255231987,1914.6658627804877,2235.7852335178795
108.0,325.20000009820717,3248.9254564482153,-979.4843048471731,-3005.746988391007,-2219.149770952956,-136.17476835266007,-27145.69849561599,436.230116278907,-180.93254140297628,-206.25127987299135,379.9164170667219,-735.3618768571647,-444.99220667220584,3415.171410297764,-780.9186509934074,-714.9418923555503,-169.86791408751318,5965.45324353905,-304.30365582983336,-362.1674060923047,-3953.6437141253605,-1570.430339493362,-299.46331771085613,-613.36821448325,60189.53389152274,2242.6920848375266
120.0,361.20000009820774,4040.931812091828,-1170.7004971076176,-3438.9042254389633,-2835.1819503044203,-144.16256906462766,-31166.33828411383,610.4153393955645,-153.94844337503363,-282.2637820785957,578.1067994543147,-915.0077979015181,-476.9654082264934,2469.8024365682445,-830.1372974152647,-760.9463056027963,-176.95640353646604,7112.200166853812,-320.69056142546617,-382.3521164029847,-4678.256100713492,-1831.6313643024178,-322.5973151948824,-656.5172011206491,129780.71830107075,2233.1377316440066
132.0,397.2000000982077,4926.220675606303,-1378.6457272855466,-3869.201057736336,-3467.5350481440523,-151.4838212102714,-35219.644257092885,820.422511892122,-121.11200756936917,-367.6711458908367,804.0910522617908,-1112.672807449914,-507.1983115305591,1733.8035082027839,-875.8862680430408,-803.8266753161612,-183.11394027962723,8271.872840448641,-335.53734671027996,-400.727437291934,-5421.8462846842385,-2114.560091073763,-344.6928776866137,-697.1466640564105,201362.6070714259,2206.1427474856487
144.0,433.2000000982077,5854.487632377003,-1592.8694385356073,-4294.390210013904,-4100.996827426941,-158.19594552007277,-39303.64686557645,1066.795514019617,-85.4512674338966,-458.05923133140163,1061.1088423399667,-1317.7329834651246,-535.7400818681592,1269.0195609057926,-918.4193740040217,-843.7921933246074,-188.48580921522935,9410.382025275128,-349.0098017310928,-417.4732203813506,-6167.44371897347,-2423.1333036503306,-365.7455587404091,-735.3434927991667,273268.5361851502,2165.1891729978106
156.0,469.2000000982074,6801.257610661083,-1808.5938609306356,-4712.876802040515,-4727.692606748377,-164.37229643191648,-43387.50489444961,1346.2207978246595,-48.55326630539328,-551.0120131429434,1346.8115037938298,-1525.242067477494,-562.7098019805788,1042.149816937206,-958.0697373560164,-881.1316193041015,-193.20219612580885,10513.7367346332,-361.2915284603379,-432.7988086176204,-6907.141229548424,-2755.7358795800174,-385.80011953867586,-771.2999960801437,344642.335450146,2113.372006799794
168.0,505.20000009820734,7754.343959845556,-2023.197096055231,-5123.491225020169,-5343.151344525263,-170.07887842462728,-47424.73930585518,1650.7113470738898,-11.320199958978922,-644.8827890291227,1653.5683423907753,-1732.4357967646254,-588.2382706155595,966.0537288188777,-995.1524829145453,-916.1223652284204,-197.37057646681214,11579.009048258464,-372.5428145590102,-446.8890080745853,-7636.144328083618,-3105.374251220483,-404.91946666040377,-805.2172282005857,414935.6681969671,2053.271020460943
180.0,541.2000000982077,8705.982864868642,-2235.0291853261756,-5525.356151255447,-5944.392882411689,-175.37154302598213,-51377.8949449279,1971.730059514811,25.708747830939572,-738.5087670778453,1973.2532416766694,-1937.5473028178824,-612.4438877428593,968.1236742053483,-1029.9388028190194,-949.0045595898831,-201.07817488959913,12607.177138840912,-382.89739992575386,-459.8988275112244,-8351.175767090519,-3464.452619351352,-423.1641597842655,-837.2747177614333,483769.97002145986,1986.9977841227226
192.0,577.2000000982079,9649.896739427952,-2442.943720513432,-5917.801169637125,-6529.182302817404,-180.29645735749705,-55224.886207861535,2302.5692448695127,62.19918812556514,-831.0802802820671,2299.680183023814,-2139.3354591514794,-635.4252094619134,1008.6546531688302,-1062.6518344172243,-979.97612037111,-204.39508359640394,13599.43797598936,-392.46481289999076,-471.95565803780096,-9049.855857494551,-3827.2185728149725,-440.58473259042825,-867.6224572210698,550878.4475850024,1916.2645032642477
204.0,613.2000000982077,10580.84167377913,-2646.113228477186,-6300.30839864845,-7095.845598465956,-184.89164654306026,-58954.12908652753,2638.306036799141,97.93745487803531,-922.0291792788622,2628.45147768753,-2336.8961305664297,-657.2637316131674,1069.477541742539,-1093.474474603983,-1009.1994952072315,-207.37761961724146,14556.596740545649,-401.3345462039846,-483.16390330634863,-9730.410231895285,-4189.628204806269,-457.22297887909434,-896.3849461776257,616073.8360483347,1842.4559301075576
216.0,649.200000098208,11494.594542935749,-2843.939465080997,-6672.477901746358,-7643.198466296835,-189.18869643001773,-62559.693757813715,2975.2199157787727,132.78467156757873,-1010.9499621702091,2956.3208460246856,-2529.5685195612677,-678.028529279237,1142.4880959349664,-1122.5590203089312,-1036.8102634155518,-210.07138489389285,15479.278755355015,-409.58033818141286,-493.60985289642116,-10391.512922105272,-4548.726305190825,-473.1148709204633,-923.6675133617317,679227.648372187,1766.6931799433999
228.0,685.2000000982082,12387.868742715782,-3035.9971050240474,-7034.005383749615,-8170.473672913009,-193.21419591046165,-66038.7072780554,3310.39318344661,166.6507270419985,-1097.5512083601227,3280.7844285174215,-2716.875652953657,-697.7798121010013,1223.809898039949,-1150.034834229771,-1062.9239556199152,-212.51371133713127,16368.097060458698,-417.263724487911,-503.3657562324855,-11032.192550636762,-4902.251521976636,-488.2926413597202,-949.5613635656039,740255.9759344201,1689.8852185292412
240.0,721.2000000982083,13258.17554593027,-3221.993868691308,-7384.667103697758,-8677.246459415806,-196.9908488658048,-69390.12975378605,3641.4943821173874,199.4786429416933,-1181.6253583692082,3599.8686592342674,-2898.4820708275893,-716.5712974082952,1311.3490865675763,-1176.0138586008002,-1087.640922752874,-214.7355127893681,17223.71042429062,-424.4367594290015,-512.4929511640119,-11651.769245769572,-5248.435067139589,-502.78601695767964,-974.1471156417242,799109.3004585155,1612.7692844776238
