t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,274.8000000000003,153.0980350996447,-65.77556589961698,-120.42612604875464,-127.12705060776598,-11.250516164887863,-1712.011045845542,-18.50812743355416,-25.623545280341652,-4.9302718615396275,-26.427132334309185,-45.40396708178837,-33.19299638797007,1803.3914918338064,-61.127132468011325,-55.627261308788064,-14.248652571564888,237.7463796893753,-25.24667954375897,-29.999375202407894,-181.03836329690066,-72.43710052230045,-21.19358937625725,-47.007726348732604,124.31353168811732,196.800221630052
24.0,279.59999999999997,365.5133862495392,-157.93439771970247,-297.86774161934096,-308.147946557687,-26.079566231465,-3957.976874838315,-30.55001154440498,-59.736820052687236,-14.533407508963423,-46.23204595294251,-110.712409082773,-77.30920645387117,3755.518375053988,-142.0616730905205,-129.31263027690065,-33.02903867059848,594.9575002429256,-58.52277124990287,-69.54043139464952,-448.20647780899,-182.93941175966552,-49.493904505599296,-109.33316907988868,315.47144606106326,456.1521039027288
36.0,284.4000000000002,647.5174294504187,-277.02645138141463,-541.9359255829769,-550.3114256561441,-43.84051568193331,-6700.73965798286,-25.312094097947664,-98.77863176345716,-30.421441581810953,-48.8389997386022,-197.646954380559,-130.89759009715434,5597.2875683791235,-239.7461882539793,-218.3148536774412,-55.5218361403047,1097.346192477852,-98.37637638754002,-116.89855809501135,-816.7941162186222,-336.3972130989452,-84.13979264031849,-184.73156541624027,589.1131267144651,766.699372902712
48.0,289.2000000000003,1012.3283281796151,-420.54107546209053,-857.3237458970051,-859.657352669697,-63.56783473234966,-9856.13459567741,7.880402712000936,-137.69104093282127,-53.845630753916396,-26.1753767936986,-305.4461266333278,-191.50402089307997,7049.195954432175,-349.32829063574593,-318.25362434343003,-80.50381288259497,1760.6916882946502,-142.6399073714678,-169.49878150788467,-1295.5406938129547,-532.3947112385454,-123.70715590907868,-269.56351454246135,959.3832352949622,1111.498709822688
60.0,294.0000000000004,1468.1311475831922,-582.7511766332345,-1243.7107176378224,-1240.5829735901846,-84.35053105491085,-13345.2977921808,76.03661618658172,-172.26470223237743,-85.447390142226,26.065159528708698,-430.03304453699343,-256.6763216225796,7901.278937627172,-466.09318001264916,-424.85954277729286,-106.82090511422702,2588.451545358771,-189.26837882322715,-224.91164859110194,-1886.6667628858254,-767.2292545310858,-166.71562233848218,-360.25845490436745,1434.9887763609959,1474.564475371155
72.0,298.80000000000035,2015.3593402364775,-753.908321016985,-1695.4140158135203,-1692.9959750322873,-105.453647174381,-17109.50196976476,180.28557281429454,-200.0953129905124,-125.23260259438416,107.96979740045464,-562.9900027660042,-324.32996572547313,8036.232838959054,-586.1315723176219,-534.5826057105941,-133.54233336018558,3569.1745833560685,-236.61259252220978,-281.17743940431944,-2584.324347446343,-1034.5281299229662,-211.86452477415463,-453.82936255466143,2005.577090362709,1843.009120597172
84.0,303.5999999999999,2607.4851883276197,-917.5338886842404,-2194.2366110676844,-2035.5886844378538,-124.68991584011492,-20927.912009110303,299.202133182905,-215.526670078512,-172.90233442496344,203.42978628546797,-691.7929466293973,-388.95529227055226,7283.926280033268,-698.5093987853762,-637.5574755805167,-157.90070623336084,4678.493242652241,-279.7703922166919,-332.4665884095221,-3349.5662427780117,-1298.9838826648606,-255.97548899202434,-542.0785882265867,2475.6536734925894,2178.652413624819
96.0,308.4000005271136,3149.858868089857,-1051.6637451893798,-2703.9782129907585,-2157.2291355755187,-140.6031052112553,-24625.421963251003,399.10740573586935,-220.49257048430724,-226.7898381962997,294.184622841562,-797.1116230153641,-446.3588649909794,5474.432484594877,-795.4206815778223,-726.6898009873831,-178.05308632516216,5541.347538833489,-315.4769786982406,-374.89743362091997,-3817.862462552296,-1529.553037434666,-296.4074653041743,-619.0234720853925,2744.4052385978875,2456.0786365088875
108.0,326.40000049378534,3809.9215620117047,-1175.8141666127258,-3165.676916089061,-2580.1339618562856,-148.38840458319316,-28459.52175501653,538.1991863637157,-194.7976818127022,-289.84206242681955,454.3504432379738,-908.958668197062,-479.33854338313193,3468.3201648755926,-845.8088541736523,-773.4297758789123,-187.0852350892198,6345.321475960986,-331.0947539219859,-394.82900150569066,-4204.743908986747,-1753.152349172618,-321.55667033220055,-662.2231780338838,54254.82081152308,2450.2344040335192
