t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,273.8279999999998,152.9790655744502,-65.62392418213898,-120.38537746845472,-127.08022271813765,-11.241548104251628,-1710.3491066264357,-18.421042339105526,-25.558471438677365,-4.715791462238645,-26.431672777933326,-45.27139119130114,-33.168689794769776,1800.243123858168,-61.077674792799435,-55.5842873521531,-14.232867459855104,237.54770095057583,-25.223701376218646,-29.981182393486627,-180.9736096882735,-72.35968139898087,-21.18007292069307,-46.97777511764764,146.20956947010706,196.6295234054659
24.0,277.6559999999999,364.5116478416773,-157.07400096120566,-297.56302936166554,-307.74056671360256,-26.022784881755925,-3949.092576990172,-30.165180325485967,-59.399924449196675,-13.573279794212871,-46.262286285860846,-109.96199558549354,-77.15471203278034,3740.284730981539,-141.75888278045562,-129.0429203976809,-32.94590253718966,593.7747744918287,-58.388116763603726,-69.40352502380745,-447.74596085772356,-182.4252559598229,-49.40307701107767,-109.12255831005551,370.6343050502161,455.1236962413936
36.0,281.48399999999975,643.7315819495781,-274.3436562713758,-540.8228339393422,-548.7846570087752,-43.66463393556857,-6675.877659026359,-24.490767095501656,-97.8615632673513,-28.001663938426898,-49.063082113055906,-195.2959861914062,-130.41328796886765,5559.0825353906575,-238.8115636644091,-217.4761311742302,-55.278165997280595,1093.5000129006526,-97.9682122330732,-116.45660664566495,-815.1325364636299,-334.6557023058787,-83.84886750326463,-184.05665637095686,690.9235938024665,763.5572328923329
48.0,285.3119999999996,1002.3661014777728,-414.0464106859845,-854.4032392553754,-855.6725812946706,-63.17362368571303,-9803.89684171833,8.958881917477253,-135.84146317371827,-49.057030096686844,-27.132713883103353,-299.68690589411597,-190.40714997930922,6978.322600732614,-347.2305562232695,-316.36471028646764,-79.97060083625631,1751.0922028544614,-141.7334437618452,-168.49155162622313,-1291.189784150693,-528.0191605905285,-123.04012282820752,-268.0237539895512,1122.0848845029998,1104.497510915206
60.0,289.1399999999993,1446.5454351674578,-569.0240312019791,-1237.3826444651913,-1231.7354228891304,-83.61433085271003,-13251.774540333763,76.51597136542924,-169.1792546185266,-77.18996153927004,23.195188584667417,-417.67099727325916,-254.6123468324157,7791.668413985123,-462.1686049445714,-421.318831166176,-105.83805024402106,2567.838064876738,-187.58397811833217,-223.01406423162305,-1877.146623550278,-757.9589192006139,-165.45078244141317,-357.3517192851049,1670.6547583731144,1461.533302548453
72.0,292.9679999999995,1972.1842971664923,-727.2035232249814,-1683.0364451738858,-1668.7780162918255,-104.16548719555065,-16951.11168483266,177.6029488176695,-195.4556870325121,-112.2305164324255,100.66219204930502,-538.6613162407288,-320.73037473907516,7881.801600795273,-579.2891502508132,-528.4029728282495,-131.84145968572986,3529.1411202731533,-233.67791395946668,-277.83339033102754,-2564.8149563952707,-1015.9985444896311,-209.6579130638475,-448.7323934546313,2308.9107866585505,1820.2784298720662
84.0,296.7959999999998,2497.4843114233586,-866.6387568531659,-2166.0500278865784,-1866.5739882731748,-121.253360133776,-20523.4902390753,276.5583748796769,-205.70378343878107,-153.62778607200318,180.43786800950537,-647.1675737508508,-379.8447269114939,6964.940239080217,-680.8183509272812,-621.5847059024983,-153.46898938239104,4608.322495283375,-272.0111847711524,-323.41095691766367,-3294.8252770960185,-1245.9228671742044,-250.55150421666573,-528.8453914283847,2698.1480083728457,2118.3829275825415
96.0,300.6239999999991,2964.8383120257663,-973.159317340914,-2655.527040136955,-1963.7770022663242,-136.045019324788,-24104.773920085012,362.996586262245,-211.4588695006614,-199.30986828529004,263.02608560291105,-726.9119004536809,-433.9322929986989,5135.102993297603,-771.6247621069675,-705.1641794067936,-172.1933279049932,5314.396067763433,-305.19682798306985,-362.8621916540195,-3630.883511475806,-1458.484912936573,-288.8656342809364,-601.1065713460687,2965.7585043165573,2376.2060809565555
108.0,304.45200010037814,3368.895725560675,-1056.5567756511382,-3107.802873488352,-2062.0513898394925,-149.8522762445998,-27963.52449571669,445.42227177625153,-220.12075730673067,-247.76476066568844,358.61828354103295,-785.3129788191095,-485.98746851483367,3034.8847199822053,-857.9573457485221,-784.7500465461256,-189.67345702438905,5736.46532245027,-336.17611409366896,-399.6867904280452,-3723.8960183923564,-1675.4016271217054,-326.1964080748802,-670.1238083077019,3171.9409158158974,2616.6856898107567
120.0,333.1559998343106,3994.29417888725,-1194.3077686872657,-3501.9468893547983,-2689.890245337695,-159.11750340623058,-32471.656399078518,611.1260715734325,-206.66175108714367,-312.3177694702957,564.7793884496776,-909.9962172016051,-521.4327550678835,1852.0778478815896,-912.5086635248477,-836.057953245954,-198.07684026804046,6628.8676107051,-353.1711012762603,-426.32344616284394,-4291.769105484847,-1959.8228151127244,-352.9865750306584,-720.5550203003694,78987.8019064175,2609.247357725163
132.0,361.8599998343108,4805.392253069997,-1389.9406891885978,-3892.4435256082984,-3394.529009320428,-168.2232255658443,-37162.653537273116,840.1728705724088,-182.459727251444,-395.56826408031606,823.1216072245328,-1093.55310517327,-555.7275747127362,1127.6883155751725,-964.7745972929929,-885.4019600747591,-205.64728733814886,7628.964954478491,-369.08864496109265,-452.90001109652064,-4960.467638205279,-2294.4246385350107,-379.0288493012817,-770.3233999009332,169156.53320620029,2584.8204891366977
144.0,390.5639998343106,5704.7915925825355,-1603.9896313363984,-4277.620628562948,-4104.494633776186,-176.55637446421542,-41895.54692083249,1121.987571035868,-151.6529252418113,-488.39683918756015,1125.134943867342,-1296.9880680915778,-587.8502309843302,723.1815658347016,-1012.8837573918067,-930.9886661146267,-212.1827364908741,8612.495180527121,-383.20786925394987,-477.44903626256286,-5635.065069952243,-2665.851837503901,-403.7438191775858,-817.0321733928391,260608.47873184967,2542.224196785243
156.0,419.26799983431073,6651.337446989537,-1825.4882292627037,-4657.160086072981,-4809.722044964239,-184.20119951041698,-46613.21629078447,1449.17627656652,-117.66545861151634,-586.4367806836235,1465.6709691789044,-1509.1070108240183,-617.9749711689949,551.7752214165121,-1057.2986006613648,-973.2133053864143,-217.85735593964506,9562.852333962146,-395.7947865570535,-500.1561354229914,-6307.4398985062935,-3069.760666219134,-427.19101506392946,-860.8859542947923,351809.10145640426,2485.4275286286675
168.0,447.9719998343105,7625.393954460513,-2049.2858873500404,-5030.850759624496,-5508.076099853431,-191.2723271883784,-51258.051718823575,1810.772166211092,-82.37249460732527,-687.007738917994,1834.5679541300344,-1724.5376239335665,-646.3411608663916,498.7763697840539,-1098.5579832850028,-1012.5538050817805,-222.8290071628954,10479.886886458364,-407.1211155329538,-521.3196451356524,-6975.503976408485,-3497.0092733524766,-449.48286717756235,-902.2511204630343,442470.2064293397,2417.9331002294407
180.0,476.67599983431074,8613.906774908137,-2272.3927640667175,-5398.468512978305,-6198.223477819617,-197.8639164582943,-55795.27839883676,2197.375359987617,-46.819105664817926,-788.3669113180098,2223.1204458730185,-1940.1135697988145,-673.1487190810441,498.62064079517955,-1137.1019213337636,-1049.4020818209942,-227.22231146490194,11366.01662552423,-417.4042953634554,-541.1875566890468,-7638.123939170329,-3939.725240666124,-470.71688603478884,-941.4373977856274,532470.006561489,2342.550332302482
192.0,505.3799998343111,9606.608969201972,-2492.8728269417425,-5759.755943934066,-6878.339918575323,-204.04578263462807,-60207.52727009997,2601.9625527203593,-11.606167421283844,-889.3436153135892,2625.0078733856967,-2153.7643071567154,-698.5495416870633,524.7414180211222,-1173.2641636808405,-1084.0549581991727,-231.132941475228,12223.156618958152,-426.80927866717457,-559.9418527352349,-8294.256094943115,-4392.2088103682045,-490.9678305101509,-978.6745566055944,621643.7944641807,2261.4904408792227
204.0,534.0839998343109,10595.305128042579,-2709.413600791678,-6114.427215075588,-7546.135957396091,-209.86790892583747,-64485.35431105356,3018.88473411592,22.914349704567403,-989.1191807859047,3035.241330060489,-2364.0752000738516,-722.6588067048154,566.5526699649438,-1207.2962444431728,-1116.7355008645138,-234.63465381743205,13052.887795147355,-435.460160441252,-577.7097749798605,-8942.773526007462,-4849.920567343086,-510.29371520604957,-1014.1278282764367,709753.9568251173,2176.4965587366673
216.0,562.787999834311,11573.471474910546,-2921.1082547957744,-6462.178857688749,-8199.078535545672,-215.36570871197108,-68622.88658675768,3443.2698249781924,56.53688040536055,-1087.1049950414179,3449.5675028298747,-2570.0608310453736,-745.5660552873004,618.990478513245,-1239.3908366406822,-1147.6140636352727,-237.78527551401316,13856.662142129819,-443.45121448555847,-594.578250112589,-9582.441304680855,-5308.930981856867,-528.741528554956,-1047.9161827982393,796505.4249681677,2088.9535160238884
228.0,591.4919998343111,12535.927982460582,-3127.326652535215,-6802.701423010369,-8834.65573783878,-220.56462639804914,-72616.36274481616,3870.8365201468855,89.14482429500788,-1182.8733020189752,3864.288649586706,-2771.029341936212,-767.3434778288043,679.108757581247,-1269.6997571033173,-1176.8246055934712,-240.63107436641832,14635.78299729231,-450.85555785207595,-610.6070024885989,-10211.937225627245,-5765.779449249231,-546.3511482760323,-1080.1278425667742,881578.829908348,1999.9699924364759
240.0,620.1959998343111,13478.59170223452,-3327.6323088612744,-7135.690248828615,-9450.618939216043,-225.483830610151,-76463.63812104231,4297.856890114506,120.6762240822581,-1276.1136871580904,4276.2212898460075,-2966.4944556855507,-788.051929963084,744.9844668141402,-1298.347310528958,-1204.4768371353118,-243.20986288353848,15391.333284660213,-457.7316449693505,-625.8393139840441,-10829.892599166993,-6217.463953213234,-563.1579979030596,-1110.8325380923047,964666.3135163247,1910.4396704546646
