t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,273.82799999999986,152.9792135925517,-65.62397292027855,-120.38479954693642,-127.0759458772723,-11.240382663557842,-1710.21633723555,-18.427622947704364,-25.55676607939851,-4.71593904447561,-26.432034738615204,-45.27032975818936,-33.16626881607154,1800.0756486997361,-61.078782041796956,-55.582271920563436,-14.233662851385581,237.55223454908455,-25.225903995891496,-29.974094070167457,-180.97224395551675,-72.34580279197345,-21.177566105556714,-46.971527243817114,114.36891198888505,196.62974846448532
24.0,277.65599999999966,364.5188722734487,-157.0745751107766,-297.56175642811695,-307.7315006582397,-26.0198685546322,-3948.757975692345,-30.183062692292754,-59.39521733438381,-13.57369716444967,-46.266035395314724,-109.959686671023,-77.14872959848154,3739.8682956535104,-141.7619386241589,-129.03804181000524,-32.94796695510918,593.788496973111,-58.39378560577203,-69.38565781980523,-447.742794731979,-182.38757692811078,-49.39683644372927,-109.10692155396035,289.91995318037755,455.12493151337026
36.0,281.4839999999996,643.7539791960373,-274.34549150947436,-540.8209759592538,-548.7702261195803,-43.65925476094736,-6675.264985518154,-24.52636659480605,-97.85217973077621,-28.002515217385056,-49.074784042366076,-195.29234306081912,-130.40238144055257,5558.32670999078,-238.81764837966242,-217.46739676779598,-55.28208705581768,1093.5302086157212,-97.97890859679104,-116.42345213493965,-815.1273972162134,-334.58125367000645,-83.83741860588653,-184.02782298210883,540.4584185495379,763.5605385799573
48.0,285.3119999999997,1002.4092670948085,-414.0502300058091,-854.4009624978817,-855.6513353223687,-63.16494643674455,-9802.92926784293,8.896507039312542,-135.82547430526833,-49.05848159299073,-27.158114696262867,-299.68172173569593,-190.38973084291766,6977.144053626118,-347.24087732879195,-316.3509359088479,-79.97704321689767,1751.1492038261752,-141.75094688122695,-168.43786410613282,-1291.1825622146202,-527.8923737543286,-123.0217602111338,-267.9772930247767,877.7224921217412,1104.5039064062921
60.0,289.1399999999998,1446.6120271195086,-569.0308582391071,-1237.3803416723026,-1231.7053245767738,-83.60148281408222,-13250.38884125674,76.41599311642796,-169.15452815749538,-77.19216732950989,23.150361910941378,-417.66428987575256,-254.58680881300168,7790.01311697268,-462.1845462112162,-421.2988621482855,-105.84773263710848,2567.934933391973,-187.610198464083,-222.9343200712572,-1877.1375440526983,-757.7637689675354,-165.4237635431618,-357.28302896432115,1306.8269844129989,1461.5440709063116
72.0,292.9679999999996,1972.2755172858865,-727.215118134108,-1683.035187529511,-1668.7420804210815,-104.14789206462217,-16949.29328839415,177.45754501677368,-195.42036221201155,-112.23356710026289,100.59578925553726,-538.6539140885905,-320.6958321608527,7879.684015327201,-579.3123343188778,-528.3764484806625,-131.85504520201275,3529.2899537741496,-233.7145134884692,-277.7236110423359,-2564.805602495768,-1015.7258074294645,-209.62115181188315,-448.63841117585514,1806.0955060646838,1820.296125344042
84.0,296.79600004343393,2497.6042250968558,-866.6574550002387,-2166.0543245686904,-1866.573903562346,-121.23352840319765,-20521.558329639043,276.401572016921,-205.66030085584845,-153.63140590104672,180.36901258769115,-647.1627521785734,-379.8069116686206,6962.745378796321,-680.849805392225,-621.5577150078525,-153.4857879829988,4608.498226884136,-272.0555910027919,-323.28461649221157,-3294.8233353900696,-1245.619302631612,-250.51031837047356,-528.7390133477668,2110.6042987534406,2118.4163397746474
96.0,304.09199999742043,3042.4688199300963,-958.2402490140817,-2614.3432111807574,-2044.1724797717825,-127.14769822224919,-23705.947044720087,377.71645482834197,-176.0317401845898,-199.81571434673475,292.6548735450431,-729.022355626843,-408.17168194177407,5020.500793487871,-723.6245656971112,-661.137094752984,-159.93475438847906,5434.694346397952,-284.6998843967839,-338.99059129934994,-3700.8319362150814,-1407.5280665411597,-272.82721967796834,-565.5105310554351,30799.6653281569,2114.122408029396
108.0,311.3879999974205,3582.3136273681753,-1048.5572312978643,-3013.6286768214522,-2229.0361876985535,-132.1217640925389,-26836.669567153673,481.5450054040844,-144.80904674953766,-248.9439099343037,411.27965817908057,-811.250201785951,-433.82877162788833,2931.649218595974,-761.3762709289101,-696.174126804995,-165.2652687617724,5995.002847295986,-295.2778759304521,-352.1941438870552,-3878.6706690015158,-1567.6752390751842,-293.42113136804187,-598.3406238665012,57497.440832522785,2088.267955546456
