t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,270.9720000000002,152.59852200512196,-65.15097967001873,-120.25685686544178,-126.913187287889,-11.209114893959914,-1704.7357993230648,-18.186005479938764,-25.354874713849743,-4.035683273144829,-26.45138937961824,-44.85343798305809,-33.087703470891704,1790.0193168017247,-60.92125523839193,-55.44216423086856,-14.196203358842402,236.96380793722676,-25.15589200401877,-29.891224155581487,-180.77809184486108,-72.05799180703524,-21.132193118243865,-46.85108330530514,54.15939155431615,196.1177400986272
24.0,271.94400000000024,361.35510651072417,-154.28531416951742,-296.62168607531913,-306.4305966642175,-25.835680445913535,-3920.5500203317856,-29.098493572505287,-58.35969791038022,-10.325020291150745,-46.452263954824204,-107.50263918079415,-76.66502843143651,3692.139097625011,-140.81753184504515,-128.18907970084933,-32.72012258560866,590.1176637163421,-57.98083135841045,-68.89578193650463,-446.3419981765113,-180.59878964462112,-49.109188571702454,-108.38822401985254,136.76121084914206,451.9909403224198
36.0,272.91600000000034,631.4341174198288,-265.2308569618647,-537.3684933808613,-543.8563992927753,-43.09351298065324,-6596.684887823071,-22.322474208200745,-95.04701315696757,-19.384611982174487,-50.21450741705949,-187.19966362298746,-128.8833131210733,5438.635795414172,-235.88757060362647,-214.8239355919052,-54.575724439886905,1081.1661008596295,-96.7100384650359,-114.91720861535956,-809.9975120994264,-328.49992092487605,-82.92100827603865,-181.79760914298475,253.21333937797345,753.8273935636963
48.0,273.8880000000003,968.6011330309045,-390.6995395878423,-845.2087851410146,-842.220816462995,-61.877640917481074,-9636.179742064707,11.161967479511892,-130.20393352686256,-31.342562964213943,-31.592697539976946,-278.65783706859304,-186.88968914990073,6753.382324732528,-340.5343713856842,-310.28998542956793,-78.36327936047779,1719.1690240859812,-138.86335062396006,-165.00892567182427,-1277.4626258586966,-512.1942670713527,-120.89346345948336,-262.86976378454915,406.1819661859028,1082.2516211375234
60.0,274.8600000000001,1368.5835049277637,-516.3751981069048,-1216.7522777450824,-1195.3688534609937,-81.04575709575504,-12937.662864538837,74.34728210627051,-159.66449882166947,-45.85467914350919,10.060894506240048,-369.62938264688813,-247.6214082392355,7431.530294203021,-448.8587810831717,-409.2464137197327,-102.63613475756647,2496.909628406029,-181.87723765724036,-216.12474695081244,-1845.7181103927007,-722.2892570990738,-161.1821487712257,-347.1392955748404,588.3927724183047,1417.2428339411474
72.0,275.8320000000001,1758.6459537173193,-614.3967238513212,-1630.6043232294467,-1344.6500189478836,-96.5272422523454,-16087.692764756244,140.9400456326919,-172.53822035334613,-62.23884511637764,57.57139532919083,-439.6190626908746,-300.8559731809234,7092.3033946072865,-540.5341845219665,-493.3549385645457,-122.24198508484307,3407.304386601035,-216.61986832578285,-257.4092112272708,-2479.572307587795,-905.8462122391406,-197.90489305197548,-419.3838463531629,697.0671843969421,1687.6064111407538
84.0,276.80400159351603,2077.990596622957,-670.7434370262067,-2056.8295999768166,-1369.1090649485639,-107.75072934369983,-19074.579656908398,197.08936617352018,-175.4264847800993,-78.93621923317305,111.6952942985312,-475.64209964511934,-344.2154118421515,5866.172724381606,-611.7629402295308,-559.097548543839,-136.45645500116004,4274.245838050893,-241.8080899981908,-287.3387535208072,-3030.339637779984,-1058.5979479764808,-229.29346399049558,-476.5242775741475,749.5611133874985,1883.341440157279
96.0,305.5080013210958,2571.5985893522416,-775.372670408448,-2468.6757101473418,-1786.617233017648,-114.0303413517433,-22344.097967492387,294.5656707288721,-156.74594311198544,-117.555096279474,229.58769770181382,-570.4055254710448,-371.94396988375405,4651.783658841588,-654.0178349676229,-598.6892805059937,-143.52291436845226,5166.012967557861,-254.86666179953176,-304.19535002261813,-3535.351953878495,-1230.3293632319026,-250.7121449047853,-512.4390262538448,24682.848867494762,1897.075331118319
108.0,334.21200132109607,3246.667030355548,-931.2114576747226,-2873.442197971243,-2283.4127064375302,-119.99697075963246,-25671.8746341127,422.22016446975795,-127.89253709303163,-177.71488213448276,370.5818718771662,-717.2906212366329,-398.47164600784475,3526.5508789019273,-694.0499533034463,-636.3044514428589,-149.98958002957582,6182.934003415435,-266.98552095022416,-320.2427448922646,-4135.59836333291,-1422.1027405712152,-271.3527572305911,-546.8777082429002,54098.53514870573,1895.614677341793
