t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,272.4000000000001,152.78401870702447,-65.39007176154239,-120.32038140412986,-126.9906024961434,-11.22345041142497,-1707.3262563113678,-18.311673324227975,-25.4529908368479,-4.385938196182757,-26.44285058031776,-45.06462982447315,-33.12642578789567,1794.8721087933882,-60.9961237070543,-55.5098161164072,-14.214815734605923,237.268242061931,-25.189180050749076,-29.928520878025335,-180.86497144655968,-72.19172291071412,-21.154259478251088,-46.905996781326756,42.58732123925423,196.37607894315548
24.0,274.8000000000002,362.9691332150338,-155.7265282262736,-297.0956462830644,-307.0830645656322,-25.925539524804876,-3934.4011239508845,-29.654015878461557,-58.873039890251114,-12.037726157329512,-46.35199899823597,-108.77622486609872,-76.90806863267548,3715.7738183595984,-141.28509173286264,-128.6121867155594,-32.83508248816767,592.0212805099761,-58.1853185464322,-69.13305083472358,-447.02459866763604,-181.4867135899673,-49.2529303552008,-108.73802981326948,107.76327020667206,453.58229356884937
36.0,277.19999999999993,637.840697635359,-270.0371052835058,-539.1239431080645,-546.3734416126608,-43.37598947791578,-6635.8900987241705,-23.428599614685034,-96.44542080370036,-24.0133755860782,-49.579198591961706,-191.4852998353193,-129.6543627945208,5498.542828261819,-237.36260622852765,-216.1599182054774,-54.93560812769279,1087.6347512007403,-97.34921003616903,-115.66610632796271,-812.5646325764757,-331.61379673338115,-83.38435572297304,-182.90887737408556,200.28040930067917,758.8052101818504
48.0,279.5999999999998,986.500813011488,-403.29486982406473,-849.9263939953698,-849.2875103115285,-62.533011547283486,-9720.569229201528,10.137061203192355,-133.01062706672099,-40.987430488914654,-29.100263114813398,-290.05183623307283,-188.68856219661336,6866.450454241687,-343.96466080929525,-313.39838090227045,-79.1966675611474,1736.098019861662,-140.34251782378556,-166.74952895163847,-1284.4511268013384,-520.4396810458499,-121.98299142156993,-265.46268142785243,323.5911763959382,1093.7741147773982
60.0,282.0000000000001,1411.0058832994462,-545.472573925683,-1227.5493394143168,-1216.4519803346732,-82.39993402839151,-13101.144150246077,76.05544876730742,-164.47224607017037,-63.06225541422629,17.527354582607643,-396.253649019271,-251.31949429532858,7617.270990324711,-455.9250406510181,-415.64861188087787,-104.3558313950752,2534.8891066062483,-184.9282846063543,-219.72553687032277,-1862.1590343870976,-741.6459785719932,-163.42078808976694,-352.4845826370816,477.10851808589405,1441.0113639755898
72.0,284.39999999999975,1885.2418770843046,-678.969202578197,-1661.1960928479964,-1556.9520487382392,-101.2571976191573,-16617.448273403596,165.52131523347424,-185.99849885749506,-89.85898183666936,83.1071759367524,-495.60277344995285,-313.0989564370725,7577.35102956949,-564.526906814152,-515.0338351059255,-128.23632325086686,3470.979564347164,-227.24810961738976,-270.0092213927247,-2529.543884022381,-972.9281300766671,-205.08415593495045,-437.4154261021062,624.3455460315512,1770.4183888397265
84.0,286.79999999999956,2305.874989418033,-777.461106171082,-2117.9727657115886,-1618.033070645439,-115.42887440746425,-19870.676665718824,238.61255428309968,-191.7273830251703,-120.025470933419,145.55306878934934,-568.4305388658863,-364.4680023890572,6475.133001140818,-651.0859761670315,-594.6656620759754,-146.18464198924593,4471.038655508068,-259.05369396408804,-307.799278056064,-3189.5287050608295,-1159.9080252293925,-241.33597418978016,-506.1836140434895,692.0525268842556,2017.7073692409522
96.0,289.20000014459214,2659.700890875464,-845.6736825364554,-2573.7132222994805,-1679.363132801794,-127.94241795952975,-23239.379948884667,305.3787680619411,-197.2615572236239,-151.9938744767013,216.09293538250574,-613.9815374691037,-412.10509549289696,4617.78663671085,-729.7960337016818,-667.2588768798306,-162.0331893850254,4976.080025049897,-287.1381105628943,-341.1678782954556,-3355.0493701287296,-1340.4084509833872,-275.6246809099047,-569.1841433353325,745.2214968665631,2235.8364921510824
108.0,325.1999995979031,3246.6737466555783,-978.068606742621,-3005.353165222237,-2215.1000335266854,-134.91337090447433,-27036.381273313338,427.58811551378477,-178.44732247233625,-206.5572213634355,370.6651097131203,-734.5369153670628,-443.139036958763,3315.145986329266,-777.1440367947131,-711.5787206992497,-170.0342729346236,5979.706170428973,-302.127901612966,-359.39449044460054,-3947.920445334039,-1554.197780281228,-298.9639423030378,-608.5998846804383,23446.700399862995,2242.747904733987
120.0,361.19999959790334,4034.586901217034,-1167.512174061014,-3438.0708900259247,-2825.8224247981952,-141.43782626051873,-30936.78827083263,589.5926614173987,-148.33121972804992,-283.079865289632,556.7648529711722,-913.1019435063877,-472.9685414528376,2276.0396126103296,-821.9854327741059,-753.6839090374752,-177.3090715865617,7145.41281569054,-315.98831594617207,-376.3601267944668,-4666.030104873629,-1795.193825117084,-321.52480541762856,-646.2286685451924,50550.512905525306,2233.130067153541
132.0,397.19999959790346,4912.233329952875,-1373.4606623212076,-3867.932210415968,-3451.8868283504185,-147.25040285636393,-34885.55891139012,786.9035719939694,-112.17331834255921,-369.1570493508439,771.1904597685315,-1109.4880285272523,-500.9915582401663,1496.197195558386,-863.2184370444245,-792.5417149961826,-183.6538377674239,8324.886206101937,-328.2285384458628,-391.41503005731755,-5402.980962971982,-2058.1870026588294,-343.02966836505266,-681.1708884144559,78430.0243819444,2205.9734435198675
144.0,433.1999995979037,5829.4987652083355,-1585.4997395671376,-4292.671304782107,-4078.2300590772143,-152.44244761687114,-38881.83569810413,1021.1523336482071,-73.13701677379383,-460.35110449798987,1018.1181077051269,-1313.093036287533,-527.3030065282088,1036.4095092650216,-901.1931971738892,-828.4468148860987,-189.20786906035715,9482.591046627833,-339.0722687970644,-404.813113304547,-6141.8338272104875,-2348.2147878829824,-363.4833859698944,-713.6386549837032,106439.03816806806,2164.754760042863
156.0,469.19999959790346,6763.619341048912,-1798.9354336373385,-4710.676809549299,-4697.381719371284,-157.10566935782458,-42885.30683687229,1288.3183476925083,-32.87079500079269,-554.1712002480408,1294.1710831771018,-1519.045361304783,-552.0520871149669,835.2449533411374,-936.301302495423,-861.7403835807243,-194.09950241270872,10605.022092945168,-348.7349788626928,-416.80425882396463,-6874.6663634157885,-2662.736892834724,-382.94114018311757,-743.8963664216775,134244.137479726,2112.588613154904
168.0,505.1999995979037,7703.925488304126,-2011.2215732596073,-5120.768737049979,-5305.220951702103,-161.318869528385,-46840.89192761236,1579.2397719550888,7.690518742990258,-648.8967740752123,1590.2945871613151,-1724.6486782769537,-575.3930827044418,780.6146740394339,-968.9021637876631,-892.7397113498813,-198.43639740627472,11690.28339814286,-357.3997442777117,-427.6020357439585,-7596.669657217291,-2993.4108216090663,-401.4756102086372,-772.1967312095127,161630.45518023885,2052.0859027695346
180.0,541.1999995979039,8643.115331774967,-2220.739106979606,-5522.063706526051,-5898.893719560683,-165.14709758558496,-50709.468595921906,1885.1638460445236,47.98809514112387,-743.3355580310376,1898.0443671576681,-1928.160974588035,-597.4592983818623,794.0314987070161,-999.2971613561934,-921.711886738423,-202.30638231950786,12739.47129386519,-365.2168655050446,-437.3822859143329,-8304.563001649067,-3332.377779135939,-419.152412637788,-798.754080732537,188449.19458210916,1985.3854650525584
192.0,577.1999995979038,9574.876581230756,-2426.349366839696,-5913.887704827918,-6476.183632806219,-168.64298698762286,-54470.42762814352,2199.7651520181403,87.67360165113648,-836.6739244162061,2211.563755849909,-2128.344626977438,-618.3580657236791,838.5950583803537,-1027.7289408388735,-948.8720681798011,-205.77995592639243,13753.33836210928,-372.3075072846919,-446.2870407291498,-8995.974813996962,-3674.2534307366,-436.023933481276,-823.7411865638163,214595.45523259937,1914.218662352121
204.0,613.1999995979036,10493.883123762313,-2627.2284494836676,-6295.720793617142,-7035.421302634643,-171.84904672319635,-58113.68900885718,2518.5482728211614,126.52269946666735,-928.3450997490556,2526.831881503792,-2324.296195217454,-638.1763560206888,899.3035406346524,-1054.3932719843917,-974.3940110716733,-208.9136513360068,14732.230665761572,-378.7692069889737,-454.4308336622553,-9669.148190859189,-4015.3973855912022,-452.13264123051437,-847.2977856691208,239995.59915713198,1839.9832773490991
216.0,649.1999995979037,11395.877177796621,-2822.782353060688,-6667.1622298227585,-7575.433751171897,-174.79991163879038,-61634.26064512567,2838.1161736418167,164.38850107197024,-1017.9448308375104,2840.8769323439233,-2515.3572005461956,-656.9867375127714,969.9493599044101,-1079.450953237554,-998.4207354248861,-211.75318482810593,15676.442776453332,-384.68116160708155,-461.9068316992412,-10322.781653527425,-4353.146980169737,-467.514736999821,-869.5393642688191,264599.0767778218,1763.8092645547345
228.0,685.1999995979038,12277.571405093247,-3012.59045183975,-7027.907915424207,-8095.469456205257,-177.52415945948866,-65029.790626397735,3155.781354918056,201.17508729211156,-1105.1824373557577,3151.3823011031336,-2701.0541155979004,-674.8515138603055,1047.6220320943357,-1103.0367085290145,-1021.0724405985985,-214.33596192187804,16586.367360224456,-390.10846785035153,-468.7917701989915,-10955.932444717211,-4685.43990483328,-482.20241875138674,-890.5635708782753,288372.8251842838,1686.6115773604047
240.0,721.1999995979038,13136.490454159735,-3196.365068436028,-7377.735263058892,-8595.120092899542,-180.04568097125284,-68299.52916524686,3469.380442853121,236.82150718607838,-1189.8510343887642,3456.5071332784282,-2881.0553167966123,-691.8254385058186,1130.7040325113792,-1125.265479765919,-1042.4520610632085,-216.69295881832826,17462.516712986995,-395.10531293714854,-475.1496705347905,-11567.951213530941,-5010.647161933852,-496.2251797160854,-910.454644099916,311297.27236954414,1609.1313682157863
