t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,274.80000000000086,153.0842045438551,-65.7720941347777,-120.42384311675372,-127.11949133784907,-11.247992241509333,-1711.718339614178,-18.515600579413032,-25.616893562051764,-4.930615737215685,-26.433769289410144,-45.40285079571047,-33.18942071424461,1803.0260653310118,-61.120388259704484,-55.62117529958321,-14.245589342242502,237.7566679531474,-25.244365418170712,-29.99382894741958,-181.0192987350763,-72.41535810789733,-21.191679041863836,-47.000457467315755,50.39080797067801,196.80046067074088
24.0,279.60000000000093,365.4962273101652,-157.92653803576047,-297.8622355119706,-308.1330920483663,-26.073210473325467,-3957.23886323128,-30.57238711567318,-59.71888881330365,-14.534410130957182,-46.25619500249116,-110.71043775031181,-77.30037464799277,3754.6138341206424,-142.04492271830114,-129.2975261592069,-33.02132745374337,594.9893229490918,-58.51700916176382,-69.52648788591284,-448.1585467895531,-182.87736226271466,-49.489246339724566,-109.31502541672258,127.87671719090157,456.1535717953363
36.0,284.40000000000066,647.5103168181471,-277.0129601578932,-541.9259498530558,-550.2896934506322,-43.82867854891671,-6699.377650258349,-25.36062467619588,-98.7433952891539,-30.423478346468162,-48.89677546138796,-197.64440169261644,-130.88134344083684,5595.641631429342,-239.71523307512473,-218.2869572609934,-55.507476335920494,1097.416362921496,-98.36568730655767,-116.8726043315521,-816.7051702489046,-336.2689407061445,-84.1313061027858,-184.6979685554896,238.7955021848102,766.7026675824445
48.0,289.2000000000006,1012.3398047871468,-420.5202119896831,-857.3080002527948,-859.6275658996715,-63.548535662325406,-9853.95660764582,7.788318688101361,-137.63141832023908,-53.84912449405418,-26.28708425382917,-305.4431165266813,-191.4777034023782,7046.60607025001,-349.2779653998582,-318.2082911644419,-80.48039988749386,1760.8252683608266,-142.62245059921682,-169.45645653744106,-1295.396867571195,-532.1680063799668,-123.69349944286303,-269.5089147103555,388.87873824027673,1111.5036888293212
60.0,294.0000000000009,1468.1621999103215,-582.7210184618705,-1243.6880607401342,-1240.5426702006653,-84.3216902488915,-13342.136454668918,75.87752248039237,-172.17331223899058,-85.4527054998829,25.877093067656936,-430.02954381974797,-256.63725809408487,7897.6080327213795,-466.0182708333816,-424.7920879219139,-106.78591793333298,2588.680878673953,-189.24232557787346,-224.84840974661634,-1886.4540197465737,-766.869409334926,-166.6954691024713,-360.17711966705826,581.6574274390674,1474.5723678810627
72.0,298.8000000000009,2015.405655302754,-753.8676460216271,-1695.3844377882601,-1692.9440878089922,-105.41350535263344,-17105.265727618153,180.03629873737756,-199.96532568883467,-125.24000356642603,107.68736856954395,-562.986282816015,-324.2761175032566,8031.47389803718,-586.0280395493571,-534.4894097317191,-133.49364565242274,3569.536011591371,-236.5765542491087,-281.08950003037285,-2584.034421769891,-1034.00708768484,-211.83692811425487,-453.7166391591682,812.9404717717592,1843.0230617242512
84.0,303.6000000000007,2607.5662381550815,-917.4873252574597,-2194.206929197322,-2035.5885546994375,-124.6412848887334,-20923.022628097446,298.8940990672703,-215.36257934375467,-172.91126113821633,203.08193239844644,-691.7903357034925,-388.8916932574493,7278.668325267265,-698.3867525688498,-637.4471393072325,-157.84177062535312,4678.988506180917,-279.7279703174018,-332.36048897604115,-3349.250963804065,-1298.3495674356343,-255.94331376574073,-541.9434440483005,1003.5067914227843,2178.6856821573047
96.0,308.4000006601663,3149.9937953211756,-1051.614775121217,-2703.95345967226,-2157.2289494173456,-140.54922828028793,-24620.414480254225,398.8017250904002,-220.29904056155806,-226.7995825989032,293.82389112741225,-797.1113166723285,-446.28947398973173,5469.642926876678,-795.2859159144909,-726.5686653206922,-177.98779485007492,5542.225106491797,-315.4300262198457,-374.7799049890158,-3817.855329575161,-1528.8750407512287,-296.3728738848184,-618.8748100662128,1112.4483739950863,2456.1160667881304
108.0,326.39999986445514,3806.6243767671053,-1174.5446961412802,-3164.7915850319037,-2579.634471807716,-147.289556294159,-28372.20084995228,530.289008268093,-191.73143954497596,-290.1114094967963,447.53216648618553,-908.715610956572,-477.8059792231496,3396.199683763853,-842.8977136695156,-770.8042873616612,-185.7488629578012,6361.832238047084,-330.089073388781,-392.4143152154488,-4202.721657537685,-1739.7575491433247,-320.7482384478058,-659.0835970891317,22069.68067317818,2450.30924352072
120.0,344.3999998644549,4537.602444889555,-1330.5600991787585,-3577.1514019811557,-3035.6493489599293,-153.26120615105773,-32210.352486075277,688.3958160062413,-157.66072498605536,-363.43386801366745,627.7424790004836,-1054.8310584351523,-507.0797753632577,1650.8482662630233,-886.3334777344094,-811.2365996449632,-192.5067590016307,7203.86037416818,-343.0050343285905,-407.9860050573227,-4634.897240719478,-1970.3074493851227,-343.70266185148745,-696.1217415890412,43823.266161749096,2424.4238864243853
132.0,362.39999986445474,5288.428793089637,-1499.177235921303,-3941.153565768423,-3488.659116329038,-158.40885768121709,-36188.98933137324,886.9250329126957,-120.0699415395376,-443.56302657776206,848.8587983767112,-1214.9871398638365,-533.9997874421244,533.596257400193,-925.4081810639459,-847.7155986982156,-198.26800106906862,7985.040637813052,-354.10001929936186,-421.3809623192886,-5066.705559449331,-2234.6448074810055,-365.1792904151061,-729.7691602168568,64306.56311433782,2380.596008149103
144.0,380.39999986445457,6038.536915931289,-1672.8848521170137,-4264.48750004865,-3939.728305026316,-162.887890725828,-40309.361294665716,1136.7098920102367,-81.14120826476234,-528.3237617644007,1122.6845906308986,-1381.3997342767725,-558.8388862252168,99.57427868707033,-960.7743231358693,-880.8170367191534,-203.22187912548299,8690.048387533074,-363.71822367026584,-433.0102412757103,-5497.550346241968,-2545.918876326759,-385.28572668811944,-760.4935322349786,83722.6056675922,2323.1103517064917
156.0,398.3999998644546,6793.049446099748,-1848.3853203750987,-4557.875419761645,-4389.475325147723,-166.83289945029213,-44429.402800454605,1421.7585627078631,-42.27350809598269,-615.4986252059617,1430.981471966354,-1550.539408319673,-581.9146672236216,-6.827219071284992,-993.0750192305757,-911.1171302379432,-207.52834639449208,9338.355243750344,-372.15537305022866,-443.2281516363323,-5927.3241020724245,-2887.046462445163,-404.196657366803,-788.7833552447937,102355.59895332805,2255.550822716886
168.0,416.39999986445434,7554.664391782469,-2023.7253436353567,-4830.933906882072,-4838.055708994094,-170.35727808786538,-48452.097504937825,1725.2855131074664,-4.24388982742326,-703.4446075565444,1755.793162218979,-1720.2592553206932,-603.4988624294201,-29.299670380765434,-1022.8550198124287,-939.1041136442889,-211.32067818955355,9951.493744082125,-379.6597169111552,-452.33254666854515,-6355.901129153354,-3241.0406526256597,-422.0635079308071,-815.0551404619886,120485.01696623645,2180.8354752260825
180.0,434.39999986445446,8319.630884772434,-2197.488405046955,-5090.477172875977,-5285.596326073972,-173.5480328499664,-52352.19838998895,2040.624771070461,32.55701002807639,-791.1622484094648,2090.480080597652,-1888.9950095244383,-623.7816660798358,-29.07789883422855,-1050.5134156773631,-965.1336396199068,-214.70042563423888,10539.502681364778,-386.42130574459384,-460.55165561053343,-6783.107957899753,-3602.0037937847665,-438.984207038355,-839.6105503992735,138344.44526778234,2101.216420143747
192.0,452.39999986445434,9083.358154264857,-2368.686081512514,-5340.736809612784,-5732.140826850214,-176.46798912274676,-56124.591717579264,2364.5579595341073,67.95437706687794,-877.9753044633313,2431.9133167272003,-2055.6511242167267,-642.8996589407067,-17.707263103305237,-1076.3379463431538,-989.4621220274979,-217.7413017412888,11107.349196467192,-392.57760371275737,-468.0504465336163,-7208.723102139066,-3967.3437413973784,-455.0286883231648,-862.6664481979884,156092.16142984846,2018.3934784741043
204.0,470.39999986445423,9841.930949972962,-2536.6306165931796,-5584.157788278057,-6177.6158260610155,-179.1627563831402,-59767.98534552765,2694.627116992308,101.8930496781303,-963.3885595216038,2777.6362591416314,-2219.461363490064,-660.9570706693052,1.605323765418303,-1100.5430968660125,-1012.2813695749546,-220.49744604937456,11658.074288485283,-398.22878413822457,-474.948955505985,-7632.477779493326,-4334.995236410513,-470.25275836286914,-884.3850104839997,173826.18053273504,1933.6632238337631
216.0,488.39999986445423,10592.179468042987,-2700.829033631662,-5822.089275410885,-6621.831161079459,-181.66641475801077,-63282.2242134255,3028.6615932559203,134.38385677673273,-1047.0308909776693,3125.4429774513587,-2379.873484518029,-678.0374568985047,27.182112281980128,-1123.2952633606458,-1033.740891593803,-223.00986299606586,12193.725260138846,-403.45003072301324,-481.33711623707654,-8054.051030398508,-4703.04624786217,-484.70375588771583,-904.89279645991,191604.88647549436,1848.0315144202575
228.0,506.3999998644542,11331.55381047244,-2860.917082928593,-6055.239207175658,-7064.469526562279,-184.00517411937435,-66667.87233768814,3364.7144900451976,165.47302643405106,-1128.6238058881222,3473.35027358521,-2536.4771324747335,-694.2104008252999,57.87348633893605,-1144.7281221281078,-1053.961425544759,-225.31055055133922,12715.726389353658,-408.2994443430078,-487.2842961933891,-8473.062538271653,-5069.7408461971245,-498.4233819729598,-924.2922136155496,209460.69135898192,1762.2886519099468
240.0,524.3999998644541,12057.997667225829,-3016.621142963472,-6283.945127779226,-7505.057953053827,-186.199621888382,-69926.05891173826,3701.0429781153084,195.22429702222897,-1207.9604835115915,3819.5940453078388,-2688.961966600086,-709.5355587041333,92.83028032554994,-1164.9520414027268,-1073.0432226944984,-227.42508685578045,13225.076347210086,-412.8229306852649,-492.8451767386108,-8889.065268026114,-5433.494634572769,-511.4493641608706,-942.6684628154933,227407.0667397836,1677.0599062431138
