t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,270.9719999999991,152.59847656628745,-65.15191541792456,-120.25740062305536,-126.91236898750222,-11.208785703161462,-1704.6944117857997,-18.186179107420834,-25.354166409342888,-4.03572230419669,-26.451696847331455,-44.85343641669378,-33.08823499412228,1789.9671804930963,-60.919846791204684,-55.44168387571864,-14.196451815099628,236.96523393517114,-25.155877820466753,-29.889681851844525,-180.77533959488784,-72.05470049468278,-21.13261026733599,-46.84884986860011,44.78641370457629,196.1178102602597
24.0,271.9439999999989,361.35747323501704,-154.28772726567598,-296.6230240386763,-306.4291212387373,-25.83484860842973,-3920.4444012585673,-29.099308917385734,-58.35772123732541,-10.325112845886284,-46.453938427104035,-107.50268645202851,-76.66637911785504,3692.0077121840577,-140.81398236050518,-128.18787408004187,-32.720749246949524,590.1218390074998,-57.98079424724747,-68.89188583056304,-446.33502261107634,-180.58957540909472,-49.110251060779554,-108.38259202746346,113.0929036995031,451.99110709603514
36.0,272.915999999999,631.4415490986403,-265.23577946613796,-537.3713794527442,-543.8546228622912,-43.092001968253776,-6596.49422146473,-22.324719467423773,-95.04321436268418,-19.384800654222545,-50.21878372944939,-187.20015303788375,-128.8859124848654,5438.398254320321,-235.88116965209863,-214.821860060247,-54.576921606471466,1081.1759822529239,-96.71003514398087,-114.91007266816911,-809.9852080498799,-328.4819408505309,-82.92304296590228,-181.78731584944998,209.39148677789757,753.8282123099906
48.0,273.88799999999907,968.6159437941536,-390.7075237804352,-845.213513546673,-842.2188872680078,-61.87523067193042,-9635.881155767202,11.156855218020318,-130.1975937638081,-31.342844477819636,-31.60129942374254,-278.65868548573314,-186.89390320734378,6753.015718113511,-340.52418170606126,-310.2867275461803,-78.36521696180313,1719.187129011644,-138.86337579535345,-164.99751505664273,-1277.443178570017,-512.1638023320506,-120.89675722578964,-262.85331329189415,335.88662974794454,1082.2531718449372
60.0,274.859999999999,1368.6069074212808,-516.3863667143413,-1216.7590334868953,-1195.3668412888924,-81.04226921292823,-12937.243052807575,74.33767955194435,-159.65499836215102,-45.85503458500857,10.046930290805314,-369.6302078930645,-247.6275135934707,7431.02720986346,-448.8440302233803,-409.2417024413673,-102.6389461153964,2496.938380827877,-181.87728218937426,-216.10822716648173,-1845.6902630719233,-722.2436541640931,-161.18691716767404,-347.1154708049456,486.56270905136853,1417.2451422325266
72.0,275.831999999999,1758.678053907129,-614.4097666264672,-1630.612628728647,-1344.6500643269706,-96.52315759232255,-16087.218828967156,140.92943936407096,-172.5262341604712,-62.239223281138656,57.55582903077667,-439.61976583338765,-300.86329140088475,7091.7525499414005,-540.5169122023269,-493.3495369293423,-122.24537575747549,3407.3402653830576,-216.62002751759874,-257.38976675097376,-2479.541617069195,-905.7935805359364,-197.91057679762773,-419.3557646644896,576.4295992174402,1687.6099739724357
84.0,276.8040003397921,2078.0305057284654,-670.7569399165943,-2056.838423895747,-1369.1091227174388,-107.74629392438007,-19074.101204698403,197.08041636364777,-175.41236152440555,-78.93657288106546,111.68138108345063,-475.64241177505477,-344.2230420790333,5865.659158264372,-611.7440209759314,-559.0914149900342,-136.46004637139566,4274.304872438565,-241.80816434200563,-287.317729665173,-3030.3286318590704,-1058.543798939929,-229.29938269286933,-476.4937890811243,619.8379729742418,1883.3445177898466
96.0,305.5080003397924,2572.0407675413066,-775.8208771808137,-2468.909404768269,-1786.395864251964,-113.87877826515428,-22329.994898912264,293.9466531380361,-156.39688928135448,-117.58767821138458,228.93136434040235,-570.4293652431585,-372.1838259479458,4638.617717048844,-653.3696948403801,-598.4648883325074,-143.6341820246676,5167.722220880726,-254.85672683547884,-303.4883511344037,-3534.4887491354752,-1228.2996181287538,-250.90152003778965,-511.4168624916507,20411.8026387796,1897.0773233818334
108.0,334.21200033979255,3247.5303523345137,-932.1801708899784,-2873.929951264822,-2282.917216731201,-119.6644367994135,-25641.26661160001,420.56830282008184,-127.09534732287797,-177.80598719079626,368.93980966450357,-717.3298026929181,-398.99492792332256,3499.0315209914243,-692.626215348606,-635.8095820199367,-150.233050656998,6187.0699960570955,-266.96301567339646,-318.69227168389546,-4133.807210998206,-1417.4475672750073,-271.7657551184892,-544.6345751728809,44736.19742847353,1895.6083144192462
120.0,362.91600033979256,4008.656305220277,-1104.6636888297571,-3269.5887540685185,-2803.6076439873054,-124.82564734756042,-28955.364995743235,570.6079496168027,-92.27558910857067,-247.40686738381262,526.4604371968519,-881.5234069818841,-424.16599065024405,2449.7575828759036,-728.6203458241972,-670.2313346267222,-156.01376066625735,7222.414191753401,-277.6349968473275,-332.2226310886792,-4750.750330694621,-1618.5536696401987,-291.6643953176618,-575.419594187715,69967.08849292564,1877.6577865433694
132.0,391.62000033979257,4808.911543660811,-1283.7857164241573,-3655.0245255478158,-3333.1471833388637,-129.44594903391783,-32295.91701430636,745.8929403191852,-54.90612783305599,-322.15888957406554,705.7798164323777,-1053.3456273777724,-447.8054172709783,1615.7659082863415,-761.7198619690527,-702.0323220008544,-161.10183402486038,8243.518687573234,-287.0839172337981,-344.30826365410985,-5371.047315997007,-1836.685057853234,-310.6106720711368,-604.0017116748178,95447.5278311731,1846.4795259576922
144.0,420.3240003397925,5622.646070303464,-1465.0061710543782,-4029.873329278595,-3862.4551116429843,-133.60449227357606,-35672.41327459505,949.6231020400596,-16.534100328713574,-399.9297917293356,911.2105697032515,-1228.0989679084832,-470.03163934621307,1069.9014512815356,-792.2662657747925,-731.5027064360729,-165.6075914688541,9232.897909775516,-295.4995534024683,-355.16333362871444,-5988.098136814394,-2076.873890330216,-328.63549335522055,-630.6061502899632,120842.01816805532,1804.903386280463
156.0,449.02800033979247,6437.186101305192,-1645.7948077458393,-4394.044348110047,-4386.006561521222,-137.36657932037846,-39062.691185061645,1180.8599950165367,21.95272796478424,-479.284666791528,1142.0172936385134,-1403.1258904046417,-490.9617764478983,787.7249030955699,-820.555856379999,-758.8987486015852,-169.6202064109062,10182.708152722993,-303.03625441751774,-364.96396719437354,-6597.932205390288,-2338.9741251970586,-345.78433616613063,-655.4363737384224,145935.28928667575,1755.272748287337
168.0,477.73200033979236,7247.49795325362,-1824.6584029617375,-4747.587796544827,-4900.502454617345,-140.78661874665428,-42422.583330377856,1433.1409374369573,60.01857364497232,-559.0786644489007,1391.6288493615752,-1576.828276207249,-510.71330477716424,677.3069452279577,-846.853206109839,-784.4527072694237,-173.2131440996403,11093.475748077613,-309.8216178869081,-373.8566531768889,-7197.815459607391,-2616.903748232649,-362.11524159492177,-678.6810035165018,170575.729690993,1699.5315081939445
180.0,506.4360003397925,8050.636909069587,-2000.6072095364505,-5090.6146506580735,-5403.617278501254,-143.91005881246448,-45713.362144219536,1698.6817828323717,97.33723722891413,-638.4329355650152,1652.3289167333041,-1748.1294548061746,-529.3917803503138,654.7026247925571,-871.3854283099967,-808.3653305204699,-176.44727230056324,11968.714601860926,-315.9616267916791,-381.96360231163317,-7785.709377603161,-2903.353871249718,-377.6842721386229,-700.5045478981242,194653.32537443016,1639.2848286939454
