t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,270.0,152.46648378293446,-64.98315253928513,-120.21231704127531,-126.85631942311463,-11.19789972097734,-1702.7969515037976,-18.10556793703381,-25.28436680095185,-3.7849956245979532,-26.461027598797596,-44.703545214432424,-33.06051846795286,1786.481799062597,-60.86771184333895,-55.39308829444708,-14.183096267658946,236.75667711322652,-25.132684632535636,-29.860838411211535,-180.70628443963165,-71.9505818535448,-21.115807709666885,-46.808515303411,24.751565354345217,195.93948938860535
24.0,270.0,360.2070775341038,-153.2395040248729,-296.28956652176845,-305.96566189700053,-25.769494643873337,-3910.511662535169,-28.736159527442947,-57.99604331690416,-9.04152752201228,-46.55191154436355,-106.57069096044313,-76.49436314008638,3675.1905338503952,-140.48627800036505,-127.88761940469288,-32.63906555903282,588.7735289979283,-57.8372431215795,-68.71807880286059,-445.83552934773405,-179.91950703113494,-49.00618521061907,-108.13222570359255,62.40136988798752,450.8781740967333
36.0,270.0,626.7520690387023,-261.6025739325505,-536.1255465919246,-542.0287898868681,-42.88612572633851,-6568.2731361385895,-21.63553485805891,-94.06001940164114,-15.782169713698565,-50.792179835927456,-183.93584299901883,-128.33487470437404,5395.488964605999,-234.83111962976596,-213.86412818458015,-54.31819145519329,1076.459175447862,-96.25376226987831,-114.36194332069391,-808.123625370543,-326.1034939013556,-82.58835065935132,-180.98701468716365,115.16965251169877,750.2825061177246
48.0,270.0,955.0007631495605,-380.7107946148523,-841.788392624463,-836.7464208701219,-61.38229322907574,-9573.595061061646,11.558983388214306,-128.21392938665426,-23.626867882018548,-33.795531700250535,-269.5483008534602,-185.56721417838003,6670.1286823329,-337.9930576150008,-307.9832337714955,-77.74415874763916,1706.4372099363165,-137.76633618809623,-163.68442877523788,-1272.2842402260183,-505.64450915079163,-120.0906599394933,-260.9270594465859,183.47903795470927,1073.7195258833656
60.0,270.0,1333.0707466794042,-491.9624607530484,-1208.1957628538569,-1168.1700059562565,-79.8324082240793,-12797.443955973808,71.42388644096907,-155.76316889440895,-31.874184260099508,3.17043304890237,-347.38791338337944,-244.43606163467933,7276.453803152388,-442.6768688129208,-403.6466993312463,-101.1115259914308,2468.3289135441823,-179.17543661443224,-212.88404082444453,-1832.4076494716244,-704.7457503818446,-159.27851647928526,-342.4469128772924,259.04685598462333,1396.212881840671
72.0,270.0,1656.203948956023,-560.2629889884739,-1603.7020556619198,-1199.529261610663,-92.34161468878663,-15647.338878598073,122.50230721572207,-161.98021438070396,-39.672443464671595,41.30210536398796,-393.0340230163113,-290.10325575766774,6689.977596351152,-519.4075688264796,-474.2616823213637,-116.95551309604507,3350.024702523163,-207.25123567243597,-246.24167279266052,-2434.987852208833,-852.8080741565412,-191.60224211783108,-403.4720396120169,286.45582036199676,1614.6230055914334
84.0,270.0,1929.062211140574,-581.6857978823807,-1992.7245812730935,-1198.9318198263697,-97.80573452400374,-18134.40725292836,173.91467075095966,-148.80191178812842,-46.07614029286918,98.67605827702273,-404.56103447318185,-319.3632306746917,4996.50770209352,-562.2364788499713,-514.4192145295868,-123.87644028737202,4116.151386100072,-219.5150277192785,-260.8125862032527,-2880.7474476530456,-958.1948702693004,-215.03373152313927,-439.4405680152958,294.3777363714817,1709.6309889410682
96.0,270.00000068055965,2181.9478761821997,-582.6025625526626,-2342.8534290189896,-1199.9529302813687,-98.07231205921336,-19410.26116819223,296.24210077114185,-118.50629207751453,-50.95304252928885,232.12769114283117,-404.99500889795524,-343.23701985700654,802.2819664193577,-586.7722588120885,-538.8246666608994,-124.21409522139314,4389.705583737692,-220.113342043897,-261.52345714450024,-2889.0072719432965,-1093.9845525701462,-238.62316822708314,-463.6416493189844,294.64819245698106,1713.6142837241644
108.0,288.0000006805595,2543.2707804724873,-656.8281103386979,-2674.545743685633,-1564.8131218112023,-103.30328134650006,-22714.852545577804,421.6410101100761,-103.24325775641252,-74.90265186698926,370.7823895171881,-470.0887420933582,-370.8922991452596,549.6168491734882,-627.111814545492,-576.575478713514,-130.53873283805936,4994.080384208905,-231.72843832735018,-275.39739437378904,-3236.838639134842,-1277.8566027379284,-260.60460418788904,-497.54209426706257,8488.279246541742,1720.0855176967866
120.0,306.00000068055954,3066.9836942870256,-776.3335115594499,-2989.1621484472853,-2010.5270000286716,-108.24846662344726,-26146.38373406364,551.8310720401248,-77.49800040868712,-119.78690506097622,512.7494768206625,-581.0806022686946,-394.8465903209961,551.7288311422025,-662.9506211936457,-609.9560209734117,-136.41269896144726,5708.921199913225,-242.665158937521,-288.48707130545426,-3658.611590749495,-1462.3084755751197,-279.1621763096552,-527.3384809042017,19093.79998839808,1715.1023984456556
132.0,324.0000006805598,3668.0931521061284,-911.6273307339918,-3286.204924102271,-2471.28768176665,-112.52243504725351,-29480.110811098875,704.3155397046542,-45.58691111336992,-174.60331163896527,673.334687585577,-709.0822027667257,-416.85226690742127,425.9577593952846,-695.1688826391526,-640.0436479354818,-141.43145972633474,6419.227139837698,-252.09328838375814,-299.78558729262096,-4085.114361432122,-1659.4653150033141,-296.48553681529114,-554.3592066701934,29835.23930658295,1694.4900905201082
