t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,272.3999999999998,152.79003207219301,-65.39123733659676,-120.32084619513999,-126.99436091168259,-11.224415914622695,-1707.4385425881617,-18.309462317225247,-25.455069140394098,-4.385821326746153,-26.440728126608555,-45.06551401403959,-33.127696692889444,1795.0120304804032,-60.999517798632766,-55.51175575204046,-14.215003203871463,237.26425261945494,-25.19101297605175,-29.930642521334214,-180.87105547535725,-72.20127486568995,-21.154662597960435,-46.90871766598222,70.91691977303877,196.3759865735009
24.0,274.7999999999998,362.97725512186287,-155.72914992549602,-297.09680667868105,-307.09090302844106,-25.927970740109313,-3934.683886956465,-29.647062346361366,-58.878734626555826,-12.03741725496045,-46.343810358667334,-108.77815610800815,-76.911213743134,3716.118996242231,-141.29357980975897,-128.6170002439886,-32.83554177965974,592.0091008231435,-58.189929878289405,-69.13838771708201,-447.0399463728891,-181.51359724221513,-49.25389230895735,-108.74482935083834,179.44889741503272,453.5818517752337
36.0,277.1999999999997,637.8460450514392,-270.041275620147,-539.1257464230648,-546.3855515314935,-43.3804799413778,-6636.407264938802,-23.413094155351395,-96.45660847045076,-24.01276745436481,-49.55948287041907,-191.4882376960206,-129.66006910411068,5499.166711532521,-237.37817298980363,-216.16866942491288,-54.93642622765858,1087.6074068119665,-97.35771742583144,-115.67595035076114,-812.5926137531308,-331.6680111831629,-83.38603445437984,-182.92134113374692,333.51060239353416,758.8038988663886
48.0,279.5999999999999,986.4998593467024,-403.300885704902,-849.9290337577336,-849.3046527028943,-62.540262368981686,-9721.38827112719,10.16682327420205,-133.0295359517891,-40.98644082058958,-29.062473438612688,-290.0558688262318,-188.69770057551156,6867.422360223802,-343.9897196948162,-313.412430113545,-79.19798373892449,1736.0463816562246,-140.35625326305225,-166.76542214025326,-1284.4958040282684,-520.5331709482606,-121.9856271408742,-265.4827323783181,538.8519537860219,1093.7719195966715
60.0,282.0000000000001,1410.9967269806061,-545.4802150435237,-1227.5527473738782,-1216.4746957299321,-82.41058251995831,-13102.313726350601,76.10615907513271,-164.5010188173235,-63.060834570863584,17.58899223355933,-396.2584425013051,-251.33278290320072,7618.62644506945,-455.9616977874673,-415.66905681037724,-104.35771843888479,2534.8021564191286,-184.94844153426442,-219.74885739042412,-1862.223727129914,-741.7893694884125,-163.42453412111206,-352.51390906087096,794.4938452835985,1441.0073893605593
72.0,284.40000011981954,1885.2151623341545,-678.9765435457281,-1661.1985892250905,-1556.9528250387948,-101.27073230110463,-16618.8865241352,165.58960729909708,-186.0367483779042,-89.85724215858149,83.1885134046928,-495.60711180339024,-313.1152610409645,7578.977526341748,-564.5727987112936,-515.0587072537187,-128.23828652187888,3470.856639551749,-227.27358963568582,-270.0386723394059,-2529.623080646207,-973.1129357571364,-205.0883997873437,-437.45222678305953,1039.663152566334,1770.4062002999985
84.0,302.3999985137714,2456.21857666962,-789.0023028505666,-2083.139259844132,-1905.1608483600446,-107.88263509011688,-19685.216507693214,268.9275247311133,-159.39732974441182,-129.0258267967553,192.0830612340872,-594.8183860250227,-342.0111679049255,6441.132779710163,-609.0419133503225,-556.1888768624439,-135.59135485344868,4513.675442673919,-241.49617462809016,-287.2232843762561,-3178.6542614350224,-1138.187633350315,-226.80385927621057,-474.4394661546097,29020.218865840532,1799.2812083435388
96.0,320.3999985137715,3120.3277047329057,-923.8747317186294,-2493.1137638871623,-2327.0605121882236,-113.80710981539845,-22723.311925803886,391.3708839850573,-127.3188829228149,-180.86420175297502,319.14833179955303,-720.3344370213767,-368.74780238653375,5065.211661899324,-649.4892174511392,-593.6137615442909,-141.88599779398996,5536.1547190261845,-254.06247360247946,-302.4926435199003,-3796.417527802667,-1315.0356455471792,-247.0698425869165,-508.41853666060473,62139.1657102214,1804.7970447842147
108.0,338.39999851377127,3834.13710156629,-1069.8242107479907,-2886.1783521868847,-2771.8883575051577,-119.02912361772006,-25734.047620174937,529.9340230790854,-91.5574784822785,-239.94498229577076,459.16789409148697,-858.2453328143185,-393.4814601290491,3626.4982894007157,-686.1558707537357,-627.5972409650411,-147.2507307900712,6492.389018799997,-265.0278952035459,-315.8712183630904,-4355.330327083454,-1498.5862688379943,-266.07712504609765,-539.5311195657912,96356.68539663297,1791.1205616196123
120.0,356.39999851377104,4570.002399749839,-1221.1737871718353,-3259.556748851194,-3226.8990694724944,-123.69088968462238,-28749.351821582884,685.8422286966892,-54.01064781984568,-303.6249804722235,614.3541204832835,-1002.5704246451213,-416.5478910879256,2289.2384662799627,-719.7644327752095,-658.7965804980188,-151.90632065921807,7358.604613201187,-274.73617639011496,-327.75601974717324,-4845.073281667838,-1692.3787002644876,-284.0148413066622,-568.288629092861,130560.40644220865,1763.1784761549586
