t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,274.79999999999916,153.09146558273434,-65.7754182452552,-120.42401138298722,-127.12343052244644,-11.249230749357467,-1711.8628298851527,-18.512906270076098,-25.621124342229763,-4.9304461295296,-26.431224067868524,-45.40304344054102,-33.19057443811582,1803.2062833138523,-61.125315053408066,-55.623560109835275,-14.245229733511934,237.7515915154448,-25.246342221284984,-29.99655018198549,-181.02817678407058,-72.42711162944296,-21.192793455102148,-47.003245425923986,87.22056584360804,196.8003300948967
24.0,279.5999999999989,365.505362972438,-157.93449910760165,-297.8625212645241,-308.1408322153673,-26.076327615581185,-3957.603341936427,-30.563882514859948,-59.73017198689982,-14.533914091969162,-46.246086976076626,-110.71049886750276,-77.30317715825473,3755.0602305065236,-142.05723602729546,-129.30340129428131,-33.02038216012117,594.973623810283,-58.521967740079106,-69.53332470800736,-448.18084453261963,-182.9106111979506,-49.49197663517707,-109.32194342771045,221.3398367124159,456.1527886888105
36.0,284.3999999999988,647.5143666335018,-277.02728552057687,-541.926398756805,-550.3009767637906,-43.83448126444873,-6700.0510309277615,-25.341429368659355,-98.76537044756678,-30.422473340240327,-48.87155267684152,-197.64400775514977,-130.8864464562167,5596.454723900946,-239.7380512346927,-218.2977617090508,-55.505687985207445,1097.3819239855113,-98.37490601559173,-116.88532277633702,-816.7465871749664,-336.33721629350333,-84.13629370299722,-184.7107344836815,413.32899420990714,766.7008867710465
48.0,289.19999999999885,1012.3342293289356,-420.5429987236608,-857.3084014387578,-859.6428298905425,-63.557979911749584,-9855.033024227845,7.826143469502424,-137.66827400343936,-53.847389909522505,-26.2373066574657,-305.4419428396861,-191.48589178084728,7047.885493107102,-349.31498926755586,-318.225753278366,-80.47748045561804,1760.7594765680676,-142.63745089762244,-169.4771538684448,-1295.463631796031,-532.2878465513928,-123.70150577120111,-269.5295754706712,673.1104086996905,1111.5006922819368
60.0,293.99999999999886,1468.1461175765778,-582.75475309171,-1243.688163579491,-1240.5628974520798,-84.33579515593102,-13343.698939949823,75.94485875324246,-172.22948942411625,-85.45004970624817,25.96179097924898,-430.0274784660653,-256.6493219045702,7899.423662545578,-466.07341221754007,-424.8179804647434,-106.78152433613121,2588.5676602305334,-189.26471445559147,-224.87931094056992,-1886.552470052084,-767.0587149794376,-166.70728321348918,-360.20781287984585,1006.7944559608321,1474.5675167584354
72.0,298.79999999999893,2015.380301472443,-753.9146288571877,-1695.3835924687537,-1692.9686701926578,-105.43313397723863,-17107.35989114338,180.14401646982967,-200.04491280188094,-125.23628569376287,107.81514900577068,-562.9833841340131,-324.2925860178366,8033.832238293945,-586.1045039421812,-534.5250366268704,-133.48739772094808,3569.3574158656047,-236.60765530932767,-281.13246233132475,-2584.1678836815213,-1034.2803245601244,-211.85313805009073,-453.75904052482383,1407.1220455012951,1843.0148033883047
84.0,303.59999999999934,2607.5220486664352,-917.5451078314126,-2194.2032858234506,-2035.5885090748352,-124.66510167582797,-20925.445477460602,299.02829486100626,-215.46265949977686,-172.90674647854885,203.2392417040141,-691.7872916275969,-388.9106705268357,7281.284748354032,-698.478764034473,-637.4889427502418,-157.8335356695393,4678.745651386274,-279.7654352149498,-332.41242103875476,-3349.3957140109546,-1298.682801072022,-255.96241216940254,-541.9939257964987,1736.954440304037,2178.6682784067216
96.0,308.40000078123705,3149.922636224522,-1051.6797801686287,-2703.947278036407,-2157.2289227089664,-140.5756533754738,-24622.901925751947,398.93442627257167,-220.41555168728772,-226.7946284527135,293.9858379334837,-797.1088504929642,-446.3100148221446,5472.043355866021,-795.3874760650793,-726.6145557118149,-177.97869471081788,5541.80776699079,-315.47160937643764,-374.8375354773949,-3817.858599283093,-1529.2322094078677,-296.39352474550503,-618.9303034438483,1925.5194976365597,2456.0971851354557
108.0,326.4000007812375,3808.4116478906685,-1175.913810731536,-3164.849608567721,-2579.885949293384,-147.8299056843004,-28415.23159105617,533.729238166732,-193.66125988368321,-289.97668594591676,450.5375150190498,-908.7160563056473,-478.2966469208774,3431.6565174984753,-845.0363611812191,-771.832277980161,-185.59165019829996,6353.962982209419,-330.95167112559454,-393.60166363114854,-4203.671479769024,-1746.78264530669,-321.2228323846063,-660.2865988083645,38132.92120901425,2450.270105827526
