t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,270.9720000000002,152.59628418548894,-65.15120864314558,-120.25583525459344,-126.91113274905764,-11.20824690797242,-1704.6348717378482,-18.18920199897615,-25.353215227310887,-4.0357789244305575,-26.452921951352796,-44.85264546097006,-33.08685316796793,1789.8927677913427,-60.91997775113315,-55.440278411034505,-14.196037906573816,236.96732633215962,-25.155638119930924,-29.888188177217813,-180.77024771584064,-72.04901266300958,-21.131860043505608,-46.84866625818927,29.667944367786163,196.11787370815375
24.0,271.9440000000002,361.3554094031536,-154.28616518421856,-296.61914624593226,-306.42683795756375,-25.83349908735475,-3920.295162335559,-29.10756474423019,-58.355112475595504,-10.32525382990764,-46.45839402755516,-107.50089183448969,-76.66294207095991,3691.8243904116534,-140.8143927177329,-128.1843993286589,-32.7197180255242,590.1282714688837,-57.98021370713315,-68.88814345820393,-446.32227556935345,-180.57394764071336,-49.10839715252302,-108.38219420200397,74.91630411619451,451.9914601288967
36.0,272.9159999999999,631.442497824269,-265.2332666869174,-537.3643492947425,-543.8515481135788,-43.08951664930741,-6596.222112329951,-22.341079378821796,-95.03803970226258,-19.385052859199728,-50.22922559285857,-187.197185591092,-128.8796201694748,5438.068441551283,-235.88203388426794,-214.81552450379547,-54.5750291773372,1081.1900318054588,-96.7089901717418,-114.9031791867471,-809.961828602693,-328.4509309556046,-82.91966762161918,-181.78666700130194,138.70734595977072,753.8290988167444
48.0,273.88799999999964,968.6218151624303,-390.7040809287085,-845.2024961390226,-842.2150237183218,-61.87125491593883,-9635.454922727155,11.128838944307386,-130.18882913378064,-31.343222567473678,-31.620623555676506,-278.6544934306146,-186.8838848563645,6752.507249421648,-340.5256704694729,-310.27666170924607,-78.3621952008161,1719.2132712131483,-138.86172416365264,-164.98648641027802,-1277.4060967228763,-512.1115815998987,-120.89140631158817,-262.85236112997336,222.5012912263629,1082.2547851657907
60.0,274.8599999999997,1368.6191789711943,-516.3829813691593,-1216.7438047009587,-1195.3619553891156,-81.0365630575681,-12936.648942525298,74.29518512193454,-159.6417464876091,-45.85554369098069,10.017201257954627,-369.62564110440826,-247.6132060951333,7430.334253714721,-448.8465236842598,-409.2274320424821,-102.63463606205363,2496.982042082369,-181.87500881014327,-216.092392736261,-1845.6378377362153,-722.1667386066349,-161.17931425098183,-347.1143617060194,322.3137661820329,1417.2484073688152
72.0,275.8319999999999,1758.7006585169365,-614.4086416142344,-1630.5964810232963,-1344.6500829978859,-96.51660044155764,-16086.563327134987,140.88252575217442,-172.50946010214466,-62.23976711278163,57.52245698742561,-439.61687370914797,-300.84697442987164,7091.011342125603,-540.5210031562781,-493.3336685712754,-122.24052661568997,3407.3970252483523,-216.61778965011666,-257.37154882715555,-2479.4843186721273,-905.706090332228,-197.90198630920878,-419.355332973011,381.8459712513488,1687.6173893141308
84.0,276.80400161655245,2078.066090028342,-670.7583698212525,-2056.8243969909145,-1369.1091589590758,-107.73952699672954,-19073.46696377672,197.03657092752712,-175.39287406421593,-78.93710646374831,111.64970630981821,-475.6414271555812,-344.2063423749902,5865.002141469645,-611.7499712929379,-559.0757640906429,-136.45519175850166,4274.40507504023,-241.80639537009037,-287.29889717493626,-3030.3084575174757,-1058.4564270133458,-229.29068839482184,-476.4945196410165,410.6025920253281,1883.357452374068
96.0,305.50800158878945,2571.653226908498,-775.5816531973916,-2468.229141421597,-1785.994853564878,-113.632668582434,-22309.905451467883,291.8444475062771,-155.9266233988361,-117.63479994270718,227.6642067761301,-570.1528392834772,-371.5586134496745,4620.213097849686,-653.4325256362217,-597.8277389157282,-143.44475223459784,5170.404146892186,-254.7461934199194,-302.8060914830288,-3532.895772186445,-1224.993483732554,-250.5647916985407,-511.33712258886294,13523.9635829665,1897.0905055515523
108.0,334.2120015887894,3246.4164612946142,-931.6319540072074,-2872.4910030335136,-2281.891554328797,-119.12373733806068,-25597.849895749645,415.55617349215987,-126.01459218343126,-177.93690490227632,365.86709957419964,-716.7021852218397,-397.62589044446537,3461.0093494971247,-692.7619181188574,-634.4117896129095,-149.8162408777692,6193.619247506689,-266.7178403428665,-317.19350051067755,-4130.496837185884,-1409.8946652495813,-271.03036967468586,-544.4594310839861,29639.870059069497,1895.6060453614232
