t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,272.4000000000004,152.78065441889254,-65.38962914389015,-120.31897626927653,-126.9888699926095,-11.223068517746631,-1707.2804849578238,-18.312427476447496,-25.452382467358596,-4.3859860084720355,-26.4443843243358,-45.064061885051366,-33.124869560313066,1794.8153275966183,-60.99497021640824,-55.507802330414556,-14.21474031453312,237.26989431059715,-25.189076086520576,-29.927896095337818,-180.8631869467247,-72.18782374758872,-21.154313021349445,-46.90534864871935,30.96116815445518,196.37609466313094
24.0,274.8000000000006,362.9635249168126,-155.72557036959083,-297.0921287666705,-307.07934747432057,-25.92457645895748,-3934.2861598033833,-29.65654410598019,-58.871327948710224,-12.037855448812145,-46.35705259544558,-108.77494395107794,-76.90415555983454,3715.634298919344,-141.2822058967991,-128.60712237867568,-32.83489580279683,592.0264726076251,-58.185062839042246,-69.13147862924922,-447.0201284965539,-181.47570338073422,-49.25308715687396,-108.73641861628218,78.34429804562751,453.5823907376494
36.0,277.2000000000005,637.8346183951809,-270.03543849967986,-539.1172528069842,-546.367428981736,-43.374188889766906,-6635.677093650913,-23.434465665554796,-96.44189726027909,-24.013609149586276,-49.590695436949524,-191.4830520294233,-129.64707899566417,5498.29001628913,-237.35720498265857,-216.15047340668045,-54.93524761510692,1087.6458132045973,-97.34871076706112,-115.66315579472908,-812.5560931320281,-331.5911353664135,-83.3846472915371,-182.9058585036636,145.60430193882868,758.8052030996647
48.0,279.60000000000053,986.495281821252,-403.29257966959807,-849.9157044747487,-849.2787467170286,-62.53009593864721,-9720.23077433796,10.125540339127484,-133.00456144597422,-40.98781131894585,-29.121355303353333,-290.04861893501175,-188.67679859823102,6866.055430604444,-343.9559229111102,-313.38311301527915,-79.19607697660385,1736.1191744405762,-140.341696768263,-166.74474469997224,-1284.4374351681427,-520.400494299077,-121.98347410472628,-265.45780074110473,235.25100983807206,1093.7739909013674
60.0,282.0000000000011,1411.001431844072,-545.4699364819866,-1227.5338721316762,-1216.440343817088,-82.39565262353393,-13100.660213382645,76.03551632336651,-164.46294627877853,-63.06279776175257,17.49375390723509,-396.2496130254571,-251.30221086243333,7616.720236131232,-455.9122616260574,-415.62619641144795,-104.35498269917342,2534.925060761399,-184.9271131283892,-219.71852934009829,-1862.1391862559049,-741.5858523916835,-163.42154220397873,-352.4774688710232,346.8580267200783,1441.011485625118
72.0,284.40000182464894,1885.2434706705205,-678.9676827813638,-1661.1771376653705,-1556.9514791095705,-101.2518105130032,-16616.8568548699,165.49450141300716,-185.9862544838378,-89.85963759874937,83.06297086615834,-495.59903319701107,-313.07688498500954,7576.695589143966,-564.5112650681215,-515.0054776599891,-128.23548553896543,3471.0306494302627,-227.24706035522493,-270.0006260902989,-2529.5198432749376,-972.8511077362674,-205.08545863208136,-437.40692748151406,453.9031391607415,1770.4223090007306
84.0,302.40000182464956,2453.5790880223212,-788.5001274787644,-2082.4004473690957,-1903.8649020831454,-107.33215917142833,-19637.578558205027,265.62770906267485,-158.2408031739919,-129.14151920153603,188.92760565211194,-594.3788005195447,-340.8624523723731,6396.107103771611,-607.1911164239159,-554.5806001176477,-135.4842982258625,4518.73574121481,-240.7053308383948,-286.10164860932224,-3175.621725926456,-1131.0303612333457,-226.66842220906753,-473.070668078027,12686.394969150077,1799.3213296554748
96.0,320.4000018246496,3115.16173253696,-922.8330545746584,-2491.5790709164335,-2324.4575422190287,-112.6276520737527,-22622.529702528547,383.53171665826545,-124.70433735792676,-181.14609563059972,311.7284277961276,-719.4283266988627,-366.29150006150593,4973.065470630503,-645.5275719244194,-590.1716915534915,-141.65550054529913,5548.789103579855,-252.36726128715014,-300.0888575096436,-3790.731970465994,-1299.0395457854188,-246.78420790041324,-505.49033059852314,27172.762384973015,1804.8465250174997
108.0,338.40000182464956,3826.0069718435475,-1068.2164067413257,-2883.8907593237614,-2768.1121461166867,-117.19941754866157,-25583.28274850535,517.0058067522041,-87.36720300818932,-240.42420039776462,447.15420663032035,-856.8494613648256,-389.6749892014906,3498.886078220906,-680.01296116859,-622.2602278734227,-146.8917717740561,6515.417697148465,-262.3972383643926,-312.1415741828693,-4348.909796771377,-1473.2657446114442,-265.6377920168264,-534.9924554842937,42150.892147231585,1791.1469351031685
