t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,270.9720000000014,152.59731720433297,-65.15124273915548,-120.25617833677319,-126.91230514339381,-11.208537311331247,-1704.6669903569796,-18.188564438464542,-25.353370676618447,-4.035748460393358,-26.452358126004555,-44.85265078418954,-33.08726465432988,1789.9329403164177,-60.9209106005824,-55.441036796849986,-14.195833846952914,236.96619623208213,-25.156621505407713,-29.88882613380615,-180.77276973407407,-72.05131334929439,-21.131578193159097,-46.849341599188854,37.45476823861088,196.11783880889027
24.0,271.94400000000144,361.35624438832656,-154.28615742722883,-296.6199763955097,-306.42935585955536,-25.834226689414542,-3920.3756629289696,-29.105568737525683,-58.35560369874733,-10.325178110595797,-46.45623983886237,-107.50082176902957,-76.6639569574678,3691.9233589706346,-140.81670994193203,-128.1862787971474,-32.71919550505625,590.1247853319296,-57.98268409033128,-68.8897391659437,-446.32858629481257,-180.58043745614268,-49.1076673467346,-108.3838683498348,94.57930237597809,451.9912720742434
36.0,272.9160000000018,631.4415665301553,-265.23313086933143,-537.3658208431035,-543.8555712729067,-43.09085773329026,-6596.368971676403,-22.336672693787907,-95.03911330838544,-19.384917524090714,-50.22403849171487,-187.19694540635933,-128.88147223595092,5438.246577023895,-235.8862821503239,-214.8189652330241,-54.57405403849205,1081.1824027450687,-96.71355045646509,-114.90611744847286,-809.973402476201,-328.46409205469183,-82.91829586905602,-181.78973223825497,175.11346574456817,753.8286445157748
48.0,273.8880000000016,968.61800225897,-390.7038120441587,-845.2047689911445,-842.2207820419942,-61.87340499612168,-9635.685457393874,11.137129333667106,-130.19077278043875,-31.343020332723867,-31.610838422438665,-278.6540592419632,-186.886846731028,6752.782712588246,-340.53247321334305,-310.2821696448238,-78.36062949235227,1719.1991542941462,-138.86903673638176,-164.9911965939138,-1277.4244751615595,-512.1341475287359,-120.88919807741419,-262.85726763715803,280.9008428734339,1082.254036400444
60.0,274.86000000000166,1368.6120413169435,-516.3826083977656,-1216.7469888632131,-1195.3700936405646,-81.03967590174229,-12936.972860901029,74.30885865693807,-159.64482835829585,-45.85527896983411,10.032580117451925,-369.62503185360896,-247.6174974697246,7430.71208025444,-448.856374566488,-409.23540812684524,-102.63236575599026,2496.9591049045507,-181.88559782657057,-216.09921120972453,-1845.664128734474,-722.2006160132142,-161.17611810714092,-347.12146792281334,406.91138753244974,1417.247292425951
72.0,275.8320000000012,1758.6872894986568,-614.4081468615595,-1630.5993329683508,-1344.650089851793,-96.52014686508242,-16086.915379545982,140.89730847144617,-172.51336780210292,-62.23948697200494,57.539661987800734,-439.6163550089719,-300.85173908403016,7091.410580793988,-540.5320031463649,-493.34251660539724,-122.23765799010413,3407.36862070232,-216.6300172019388,-257.37924973111586,-2479.512631110093,-905.7439683829879,-197.89803127209913,-419.36325878159346,482.0671273809713,1687.6135970268704
84.0,276.80400000000117,2078.046997139826,-670.7582032363051,-2056.82666393029,-1369.1091662453057,-107.74335913243513,-19073.818346464606,197.05020359157027,-175.3980622616355,-78.93683666405704,111.66620174426228,-475.64120107805024,-344.2116037360698,5865.368082946663,-611.7619838383736,-559.08545350752,-136.45213069409837,4274.354847520809,-241.81958559180111,-287.30722771550035,-3030.318451390493,-1058.4953160043478,-229.2865535144704,-476.5032031001356,518.3714822450079,1883.3537072197155
96.0,277.77600000000115,2342.9300837956926,-701.2425706046513,-2465.0916118837436,-1394.5003683972775,-115.34933177763342,-21937.638245362177,252.68132574801191,-170.32493906507827,-95.21423277008412,176.70528924894833,-492.350952719722,-380.03403251972856,3702.700929489115,-666.472141548734,-610.0770647308069,-146.08555363473786,4644.803419010525,-258.8906125023187,-307.5895233551684,-3078.2579716356663,-1190.3683809270292,-256.9959873929043,-521.6643138309184,536.7736833765172,2015.68285709961
108.0,278.7480001648364,2545.7772122452748,-723.5379390732869,-2815.0217354382794,-1420.7503044604982,-121.1438609950216,-23765.32023779258,436.81124734442443,-163.03884931192053,-110.94790063438263,375.601132627642,-504.1521757798317,-420.07788677117566,-510.6238517740117,-720.9054792170692,-661.6774784989002,-153.42480101876276,4825.322958666541,-271.8960169234873,-323.04142088017034,-3101.538698754558,-1440.185003285067,-290.8590362488727,-568.8227061691078,547.9100473361733,2116.2226426676143
120.0,307.45200016483716,2959.6076291519003,-834.0054296994186,-3135.758090168153,-1963.4548509788235,-127.83187014561429,-28245.11988394133,614.7866927019426,-154.55951845468957,-153.02199292614478,587.2792553108048,-603.1040834406045,-450.8385474111677,424.8523766914887,-767.8711310771424,-705.3078166977295,-161.14820787059568,5559.686103655371,-286.7625172487114,-340.6005066937285,-3617.3295098856916,-1708.959095946122,-314.5251926408086,-608.014583822537,17562.566407172664,2121.769367027929
132.0,336.15600016483734,3639.5259549597454,-1001.9134607300434,-3474.6224811977145,-2585.4539236176165,-134.07638987753504,-32439.16957135741,784.8389312848767,-129.47338271547395,-219.77703109776857,785.5449936126514,-760.4563901755755,-478.6562527379656,647.0683884596832,-810.6866276727382,-744.9876023893548,-168.11361853162285,6509.007044163212,-300.5957587699441,-356.904654031701,-4245.210482425539,-1959.9841302914826,-335.73177767457884,-643.7766675875632,39040.70839640401,2111.7398235618725
144.0,364.8600001648371,4429.549747598496,-1187.1501322575018,-3820.3228865991227,-3219.3079476659723,-139.55698739011365,-36475.04805763485,984.4757188748805,-96.3489859926261,-296.9177939193106,1005.1988443754273,-936.5498927752279,-504.4619032652357,614.3457682436805,-849.5733920901324,-781.108941367092,-174.07505550549982,7485.671866433815,-312.7074065444457,-371.1582874444865,-4888.145675944044,-2225.600384391158,-355.7430708485414,-676.5994483575486,61345.367056025156,2083.98427259918
156.0,393.56400016483707,5271.603363510584,-1379.2786975449771,-4167.534073771002,-3850.99395928784,-144.40083854885904,-40414.61366911281,1212.9087710995948,-59.5278070435864,-379.4423916521497,1247.8701806615145,-1120.6957516918822,-528.5089735490524,536.4814417479143,-885.115427039856,-814.1960530329799,-179.22087199556577,8455.702849494684,-323.38816116703697,-383.71058712164546,-5532.253851851798,-2508.6160618981808,-374.6754575267672,-706.8845326671363,83856.43615417741,2042.4513955918464
168.0,422.268000164837,6137.89451489397,-1573.506596764605,-4513.131267280688,-4473.652771474801,-148.71879017181533,-44269.80981791021,1466.9233985315777,-21.11224245210057,-464.7493732088224,1511.5312494534373,-1307.8901870724794,-551.0150288217553,482.626743346141,-917.8126392586139,-844.695802249466,-183.70458287068368,9405.151560008413,-332.8893419502529,-394.8619741724558,-6171.847143775882,-2808.007250494665,-392.6275763936128,-734.9817288320397,106275.75776653405,1990.447095267331
180.0,450.9720001648369,7013.1635580352,-1767.1489072410434,-4855.109630387258,-5083.184201123664,-152.5975742659521,-48033.51870251185,1741.5907183389247,17.757961110949466,-551.2009925695423,1791.921301755654,-1495.2846870171838,-572.1562744153696,462.86506443120317,-948.0610167740914,-872.9624898860919,-187.6442014556549,10328.508030564817,-341.4071874093104,-404.8467376055987,-6803.728984760623,-3120.2940230692384,-409.6826895465131,-761.1713340412156,128417.8993341734,1930.6021256841857
192.0,479.676000164837,7887.80690297429,-1958.518158205845,-5192.096616104918,-5676.810250796542,-156.10471654016962,-51694.885086661205,2031.558778630985,56.42034063338697,-637.6748833944004,2084.210727246454,-1681.0649754454512,-592.0734950635756,469.8597156324902,-976.1720802862761,-899.2751195411281,-191.13090863979016,11223.980348522204,-349.09434527398224,-413.84702693987447,-7425.688408853386,-3441.2531592029013,-425.90925701607324,-785.6753797784451,150154.39143141915,1865.0050807569057
204.0,508.3800001648371,8755.04681255772,-2146.473907963603,-5523.102159907814,-6252.523968332642,-159.29329549601013,-55245.0889047454,2331.914117748117,94.47309271796671,-723.37408654085,2383.968667062572,-1863.991212577671,-610.8793410078729,495.30953299928166,-1002.3924995801331,-923.8547705231158,-194.23602994241526,12091.202346933906,-356.07073712125776,-422.00589270158576,-8035.972979266067,-3766.929697207283,-441.3630965675499,-808.6704821956142,171392.14568956487,1795.3207687619922
216.0,537.084000164837,9609.797139292798,-2330.21465120846,-5847.381942915676,-6808.871595808416,-162.20559646724354,-58678.24789378835,2638.4450623178996,131.66669111798643,-807.722502837627,2687.4345733285004,-2043.1829155003509,-628.6652312833146,533.4424442662875,-1026.920320307412,-946.8790787495452,-197.01612607595172,12930.292500289319,-362.4318488438807,-429.43720078223373,-8633.092377313047,-4093.9416409892,-456.0903650226249,-830.2990959507005,192062.9441787722,1722.8825223744047
228.0,565.788000164837,10448.161950878035,-2509.168994663554,-6164.3591843531285,-7344.846628432292,-164.87581624863253,-61990.90188759252,2947.6261789533773,167.84516511836568,-890.2999417397621,2991.4955105106696,-2218.005021302451,-645.5069577341701,580.6317458684246,-1049.9174292044875,-968.4934032314026,-199.5166870471433,13741.522453788177,-368.25485280460805,-436.2329436064655,-9215.751394305114,-4419.48163496632,-470.1302632199232,-850.6783600821736,212117.33841362662,1648.7627356067164
240.0,594.4920001648369,11267.159442271786,-2682.931724509549,-6473.578665987045,-7859.817570216139,-167.33202944809773,-65181.393779832586,3256.535199165313,202.9124633658467,-970.8000406224371,3293.599428866536,-2388.0002519733403,-661.4688125626573,634.5808354954715,-1071.5186602080034,-988.818986382882,-201.77479981825246,14525.211054446669,-373.6030553523489,-442.46854892938165,-9782.834440400195,-4741.247919868698,-483.5170568083602,-869.9065878032069,231520.62471441232,1573.8263048802205
