t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,273.828,152.96605796941563,-65.61979245371518,-120.3827827601599,-127.06927334390454,-11.23838388157719,-1709.980180361684,-18.433125388636448,-25.5516716462408,-4.716204013804469,-26.436296555195135,-45.26811445759839,-33.16459227895199,1799.7815331368347,-61.071579788008556,-55.57704924504045,-14.233274721713418,237.5606074417717,-25.2227129692013,-29.968143640581307,-180.95794072072346,-72.32915194781368,-21.17673136423423,-46.96277788334009,54.7619438807504,196.62993917324076
24.0,277.65599999999995,364.5003304588334,-157.06482193365164,-297.5568900263706,-307.7181526628403,-26.014842279410438,-3948.1640944507217,-30.19987391447096,-59.38145268261185,-13.574451089921478,-46.28281633720293,-109.95484165525394,-77.14467598807266,3739.1428454787588,-141.74397827187082,-129.02507977676896,-32.9470344323238,593.814541134146,-58.385787507823444,-69.37068187939613,-447.7069184201683,-182.33974684689866,-49.39487349983571,-109.08498844150299,138.8187344264707,455.12612431969734
36.0,281.4839999999999,643.7402419717067,-274.3285756895466,-540.8123721796165,-548.7504188714289,-43.64992044586979,-6674.172753903117,-24.563196424499626,-97.82512879710339,-28.00403675057963,-49.11621201579185,-195.28451252410943,-130.39505107630936,5557.0106404486805,-238.78448173818128,-217.44353047046647,-55.28039368733776,1093.5881878207156,-97.9640785122821,-116.39562918011002,-815.0612705365191,-334.4822573964889,-83.83394774103633,-183.98720586130648,258.77939499252847,763.5633828475446
48.0,285.312,1002.4069206007358,-414.0241715065205,-854.3874283608853,-855.6240082785972,-63.149782685538305,-9801.190002645966,8.826306294552134,-135.77974386399785,-49.061041791822085,-27.23932820269801,-299.670426064728,-190.37796272364633,6975.081963170787,-347.1871391353933,-316.3123040039278,-79.97428754375954,1751.25924992395,-141.72685228004664,-168.39266672359437,-1291.0760421243635,-527.7176289536723,-123.01626487683251,-267.9114605662587,420.26284583582986,1104.5084458089261
60.0,289.14000000000004,1446.6228293694444,-568.9942595347457,-1237.361048925454,-1231.668814611775,-83.57894187124327,-13247.876522135055,76.29525798472052,-169.08451689504997,-77.1959965397265,23.01358868616412,-417.6496057777908,-254.56954410693086,7787.103171777709,-462.1048827194507,-421.2416725172724,-105.84367561171781,2568.123187325769,-187.57440553329323,-222.8671227831275,-1876.98106550256,-757.4880578075613,-165.41579976612306,-357.18531308256655,625.7200350005229,1461.5514584201296
72.0,292.9680000000001,1972.3005270518036,-727.1687565590078,-1683.0105382606,-1668.6998473043082,-104.1169388582223,-16945.96735853522,177.27267328293425,-195.32146730290498,-112.2387624661745,100.39401956743457,-538.6374785194619,-320.67268737433903,7875.953482658495,-579.2034466172921,-528.2985231853479,-131.8496906483772,3529.583045089731,-233.66549349451455,-277.6312729966592,-2564.596151041276,-1015.3337735076209,-209.61064860406503,-448.50432397495723,864.7784040392844,1820.3098151870086
84.0,296.79599999999937,2497.675504370456,-866.6129907728132,-2166.032497398889,-1866.5738743094848,-121.19819870112782,-20517.950854879833,276.1994739144532,-205.5397549272356,-153.6373572090338,180.14043275044727,-647.1517349928498,-379.78241841303605,6958.883308524887,-680.7272038253388,-621.4708842889971,-153.48059670988084,4608.8838468726035,-272.0001960909708,-323.1789558167049,-3294.6225697550803,-1245.1757807285862,-250.49969959288958,-528.5859067754778,1010.6014664222214,2118.447049959175
96.0,300.623999999999,2965.114958469725,-973.1425282019064,-2655.520621550527,-1963.7769825926355,-135.984873078603,-24099.17404491616,362.6513806481468,-211.26361471082595,-199.32058484107196,262.7316615112391,-726.9051428602918,-433.8667253869431,5129.476564514323,-771.5287029439929,-705.0429590504474,-172.20670217047697,5315.218318964938,-305.1858406567629,-362.608476578132,-3630.881350549524,-1457.7005150486184,-288.81109363696385,-600.8248680696746,1110.8427059904677,2376.2850277559623
108.0,304.45200008532277,3369.2502683510766,-1056.5441549651798,-3107.80539508968,-2062.051452831685,-149.78824499697748,-27958.10298120269,445.11694439907905,-219.89566398215626,-247.7767326309489,358.3557328260787,-785.3105504723303,-485.9199438116281,3030.0279414193724,-857.8579456308921,-784.6235910634067,-189.68813633415513,5737.311177142947,-336.1650280932453,-399.4162272023052,-3723.894789485838,-1674.617645290876,-326.14036073209877,-669.8254859156771,1188.0755060734143,2616.775255566997
120.0,311.7480000853228,3779.53698105812,-1124.5400296257671,-3431.3051924049887,-2244.429046370986,-154.60462709711496,-31826.480042408377,545.0829591845715,-200.06900306993862,-299.3730257556298,500.9580682675119,-844.9409069711194,-513.6664281986706,1152.1452280502344,-897.3043777789471,-821.6825507313528,-195.47403784193156,6194.938970760668,-346.7849087773138,-412.1221662984984,-3890.520773636634,-1858.885254282967,-348.71001473494465,-703.4772180178784,9759.544149931502,2572.8993775253166
132.0,319.0440000853227,4168.034723200749,-1206.0309274456297,-3637.0081408684473,-2428.4770209177364,-158.35928934426784,-35836.827832042625,667.9877616656395,-178.31008129347217,-354.0192763156713,676.4084955993892,-919.9244449508756,-538.249286093222,60.15254553729521,-930.997793600128,-853.513496038353,-199.9721078988307,6551.39092834692,-355.0562640106035,-422.0217959455016,-4066.825757833145,-2066.790473869796,-369.25567013384585,-732.6632523175398,16778.86915344859,2507.9684049463945
144.0,326.340000085323,4530.278716990792,-1290.2731324437734,-3776.381659784988,-2611.342361479824,-161.3239701001688,-39980.79214025916,820.3544754053144,-157.08353584581764,-410.64098763019183,891.470212660154,-999.0416171183292,-560.182252330352,-254.949721880717,-960.1148438905843,-881.1587309373926,-203.51217744640013,6825.821990950238,-361.58031298036354,-429.833464469404,-4243.123270097848,-2307.453502693532,-387.99941113844307,-758.2305837272819,22637.28686557965,2428.455113645896
156.0,333.6360000853231,4886.37827860203,-1374.8449944248575,-3891.5617240784068,-2793.7038579587665,-163.83882178261695,-44078.14762097062,985.2042450276748,-138.12242657265435,-467.8304693243195,1122.953753969093,-1079.2869480606555,-580.295404421598,-313.49088172792733,-986.3068118143747,-906.1002851021076,-206.49672138666733,7068.459890189059,-367.1033597245628,-436.45182662244247,-4419.389307432573,-2560.614557769664,-405.40493791122356,-781.4261821500633,28107.547202656417,2341.21842545097
168.0,340.9320000853232,5242.99306537076,-1459.0154005209208,-3999.1847401508785,-2975.883338992146,-166.06887424964012,-48052.15686830471,1153.561532689497,-121.73114751130491,-524.8696247307641,1358.477455309259,-1159.6435703895622,-599.013976930649,-329.63560607243045,-1010.3991775074691,-929.081752552323,-209.12321095848034,7301.273523198753,-371.98881644833835,-442.3119016466971,-4595.570389834972,-2815.318048541117,-421.7200073446475,-802.8776009288758,33504.5393373284,2249.8856753441255
180.0,348.22800008532334,5599.979985597668,-1542.520274827581,-4104.266909570615,-3157.9851322744103,-168.08658599146924,-51890.106141805496,1323.566755608533,-107.63871771035222,-581.4405049703014,1594.770137654888,-1239.7201982648137,-616.5314845631191,-336.35121249604555,-1032.7624619196338,-950.4378612392353,-211.47988597735855,7529.777723426531,-376.3971728903662,-447.60536302207043,-4771.636561118226,-3068.922210110811,-437.06040247073673,-822.8672254815019,38924.66195903556,2156.3597857193295
192.0,355.5240000853235,5956.562720198975,-1625.2678597855106,-4208.243585728203,-3340.0386011892615,-169.93117545597053,-55589.624020952804,1494.5254876506017,-95.44767094950399,-637.3463167783643,1830.0817536717595,-1319.3552015424427,-632.9624417113862,-338.2708246916737,-1053.607728505849,-970.3603950643281,-213.61540467900875,7755.49546905833,-380.4158373555214,-452.43634769780124,-4947.569251850608,-3320.019586346426,-451.4986773626959,-841.557695216565,44395.64180642087,2061.8562768539164
204.0,362.82000008532344,6312.166217311505,-1707.221990982141,-4311.524611094544,-3522.050238867503,-171.62898962153406,-59150.32700727433,1665.874383973869,-84.76687532324678,-692.4429146186968,2063.0127982161725,-1398.4650414810953,-648.39158147894,-336.53655528136755,-1073.0848885466698,-988.9863530974292,-215.56283783165745,7979.061357470735,-384.10376167180937,-456.8749821268381,-5123.352234561671,-3567.4416438495596,-465.09142392151534,-859.066083605699,49925.70247692361,1967.2666039083765
216.0,370.1160000853235,6666.403633554717,-1788.3598089151997,-4414.215104407575,-3704.0191376729385,-173.19989838964344,-62572.807435542585,1837.0969058335752,-75.24629632158805,-746.6184186020726,2292.4581949249136,-1476.990988705075,-662.8898305126422,-331.81236027303123,-1091.3141271426828,-1006.4261955562663,-217.34725117270332,8200.87376888367,-387.50548061818625,-460.97420773617694,-5298.96851977774,-3810.257766678502,-477.8883613819142,-875.487710442056,55517.642724720194,1873.2812493542194
228.0,377.41200008532354,7018.993002088724,-1868.6571940169363,-4516.324508820297,-3885.9415036384253,-174.6597439809935,-65858.37644300528,2007.7491016849913,-66.58454993688943,-799.7835938083246,2517.6275181578267,-1554.8802920603525,-676.5210940661707,-324.6859470148906,-1108.3986469830697,-1022.7753744997933,-218.9886582872889,8421.220200695985,-390.6565190204537,-464.77624716053526,-5474.399226672007,-4047.8166905559283,-489.9364899753619,-890.9059303196922,61172.91162433664,1780.4449879154824
240.0,384.70800008532365,7369.6926705569695,-1948.0841811245411,-4617.828709370492,-4067.8119197950714,-176.02152240028354,-69008.92825550576,2177.4823718973753,-58.528701068282814,-851.8662372451948,2738.031519571565,-1632.0795015634683,-689.3452994576103,-315.69510411851417,-1124.430610588096,-1038.119694039752,-220.5034746416045,8640.289867814947,-393.5860178130526,-468.31573622629855,-5649.62298445928,-4279.743324296127,-501.2818688474605,-905.3966255609062,66892.76528689398,1689.1887090381158
