t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,273.8280000000004,152.9610321898951,-65.61894149897162,-120.38111332865395,-127.06524737250541,-11.237449244583887,-1709.8703085116124,-18.43490072460629,-25.549277424574655,-4.71632695652013,-26.43875968724411,-45.26762837151316,-33.16289103861866,1799.64439418583,-61.06857720090367,-55.57404073195928,-14.23309378575142,237.56447579827142,-25.221788502119434,-29.96627917121012,-180.95346528814363,-72.32053249351395,-21.176341547982418,-46.96014434540119,27.191301547224622,196.63003745062528
24.0,277.6560000000003,364.4944209599558,-157.06300759949548,-297.5527419921953,-307.7095823940572,-26.012488954680446,-3947.8869243687313,-30.205666744058757,-59.3749745873632,-13.574798698115385,-46.29178058784074,-109.9539233862351,-77.1404452174686,3738.8032442390963,-141.73648822100444,-129.01756691680583,-32.94659595306251,593.8264623141176,-58.38347979038585,-69.36599803176485,-447.6956984704914,-182.31531670660598,-49.39395012765495,-109.07841390492769,68.92847707155833,455.12665209402934
36.0,281.4840000000002,643.7386559641421,-274.3257104822471,-540.8048797937923,-548.7367705612911,-43.64555382144396,-6673.663014326623,-24.576566175764274,-97.8124346731466,-28.004737437797143,-49.13751856787423,-195.28328087871873,-130.387277832296,5556.393975269793,-238.7706832010256,-217.4296794830744,-55.27960206595858,1093.614696733416,-97.95982221141358,-116.38695199688341,-815.0407002955018,-334.4322989538784,-83.8323183044971,-183.97508844090203,128.49283018447932,763.5647223036211
48.0,285.3119999999999,1002.4135064564998,-414.0200022560629,-854.3755222008823,-855.6040834594304,-63.1426838652129,-9800.376868640546,8.799771872511952,-135.75827564355353,-49.06222680624105,-27.28022014126821,-299.66892300631304,-190.36538623376566,6974.113403991162,-347.1647592536881,-316.28984255043696,-79.97299267554578,1751.3095967369882,-141.7199234994067,-168.3785552521373,-1291.0430100854417,-527.6301417637152,-123.01367387464575,-267.89182003580544,208.67400639223442,1104.510491850442
60.0,289.1399999999999,1446.6389561024394,-568.9885566650445,-1237.3437997912054,-1231.64095275187,-83.56838677557325,-13246.701376570958,76.24805035158094,-169.0517059502045,-77.19777242912204,22.94557920899914,-417.6478468307871,-254.5509288449588,7785.734479439188,-462.0717066393267,-421.2083680743905,-105.84176570373923,2568.2089481066832,-187.56412125412095,-222.84615034853243,-1876.9326146214328,-757.350799086175,-165.412036547596,-357.1561977328063,310.68927813769767,1461.5547512771193
72.0,292.968,1972.3271918750527,-727.1616322784134,-1682.9878604583748,-1668.6668775577261,-104.10245397801982,-16944.412540312464,177.19873634959487,-195.2752885932987,-112.24116748685923,100.29449445855747,-538.6356187631172,-320.6473071558742,7874.198618151085,-579.1581978929272,-528.2530467600129,-131.84718125666504,3529.715230221925,-233.65151085418873,-277.6025621625138,-2564.5316006663097,-1015.1394466641589,-209.60568502403834,-448.464558327745,429.39022826231894,1820.3161615505005
84.0,296.79600011687955,2497.728282950214,-866.6070380781567,-2166.0106867800027,-1866.5737620533682,-121.18183689560112,-20516.282839088803,276.12036901273996,-205.48422175339996,-153.640133102648,180.02902687217406,-647.1509104760812,-379.75435720550166,6957.073975112477,-680.6773281479599,-621.420465823551,-153.47838030458485,4609.050217350567,-271.98512504221736,-323.1469117808091,-3294.563270411841,-1244.9585568788384,-250.49489450206033,-528.5417288557553,501.8034660555552,2118.4643492449027
96.0,304.0920000302511,3040.1853025017313,-957.2307758550583,-2613.448202835903,-2044.053754297384,-126.36409099650552,-23644.42398320797,373.50403983794644,-173.874254722969,-199.97968544596617,289.0837078844101,-728.6299970917306,-407.28891669126455,4970.180864816349,-720.9182872642797,-658.9583932534439,-159.7883409767525,5445.4248620985545,-283.6058136413742,-336.9026990859767,-3700.100470477066,-1399.0160125290856,-272.5176055211698,-562.4799919712668,7355.709749875645,2114.270570600912
108.0,311.38800003025096,3579.706354762769,-1046.8633452235556,-3012.1110131839405,-2228.947862621703,-130.65555952799073,-26724.510938301883,473.8261936455924,-140.47215553595905,-249.25507993225523,404.5683839223063,-810.7146621288,-432.1856441046256,2846.0544950614167,-756.3204917116083,-692.1047111596855,-164.98744822809357,6016.309601149617,-293.22791164168484,-348.28742694780215,-3878.1025656850625,-1551.7102719624054,-292.8515635564805,-592.6839148084136,13738.49619301996,2088.4417097495766
