t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,272.3999999999996,152.78188998067162,-65.3891056479596,-120.31933502419614,-126.98993133898189,-11.223158894719086,-1707.2926982567794,-18.31210723175421,-25.452598112837588,-4.385973129127885,-26.444242364678615,-45.06436231979863,-33.125195478205114,1794.8303873660188,-60.99524373965887,-55.50870271640648,-14.214991290811316,237.26944450787246,-25.18900562269891,-29.927879886110045,-180.8642131056556,-72.18852563197323,-21.154136752299525,-46.905407408628,34.074026962379925,196.37609186866172
24.0,274.79999999999956,362.9658242887587,-155.7241925134427,-297.0930253916345,-307.0818395637546,-25.92480352742134,-3934.3166369735045,-29.655556897225843,-58.871919058353605,-12.037820780171774,-46.35635150447765,-108.77565391113386,-76.90497220963071,3715.6708719213066,-141.28288593904762,-128.60938943061075,-32.835528819823445,592.0250488987375,-58.184880896612384,-69.13143328817182,-447.02270962167097,-181.47780704690956,-49.25263480035336,-108.73655725698814,86.22109987887286,453.5823552955857
36.0,277.1999999999999,637.8376883454849,-270.0327188329056,-539.1188346457669,-546.3717643342975,-43.374605225856335,-6635.732224215031,-23.43231217028522,-96.4430515758108,-24.013538033985075,-49.588863634261614,-191.48422288641936,-129.64857588636886,5498.355495906995,-237.35843389253853,-216.15465457760467,-54.936416899627766,1087.642478105653,-97.34835988622322,-115.66305639419136,-812.5607816226631,-331.5955239727,-83.38379176436501,-182.9060883354974,160.24351765293912,758.8050378131343
48.0,279.5999999999998,986.4989540765364,-403.28807317182356,-849.9182589583723,-849.285425398372,-62.530773861753566,-9720.318384349617,10.129541154022405,-133.00654704908976,-40.98769897261698,-29.117654958863536,-290.05038879352145,-188.67923090157302,6866.157764408165,-343.957935287898,-313.38989275433676,-79.19797282833032,1736.1129079391314,-140.3411416461195,-166.7445981101195,-1284.4449919112042,-520.4083717714307,-121.98210003259187,-265.458192325718,258.9034595779671,1093.7738161300404
60.0,281.9999999999998,1411.0055212384236,-545.4629820099535,-1227.5375834070996,-1216.4493162962722,-82.3966451136162,-13100.785041266654,76.04212446938908,-164.46598224348804,-63.06264159065343,17.49997126702773,-396.2519252813428,-251.30578602369457,7616.862312120647,-455.9152001338306,-415.636167443687,-104.35776904770458,2534.914496494795,-184.92627882449085,-219.71829440501804,-1862.1501889152598,-741.5981665557691,-163.41951270133754,-352.4780265023542,381.73144621646736,1441.011104986943
72.0,284.4000001022124,1885.2449562971544,-678.9575008002504,-1661.1813798515668,-1556.9519026018872,-101.25296496724843,-16616.999907020054,165.50263033069996,-185.9900128677518,-89.85945557978738,83.07093383393297,-495.6012390248571,-313.0812275072902,7576.856070318116,-564.5144161096932,-515.0179020886786,-128.23894906959666,3471.0160196431593,-227.2456447013983,-269.9999338186295,-2529.5330711887846,-972.8657810757923,-205.08262073881517,-437.40714395142817,499.5356896835005,1770.4192947776291
84.0,302.3999998320639,2453.9624971501603,-788.2623070433494,-2082.540888938595,-1904.1397300208832,-107.36856355486925,-19641.176057932018,265.9076116249819,-158.33284822425728,-129.1324885347678,189.10517805094102,-594.4795334738349,-340.9948101972762,6399.482658335219,-607.3005388564751,-554.9471485719847,-135.58645814249988,4518.327657537672,-240.67513627486858,-286.09339590101007,-3176.0147357204787,-1131.432199196127,-226.5956415932107,-473.0927094023435,13957.944737382204,1799.3124645234022
96.0,320.39999983206394,3115.9184488834117,-922.3138670544154,-2491.8703852561716,-2325.0132784821444,-112.70577659158263,-22630.10817937202,384.1866444137198,-124.9138710708098,-181.12405655507092,312.16013910601885,-719.6339135505956,-366.5760894832955,4979.9103441689085,-645.7634561381568,-590.9582164533302,-141.87456373616294,5547.723277762981,-252.3029692102858,-300.07161401661375,-3791.4694974883464,-1299.9531024828211,-246.62923648709707,-505.5387817760187,29894.318424615125,1804.8330045870302
108.0,338.39999983206394,3827.150166270991,-1067.4038077308728,-2884.3241068638276,-2768.906429684041,-117.32069910124322,-25594.566167547713,518.0746352730897,-87.70443628568992,-240.38692531726082,447.8618208439555,-857.1608208606402,-390.1181291375475,3508.235764065531,-680.3808559814267,-623.4822091692643,-147.2318006162394,6513.363506791595,-262.2977880054902,-312.1151262404425,-4349.746716808695,-1474.721912577809,-265.39894801786284,-535.0693448242635,46369.39105470451,1791.1322532646454
120.0,356.3999998320639,4559.614944381184,-1217.8536206935696,-3257.154141597468,-3223.1270476636437,-121.37461197514874,-28569.651680830313,669.284997528888,-48.67634216112361,-304.2787582997118,598.9315797496956,-1001.0640456624026,-411.9911485354556,2155.1585510812056,-711.9358706405494,-653.2181688260804,-151.87818304837688,7390.8918180540395,-271.033271711295,-322.66248233057524,-4840.623339995927,-1659.925584156739,-283.0981241066231,-562.2422523945268,62852.63633832425,1763.1219727844596
132.0,374.39999983206377,5293.324747562144,-1370.4594990937007,-3609.194418777976,-3679.620464921407,-124.97806214289233,-31599.015215714793,845.077788640634,-9.089058018515152,-371.3208057962977,773.5837679985792,-1147.9264872487956,-432.4223406287674,1109.981423289915,-740.9365524839759,-680.6174246090868,-155.96177119608805,8189.917339350917,-278.763510808859,-332.01280012763385,-5288.05237003564,-1864.774835142232,-299.8335689640129,-587.4151199673205,79073.00568279756,1724.3706888282688
144.0,392.3999998320638,6015.691837513513,-1523.1542542423404,-3940.5781226417125,-4133.475119296784,-128.20299751710454,-34707.22085907417,1054.2811579157733,30.25332850950612,-440.5369078198647,981.0266623013231,-1295.5446305746536,-451.5432326610487,493.1064996343094,-767.6960149370478,-705.9566828258951,-159.57739683003697,8923.89395500472,-285.6527379984615,-340.3599318270429,-5718.204723062343,-2099.121819864625,-315.6589276248434,-610.805369372676,94905.74643473585,1677.4060627544213
