t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,270.97200000000174,152.60128017129142,-65.1520129909359,-120.2567320310499,-126.91472148224882,-11.20933587821001,-1704.7584463678488,-18.186646608380602,-25.355346787579208,-4.035662907979185,-26.450038754919753,-44.854051366869534,-33.08797231621257,1790.0465701356638,-60.92347240715979,-55.443539741480144,-14.195825980140452,236.96302321257522,-25.157796152757058,-29.890580082640124,-180.77641096444114,-72.05966971338937,-21.132750606959917,-46.851750248067475,60.680580607890455,196.1177300757618
24.0,271.9440000000016,361.36031287889955,-154.2878366017846,-296.621347253754,-306.4340602402111,-25.836238817927182,-3920.606664885653,-29.099751846289514,-58.36099786545834,-10.3249690938205,-46.44820155025716,-107.50410057299317,-76.6656957525895,3692.20581531237,-140.82311986800556,-128.1925422296505,-32.71917008436882,590.1150670323452,-57.985640428187715,-68.89415648315459,-446.3377155754062,-180.60368157195305,-49.11058439154034,-108.38989703411279,153.22835254962843,451.99092123215087
36.0,272.9160000000015,631.440909838844,-265.235478458433,-537.3680483650462,-543.8622635019783,-43.09456091315446,-6596.790998446224,-22.324107297358328,-95.04964677828657,-19.38453113207656,-50.205813547391095,-187.2022950796892,-128.88456855810554,5438.75774452025,-235.89797174324843,-214.83039448440806,-54.57397873349601,1081.1606035654513,-96.71897411157134,-114.91423670022809,-809.9898434297403,-328.51027460435336,-82.92359749100392,-181.80074394937105,283.7026880002074,753.8276051536751
48.0,273.8880000000017,968.6087129648054,-390.70649747281516,-845.2080671882595,-842.2295220540743,-61.87932189364461,-9636.347837865947,11.160530501686141,-130.2083560187329,-31.342438797233644,-31.577456980035443,-278.66160278727665,-186.89167032562776,6753.5723472763175,-340.5510232049597,-310.30031346505723,-78.36047899983626,1719.158339306163,-138.8776843207835,-165.0041583238527,-1277.4503716343715,-512.2121698512939,-120.89758419983534,-262.87475965970054,455.09085434643913,1082.2519598208967
60.0,274.8600000000017,1368.5899536637082,-516.3840681046563,-1216.75102157264,-1195.3791141743768,-81.04815774609615,-12937.898353714932,74.34638231891748,-159.67109631012332,-45.854508407662784,10.083858420775222,-369.63369073882797,-247.6241402921472,7431.79256109589,-448.88267952932085,-409.26116838583005,-102.63203464202337,2496.8914102547856,-181.89792416824443,-216.11774927794607,-1845.700180687539,-722.3157751814762,-161.18801685580235,-347.146352445083,659.2408568206964,1417.2427235574978
72.0,275.8320000000014,1758.6422850936542,-614.4044349748713,-1630.6018199429197,-1344.6500190769138,-96.52985950400073,-16087.941816261615,140.9376222556885,-172.54613579232054,-62.23865050795978,57.59800099790491,-439.621779779792,-300.85853407432336,7092.578630956529,-540.5612580706041,-493.37129036311836,-122.23684065895218,3407.281906289403,-216.64386663665815,-257.40031641473047,-2479.5503926506663,-905.8750359535684,-197.91141097854015,-419.3912522873481,780.9952743819213,1687.6023160657585
84.0,276.8040000000012,2077.9761817537405,-670.7493010539187,-2056.8254032103023,-1369.1090048557855,-107.75330509201402,-19074.819341095616,197.08522768347456,-175.4353254766782,-78.93598619332157,111.7234218683647,-475.6430255518038,-344.21739725352296,5866.440999365835,-611.7906917826601,-559.1138875674488,-136.4506210423686,4274.23555472167,-241.8333600576842,-287.3285526390919,-3030.3301209133665,-1058.626363736987,-229.2999588786311,-476.53117989562134,839.8071817448805,1883.3328695372493
96.0,277.776000000001,2342.8458395713237,-701.2308302184277,-2465.085224023698,-1394.50019438417,-115.35909091644788,-21938.472669512976,252.71328014575874,-170.36448036353312,-95.21336980879774,176.75939784610648,-492.3512974245327,-380.0397427792824,3703.4704242714283,-666.5002389953564,-610.1051425123333,-146.0833066593744,4644.668886833564,-258.90366423184344,-307.6101656275335,-3078.257962501084,-1190.4941929929366,-257.01015553934957,-521.6923319292595,869.6170436033711,2015.65184608785
108.0,278.748000022994,2545.655312287331,-723.5251574425314,-2815.012585825464,-1420.7499837623568,-121.15357962799217,-23765.392736262515,436.92222742775533,-163.08150998675092,-110.94746038309442,375.7112242443966,-504.15216999048886,-420.08408151097456,-511.1351841134524,-720.9339222249074,-661.7060202205571,-153.42219968286003,4825.105716623676,-271.9087940963024,-323.0618434857946,-3101.53864661209,-1440.3661541685167,-290.8741235109147,-568.8513732302524,887.6582151086432,2116.186753975387
