t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,273.82800000000054,152.96874925378182,-65.62306916878924,-120.38186531479398,-127.07073149740592,-11.23898485918631,-1710.0513113124832,-18.43125732198174,-25.553972521229326,-4.716124478856598,-26.434583132911428,-45.26854469203609,-33.16456680401099,1799.870487708109,-61.07450495371198,-55.57762054919338,-14.232892212329853,237.55812774124402,-25.22367181254999,-29.969962022537576,-180.96279845001723,-72.33382618375639,-21.17747875764128,-46.96446986719123,72.87788095924807,196.6298653014474
24.0,277.6560000000003,364.5026746808029,-157.0728452451126,-297.55442981481315,-307.7207233562252,-26.016349722052542,-3948.3431610687976,-30.194398425142644,-59.387544957291745,-13.574218842882008,-46.27678444752699,-109.95567827104996,-77.14453873070296,3739.363760832272,-141.7512809920948,-129.02642339910832,-32.94604451267212,593.8067684855266,-58.38818220208203,-69.37524870401496,-447.7190166772998,-182.35314353395498,-49.39671249806617,-109.08918520550822,184.74182515868875,455.12565697198426
36.0,281.4840000000004,643.7384644628935,-274.34308174185554,-540.80749714163,-548.7536271078391,-43.65271425153668,-6674.501579754106,-24.551554498505805,-97.83689980990991,-28.003554538637633,-49.10214423168592,-195.28565099750816,-130.39470304816612,5557.412829128017,-238.79796249207385,-217.4459104996537,-55.27852765133402,1093.5706759223647,-97.9685059934882,-116.40409897239002,-815.0833521992303,-334.50991084758283,-83.83730115201624,-183.99491711097798,344.3877525436779,763.5622262272396
48.0,285.31200000000024,1002.3983424613377,-414.04749770835843,-854.3795793398392,-855.6277937757285,-63.15432580780184,-9801.714205062739,8.848113635385237,-135.79943433215342,-49.06024421363579,-27.212370501341642,-299.67203233292844,-190.37736026909624,6975.712883874461,-347.20900960898456,-316.3161437307824,-79.97126449768464,1751.2267200602096,-141.73405586148027,-168.40643762244764,-1291.1117852838117,-527.7667016938084,-123.02166733790014,-267.92395383638194,559.2942161070899,1104.506671108661
60.0,289.1400000000001,1446.6063082616229,-569.0286473967986,-1237.349432183556,-1231.6731630421625,-83.58569718213485,-13248.633978981434,76.33232399919916,-169.114439039774,-77.19481691798512,23.058463935548,-417.6516713372396,-254.56855575462544,7787.993392759127,-462.13733184759735,-421.247280349854,-105.83916340885735,2568.068414775147,-187.58511090995734,-222.8876023758308,-1877.0337598656015,-757.565781320333,-165.42376145260775,-357.2038118232621,832.7220367051169,1461.5486621992786
72.0,292.96800000000013,1972.275269656993,-727.2154447652526,-1682.9942914701478,-1668.7035521814507,-104.126219425757,-16946.970459593664,177.328913645828,-195.36352340216874,-112.23715647620207,100.45982371188492,-538.6395963271291,-320.67107161651415,7877.096463853406,-579.247905089747,-528.3059128024555,-131.84338414146288,3529.498180192839,-233.68016406546462,-277.659428546335,-2564.6664972143726,-1015.4444862589567,-209.62146159315358,-448.52957209475034,1150.8646992484214,1820.3049803506499
84.0,296.79600000000005,2497.637874203472,-866.6661348763738,-2166.013315604112,-1866.5737938310483,-121.20893020476477,-20519.054775722412,276.26195033408476,-205.59077355235075,-153.63552784769377,180.2159271964741,-647.1529994684264,-379.78001028026114,6960.080329583456,-680.7783560928812,-621.4787727844528,-153.47308248194983,4608.772164151134,-272.0170846780894,-323.2115551192152,-3294.691264583691,-1245.302754355897,-250.51193755878873,-528.6147524399406,1344.9264782100022,2118.4394107437515
96.0,300.6239999999999,2965.061505122421,-973.2001372712124,-2655.500687598272,-1963.7768800602187,-135.996704291499,-24100.302825432856,362.7112966227856,-211.3226684892586,-199.31865244656714,262.80873018723724,-726.9056625232973,-433.86386496771246,5130.567863088117,-771.5848031152809,-705.0514869116256,-172.19848728910628,5315.026637336316,-305.20448355734715,-362.64440341309455,-3630.882131319578,-1457.8344785517097,-288.8242944441946,-600.8564047798538,1478.3287472869308,2376.2772548997355
108.0,304.4520005233364,3369.184736743569,-1056.605803317364,-3107.789754502431,-2062.0513216697177,-149.8010387805735,-27959.220570026966,445.16990704575295,-219.9622406235568,-247.77467433039277,358.4289908965406,-785.3108866702806,-485.9169154513763,3030.9676568450377,-857.9183248135067,-784.6330219443726,-189.6795275890051,5737.117608423531,-336.1852813485868,-399.4550251973787,-3723.8952934010686,-1674.752983672006,-326.15436096602946,-669.859418077206,1581.1122852159135,2616.769384128876
