t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,273.82800000000026,152.96432986112345,-65.61974170594692,-120.38195677471954,-127.06717889345994,-11.238101017049305,-1709.9490445833314,-18.432425921864755,-25.551388611405837,-4.7162388872608485,-26.4370082739723,-45.268231944869534,-33.16349300441658,1799.7427580365209,-61.06906798144917,-55.57566832422576,-14.233539799169831,237.5617193406807,-25.22130014452634,-29.968803284859742,-180.9592390724844,-72.32721668414503,-21.177253065019052,-46.9623002363093,46.54985168514263,196.62996060614554
24.0,277.65600000000023,364.4978305004888,-157.064781575571,-297.5548282532521,-307.71329894068015,-26.01412965952284,-3948.0857809301046,-30.198548125633188,-59.38063454253947,-13.57455006938861,-46.285407352688964,-109.95521974413842,-77.14190944974443,3739.0472515757747,-141.73764203374833,-129.02160811107228,-32.947711999461276,593.8180307661443,-58.38221600815143,-69.37236584947172,-447.71024659547544,-182.33409311738026,-49.39621132774006,-109.08380313193494,118.00145125712055,455.1262561152457
36.0,281.48400000000044,643.7382805680762,-274.32860732197105,-540.8085912818244,-548.7420500896528,-43.648597456384174,-6674.0289864223905,-24.561646285571378,-97.82345534792766,-28.004234368060235,-49.12240142663316,-195.28531433832615,-130.38991706714882,5556.837561271653,-238.7727067901403,-217.43709285957223,-55.28166367765048,1093.596001731852,-97.95743291601019,-116.39878287103855,-815.0675363167201,-334.47040647488825,-83.83645908836505,-183.98502618354308,219.97256696235533,763.5637238058418
48.0,285.3120000000005,1002.406745497128,-414.0242682164747,-854.3813419861369,-855.6111621419251,-63.147625548530115,-9800.959699536817,8.827178775303683,-135.77678370549606,-49.06137568945558,-27.25126866389937,-299.67178907833113,-190.36960344520043,6974.809050415032,-347.16797356717,-316.3018105616909,-79.97633918366914,1751.2741242349061,-141.7160404715659,-168.3977655054918,-1291.0862069913649,-527.6964187752991,-123.02033094558875,-267.90788864205,357.23933956257,1104.5088492444281
60.0,289.14000000000044,1446.6250963424816,-568.9943191344198,-1237.3521115717576,-1231.650387952517,-83.57572655479814,-13247.541976979512,76.29390903387913,-169.07988480151928,-77.19649732435606,22.993613411275426,-417.651557251792,-254.5570742023165,7786.715442092558,-462.0763146496962,-421.2260179360357,-105.8467257052259,2568.1483738457637,-187.55830000775123,-222.8747046323536,-1876.996095553321,-757.4542495087003,-165.4218335163132,-357.17996652928093,531.8851939969634,1461.5519957633392
72.0,292.96800000000036,1972.3065575551884,-727.1685083753066,-1682.998646284413,-1668.67885261915,-104.11253682831973,-16945.525338838903,177.26796096614737,-195.31494787535763,-112.23943616801202,100.36481751428356,-538.6397695241194,-320.6555096766462,7875.45489973099,-579.1641239057394,-528.2770272343248,-131.85395883065968,3529.6207679428067,-233.64332835556513,-277.64186275444604,-2564.616899889889,-1015.2858199391601,-209.6189994842912,-448.49704236357366,735.0950077852053,1820.3112860276722
84.0,296.7960000000005,2497.6929377134475,-866.6124752113967,-2166.020841998244,-1866.5737751808656,-121.19335847088942,-20517.49133842716,276.1962427773313,-205.53228954749105,-153.63815400289474,180.1081401193591,-647.1536363397388,-379.76300617014965,6958.373689308788,-680.6826671717411,-621.4470318807288,-153.4859695860746,4608.923363370249,-271.9749755753062,-323.19214225969995,-3294.645569979074,-1245.1242460394606,-250.5097964758536,-528.5784328384836,859.0572534519158,2118.4540837316817
96.0,300.6240000000005,2965.139845031263,-973.141260804026,-2655.510418388599,-1963.7768973982188,-135.97963317476507,-24098.70906486337,362.64971566010166,-211.25467983244894,-199.32156275595383,262.6978677763257,-726.9063864205239,-433.84548738562427,5128.970049602916,-771.4800482016478,-705.0170008891794,-172.21270986929844,5315.236623201183,-305.15829906107234,-362.6231854476063,-3630.8815885473,-1457.6462775197044,-288.8222059623368,-600.8168512685478,944.2663959558677,2376.2941639743603
108.0,304.45200014466985,3369.282231140287,-1056.542428312899,-3107.7994352291844,-2062.051395275987,-149.78274342637587,-27957.664011219324,445.1184169108452,-219.8856552977477,-247.77786293824116,358.3235838356932,-785.3113234386951,-485.8973287041559,3029.5863085140954,-857.8062625181639,-784.5961323529574,-189.6946917543412,5737.331660324264,-336.13580202874215,-399.4322324392084,-3723.8949551630903,-1674.564533116833,-326.15223565376397,-669.8171372464338,1009.9173596615824,2616.786817373819
120.0,311.7480001446702,3779.5217457505137,-1124.531941498519,-3431.2105572067367,-2244.4220093707168,-154.55622197337087,-31823.181327003473,545.121308005972,-200.00812087863767,-299.38339553610757,500.7463974622319,-844.9593703312062,-513.4741689195233,1149.4913204177508,-896.8651144779171,-821.4439321727477,-195.5236756030763,6195.079588917033,-346.53741329564747,-412.2451325302178,-3890.5417966893897,-1858.4728472175466,-348.8046133503808,-703.3983028189332,8300.86886299127,2572.9341115169054
132.0,319.04400014467006,4168.102421789447,-1206.0094617455347,-3636.9080576563574,-2428.4716291409827,-158.27632332371468,-35831.77784390261,668.1192626036575,-178.1881605355084,-354.0396794135746,676.1151487932036,-919.9482316507818,-537.9179112314592,57.442025925544264,-930.2423145498354,-853.1028724542233,-200.05772213536264,6551.619196709538,-354.63126683984603,-422.23389581503795,-4066.843842632393,-2066.1541458178945,-369.41723358975634,-732.5270825794913,14272.593151297408,2508.0297615350364
144.0,326.34000014467017,4530.479491097745,-1290.2384061022217,-3776.299794432937,-2611.337833329417,-161.2122670248995,-39974.66545514403,820.6220226519755,-156.90079275499508,-410.6712736645142,891.1727776481746,-999.0675669885891,-559.7333598643777,-256.64435008195653,-959.09429141197,-880.6033458015017,-203.6279467558103,6826.098431024852,-361.00740130612115,-430.1202472493722,-4243.140478153125,-2306.6952972557683,-388.2153454037594,-758.0453564423808,19256.939416010664,2428.5385663269262
156.0,333.6360001446703,4886.763636828876,-1374.7979677945139,-3891.4893741901483,-2793.6995456695245,-163.70009997874243,-44070.7799153345,985.5816756262707,-137.88003021269853,-467.8692183501582,1122.631318000169,-1079.3153282154205,-579.7351674753584,-314.86674510029576,-985.0366837431808,-905.4077525318057,-206.6404180480455,7068.797750149615,-366.39192488045364,-436.80784683755536,-4419.407173838688,-2559.7197454908155,-405.6702212865121,-781.1933029510359,23910.85844085973,2341.317960067694
168.0,340.9320001446705,5243.577263318836,-1458.9563099887432,-3999.1138828767544,-2975.8788792046093,-165.90332008562987,-48043.45839343538,1154.0346827562146,-121.4301541443454,-524.9163938460127,1358.1257400565694,-1159.67473315019,-598.3424639335847,-330.9848481549875,-1008.8809635521129,-928.2521403352854,-209.29424191864908,7301.680513681262,-371.1403246375851,-442.73576260904457,-4595.589629625481,-2814.2823100340934,-422.0327406036392,-802.5960674589137,28502.331726273478,2249.9970556152734
180.0,348.2280001446706,5600.763968077582,-1542.4491276670353,-4104.193382403692,-3157.9803488703396,-167.89394836556914,-51880.049530940385,1324.1301182005584,-107.27994558906576,-581.4953662696234,1594.3966893790894,-1239.7544605245187,-615.7470402174883,-337.7392378916955,-1030.993583073353,-949.4691324548363,-211.6781963518003,7530.258284186664,-375.41073175818667,-448.0969924022561,-4771.657554323889,-3067.7514174233133,-437.4197554823557,-822.5354834833678,33113.47101094981,2156.4798494802067
192.0,355.5240001446706,5957.544953375699,-1625.1846230057545,-4208.165660295597,-3340.033397656114,-169.71110500728227,-55578.18881578191,1495.1751375700392,-95.03141969224077,-637.4094387286918,1829.695498592191,-1319.392846872574,-632.063114908153,-339.72071085285666,-1051.584702508966,-969.2501614294584,-213.8411284620614,7756.055032691484,-379.28993684605996,-452.9961279221737,-4947.592282929674,-3318.720762324127,-451.90429870589276,-841.1742660668198,37767.92165313639,2061.982932465626
204.0,362.82000014467064,6313.345504299032,-1707.126717929546,-4311.440631556736,-3522.0445209611894,-171.38110209536347,-59137.492139870476,1666.6073018243244,-84.29311747202716,-692.5146194594844,2062.623084704192,-1398.50645209591,-647.3754592238166,-338.06264355532164,-1070.8040770159719,-987.7322366365131,-215.8161578744801,7979.704868529574,-382.8366957885626,-457.5034151182684,-5123.377586053112,-3566.0221152763097,-465.5432360500264,-858.6296298240405,42472.69269167628,1967.3978668738737
216.0,370.11600014467064,6667.778818482792,-1788.2525454017068,-4414.124332974838,-3704.0128252533154,-172.92380940928615,-62558.546412790536,1837.9111100969405,-74.71480061198022,-746.6990913894755,2292.0739854165063,-1477.036523036293,-661.7551582707782,-333.4309678997128,-1088.7720121947207,-1005.025990032595,-217.62838123295882,8201.605971646484,-386.09550218563754,-461.67186766276336,-5298.996498755942,-3808.7245361931523,-478.3865133768734,-874.9971029040778,47230.18994165934,1873.415461895457
228.0,377.4120001446707,7020.562671166065,-1868.5380406560678,-4516.226132741727,-3885.934503425828,-174.3550747230108,-65842.66062130491,2008.6436345877892,-65.99479124342643,-799.8736738635392,2517.256629517995,-1554.9303445280407,-675.2662941307669,-326.4119076243731,-1105.5918821361374,-1021.227068769675,-219.2978354025002,8422.044769380616,-389.10187238312847,-465.54376051007125,-5474.4301850613365,-4046.1756969687494,-490.4813369236401,-890.3602493509671,52041.65354291925,1780.580882857951
240.0,384.7080001446707,7371.455222935994,-1947.9532702201898,-4617.721869732843,-4067.8041223665664,-175.68789221649047,-68991.72773938277,2178.4570396579447,-57.880031925936414,-851.9662354221,2737.680335071582,-1632.1344940696113,-687.9689221557709,-317.5431817269273,-1121.3559561113448,-1036.4214075231905,-220.8409475656181,8641.209743515925,-391.88492498636856,-469.15375715753845,-5649.657324284345,-4277.9990852041765,-501.8739262853094,-904.7950996843002,56908.16032935723,1689.32512789155
