t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,272.4000000000015,152.7797978253254,-65.38884417028183,-120.31848026187734,-126.98801539890944,-11.22283052082403,-1707.2537182338713,-18.313118007807656,-25.451485329994696,-4.386013778215648,-26.445371263618643,-45.06389574730607,-33.124962741606666,1794.7818230285304,-60.99391983615265,-55.50761108584393,-14.214694286652254,237.270826019572,-25.188815416801596,-29.927325295599626,-180.86187844050195,-72.18569917962907,-21.154166279325914,-46.9044155945791,24.056622711550222,196.37612044095584
24.0,274.80000000000103,362.96289527828685,-155.72373212773078,-297.0910150695841,-307.0776138655717,-25.92398404408256,-3934.219597477029,-29.658561807932138,-58.86898579975805,-12.03793820439669,-46.36009873425686,-108.7746538405572,-76.90443003198399,3715.551358937399,-141.27961106615095,-128.60669671138044,-32.83479176467433,592.0295833833301,-58.18442526554935,-69.1300604447627,-447.0170191322826,-181.4698648499184,-49.252744057753276,-108.73410834604516,60.87299268464092,453.5826277364823
36.0,277.2000000000013,637.8359047829961,-270.0321442335371,-539.1152148597131,-546.3647763226991,-43.37308664723996,-6635.554543431656,-23.43871468911997,-96.43734892983802,-24.01376674503531,-49.597396289070495,-191.4826372145515,-129.64760075504034,5498.138675347196,-237.35239104478254,-216.14969149694983,-54.93505270653035,1087.6525350171535,-97.34752306839484,-115.66051679764662,-812.5503568822368,-331.57923406696614,-83.38402259297736,-182.9015749621633,113.13344088728246,758.8056219734852
48.0,279.60000000000133,986.4996112162393,-403.28724790389276,-849.9122698557954,-849.2749424424277,-62.52831500305708,-9720.035756380741,10.117552916326622,-132.99699259175858,-40.98804604560659,-29.133760939523,-290.04793955344604,-188.67765461116542,6865.821021313558,-343.94815797960575,-313.3818626025469,-79.19576200509539,1736.1311205302381,-140.33977769464178,-166.74048075845792,-1284.4279776850756,-520.3796860054014,-121.9824778575978,-265.4508928176165,182.78795059181442,1093.7746666037788
60.0,282.00000000000114,1411.0095757596634,-545.4623029830905,-1227.5289210665815,-1216.4348937087889,-82.3930262369784,-13100.38008268186,76.02233457395896,-164.45149018046328,-63.06313696460039,17.474061020907488,-396.24884005861475,-251.30349277855748,7616.390859485905,-455.9008313341423,-415.6243714974877,-104.35451761827099,2534.945004298412,-184.92428239228232,-219.7122410614668,-1862.125397118903,-741.5537659326562,-163.42009369625464,-352.46730283663544,269.50536862080054,1441.0124719269456
72.0,284.4000000000009,1885.2576137209157,-678.9582218581008,-1661.1712700072674,-1556.951340658748,-101.24847196877366,-16616.512139359867,165.47715992975174,-185.97107568683367,-89.86005348514927,83.03711046971885,-495.59837190422786,-313.0788338960294,7576.298566537067,-564.4968228932654,-515.003557127655,-128.23500151870255,3471.058577832301,-227.24357682034798,-269.99265950629285,-2529.503081405831,-972.8098935617744,-205.08372953977286,-437.39401624725735,352.6790715928029,1770.4253274621528
84.0,286.80000000000064,2305.9097871133986,-777.4520605968321,-2117.948690179404,-1618.0330340051678,-115.41937378938988,-19869.712879131446,238.57035567983584,-191.69456711217254,-120.02666100831887,145.47929425632586,-568.4284757545979,-364.44625046508327,6474.108205523696,-651.0536079259687,-594.632995006487,-146.1833938549064,4471.143007282943,-259.0490540385157,-307.78137686879154,-3189.500157326718,-1159.7823614151764,-241.335871659314,-506.16064550987426,390.92595406905394,2017.7180521561372
96.0,289.2000003188567,2659.7553128691798,-845.6657370241447,-2573.6922674772445,-1679.3630575233565,-127.93234533836906,-23238.42751275823,305.3416750221346,-197.22379747188793,-151.99514610268383,216.0202575357875,-613.9808249086364,-412.08214771876624,4616.858480483303,-729.7620460816978,-667.2244902885889,-162.03204534352372,4976.222172531078,-287.13346857328753,-341.1490228810468,-3355.0491929483815,-1340.2812852970148,-275.6248773791088,-569.1600793722322,420.96092632846575,2235.850749396004
108.0,307.199999673573,3163.701431802588,-941.755362837179,-2981.765626923302,-2093.0671035445207,-133.87880119282372,-26831.54116520773,411.32074046395746,-176.82575393482819,-196.76748990321303,348.53232489885534,-699.62082702998,-440.99276402823585,2984.8392635567234,-773.0334535422116,-707.743499986931,-169.22656799551507,5728.644153024066,-300.40257916328216,-356.92182480201274,-3729.8409168257012,-1524.3319161040667,-298.27702113473975,-605.4894494799047,9537.090128274544,2232.835562025178
120.0,325.1999996735731,3797.858242408248,-1083.7303432635763,-3350.2150620591246,-2551.6536959549394,-139.24886968459904,-30493.899343465346,547.4984353972256,-146.40179278657428,-257.40484084011933,505.2875435910281,-832.2279076596947,-468.158049696541,1613.0132742268947,-813.0801631355572,-745.3378889193588,-175.65109949950963,6531.005093410915,-312.3688764772922,-371.1476186336834,-4160.811936780282,-1727.4756068576685,-319.80862255821506,-639.379736959125,19730.467598221363,2213.231805340304
132.0,343.19999967357336,4482.41255861763,-1241.8220296302513,-3681.3523492857144,-3005.1031562316957,-143.85196805208057,-34222.992706220546,716.7324041080552,-110.31841501604121,-327.13048075997506,692.457087426152,-982.3228097780438,-493.18195894501093,651.1025865120373,-849.1036397824362,-779.2753277157874,-181.12307448307917,7295.494250453624,-322.61809213748023,-383.33289354315747,-4591.833564091146,-1954.3315847780539,-340.0122142851816,-670.1803702321541,29412.5236854393,2176.317306180978
