t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,272.40000000000146,152.7824727084259,-65.38975085604113,-120.31899100035268,-126.98961752231462,-11.223260557046837,-1707.3047537263167,-18.31209354240131,-25.452581949942445,-4.385960678362498,-26.443444349953896,-45.064206777647364,-33.12557301812495,1794.8454221433144,-60.995804165505604,-55.508989419799626,-14.21477838605748,237.26901875665862,-25.189168182208146,-29.927850035748783,-180.86513716276949,-72.18970011720191,-21.154433003825496,-46.90520772498348,37.01253347289642,196.37608914938644
24.0,274.80000000000126,362.96661442668983,-155.72580409001762,-297.09215511918205,-307.0808925793388,-25.925061929019094,-3934.347211317967,-29.655360679078328,-58.87192506820619,-12.037786865466387,-46.35405334705599,-108.77523717500132,-76.90592537714937,3715.7083712516614,-141.28430474854602,-128.61011504696637,-32.83499154547206,592.0237225156221,-58.18529482873019,-69.13136083283077,-447.0250440822536,-181.48106796566853,-49.253381044016834,-108.73605123258878,93.65675750407698,453.58236861521794
36.0,277.20000000000124,637.8382357194153,-270.0358013259156,-539.1173319194172,-546.3698202529544,-43.37509326416316,-6635.789287691218,-23.431595452466823,-96.44315322770353,-24.013481966357613,-49.58403672925991,-191.48352161088243,-129.65036213770435,5498.423363540648,-237.36110489989068,-216.15603346262287,-54.935428232060154,1087.6398009597278,-97.34914667677793,-115.66294251534357,-812.565252529716,-331.60220866623496,-83.38518513156669,-182.90517222082588,174.06298337318077,758.8051991022031
48.0,279.60000000000105,986.4988389891519,-403.2930637433489,-849.9158712833438,-849.2820924246171,-62.5315683737456,-9720.409822878897,10.131282675702396,-133.0068152098289,-40.987607111380264,-29.109222005401026,-290.04925512835433,-188.68211931638538,6866.264447086505,-343.9622680718246,-313.3921349424632,-79.19638303310546,1736.107866426131,-140.34242630200018,-166.74443009646404,-1284.4522357444268,-520.4198589316421,-121.98434727779969,-265.4567219210874,281.23168451682056,1093.7741814683268
60.0,282.0000000000011,1411.0047959986373,-545.4704965267615,-1227.5341304561766,-1216.4443685201784,-82.39781887001287,-13100.916686582676,76.04562725531243,-164.46645426498998,-63.062511509215135,17.513029446785644,-396.2504059409724,-251.3100300685896,7617.011549668707,-455.9215795211919,-415.6394632920057,-104.35542794817513,2534.9061297846015,-184.9281781305836,-219.7180528488838,-1862.1608158834447,-741.6157481295353,-163.42280892903577,-352.4758466754743,414.6528753653797,1441.0116839667583
72.0,284.4000000000009,1885.2449703452048,-678.967959426819,-1661.1772726558725,-1556.951666478984,-101.25457458521343,-16617.17478945621,165.5085946377162,-185.99096681754693,-89.85929499629982,83.08860446141412,-495.59974258886115,-313.0869223544336,7577.044589847683,-564.5230880947151,-515.0225029452612,-128.23597870147316,3471.0037212103216,-227.248295372769,-269.9998140356957,-2529.5470406898294,-972.8900177279241,-205.08699674015315,-437.4045228927425,542.6185845333899,1770.4213404045088
84.0,286.80000000000075,2305.8855832597355,-777.4617348496354,-2117.953991758097,-1618.0330280891571,-115.42606467022263,-19870.398460008426,238.60081628190818,-191.71828246776911,-120.02584285239188,145.5336664575948,-568.4290089496659,-364.4549198646466,6474.832033728946,-651.0822426495273,-594.6535525370809,-146.1843838663125,4471.067328267724,-259.05411924393565,-307.7891111731124,-3189.532762833377,-1159.8678220348856,-241.33927539539857,-506.17190504527326,601.46344079136,2017.7123491307177
96.0,289.19999965056326,2659.7193404254904,-845.6757290392975,-2573.6964762014277,-1679.3630653271534,-127.9395369337687,-23239.111443453236,305.3689449340615,-197.2511308303309,-151.99430963860937,216.07394766153413,-613.980997730935,-412.09137039514314,4617.505903929916,-729.7927348764337,-667.2464878426953,-162.03309450950363,4976.107724215501,-287.13889298069256,-341.1573158192556,-3355.0494232298815,-1340.3683348595384,-275.6284440674381,-569.1720747969848,647.6741007354282,2235.844367387809
108.0,289.1999996528769,2971.04372586267,-864.0570694867243,-2942.369845145356,-1682.4962292172265,-130.43221566472698,-26274.965897634636,373.3776769858489,-171.94080073047746,-180.9185826233143,310.7126494092127,-627.8994306103701,-433.87858619637575,2253.6470269476395,-757.726622715001,-693.967388699889,-165.1226161235739,5312.432988364201,-292.6925662454022,-347.76203944859657,-3356.4169291359185,-1456.724631404282,-294.7737704169342,-594.0179786656772,2506.209079514043,2177.7536620509704
120.0,289.1999996528769,3194.9456065115733,-866.9589990865101,-3173.9680726076085,-1684.8027239356902,-130.91811692817004,-28788.08526184861,479.0236713431419,-146.62590556119056,-202.6250127643677,456.3761498187566,-629.9276743326279,-456.16393971391614,-501.5994949049353,-781.2132937638122,-717.2172022993143,-165.72975970437463,5483.0310410100265,-293.7781111109785,-349.0525690555528,-3356.0550328936715,-1606.6295284187936,-316.5429120916926,-616.8996939943529,2734.347890188589,2083.0991364283373
132.0,289.1999996528769,2889.094848778718,-867.244044935956,-3269.8586340993284,-1686.2199461307248,-130.95136868041422,-29138.935794334287,1072.4590015740105,-134.40383762109354,-226.78243600585063,869.8797865599098,-630.152869937605,-470.50919737638424,-1397.6156008604053,-795.6408128991116,-731.6285058304575,-165.7713888939127,5032.613688610271,-293.85244696318574,-349.1409343344717,-3356.008355917732,-2020.4240045883635,-330.85282364259626,-631.2857646667856,2747.7573340103568,1981.4531621986225
144.0,289.1999996528769,2566.14437171331,-867.28963329062,-3296.0773135181553,-1686.743850197683,-130.95138552481342,-29161.757286023443,1550.775649776643,-137.7963139913968,-240.59286023664203,870.1596063627618,-630.1984278890152,-481.4888792889825,-1399.4572669541787,-806.620536554306,-742.6082212619278,-165.77141009361523,4616.20294588455,-293.85248468701326,-349.1409791675341,-3356.0079684077805,-2020.7039714688008,-341.8324876216998,-642.2654672568302,2747.761072808264,1882.0774169651984
156.0,289.1999996528769,2303.6096735737287,-867.3021574068008,-3302.0872280797857,-1686.8640737568523,-130.95138552480756,-29170.023742377598,1901.944705704185,-151.28602169778912,-246.97739234713845,870.1596170481823,-630.2109520052072,-492.06267464321314,-1400.2305372141789,-817.194331908527,-753.1820166161599,-165.77141009360776,4297.915752813529,-293.85248468700007,-349.14097916751837,-3356.0079683978047,-2020.7039821020699,-352.40628297595407,-652.8392626110558,2747.7610728114196,1785.7884531952843
168.0,289.1999996528769,2084.3263220970634,-867.3056895465347,-3303.4579043231024,-1686.8912925608406,-130.95138552481103,-29174.26707429664,2182.5610313472803,-168.85459468384602,-249.89456556135787,870.1596171333538,-630.2144841449352,-502.1238745959308,-1400.7186325420612,-827.2555318612526,-763.2432165688847,-165.77141009361213,4040.600744440856,-293.8524846870078,-349.1409791675275,-3356.0079683977538,-2020.703982180904,-362.4674829286703,-662.9004625637772,2747.761072812775,1692.6872371235065
180.0,289.1999996528769,1898.1782805914809,-867.3067243402463,-3303.785621369369,-1686.897746103606,-130.95138552481103,-29176.84106187728,2420.653508247774,-187.65010395947718,-251.24322835045004,870.1596171338566,-630.2155189386467,-511.6479887719897,-1401.070011331192,-836.7796460373113,-772.7673307449434,-165.77141009361213,3821.75242796704,-293.8524846870078,-349.1409791675275,-3356.0079683977547,-2020.7039821804394,-371.9915971047292,-672.4245767398359,2747.7610728127756,1602.8647277187351
