t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,270.0,152.46889682248246,-64.98344219964387,-120.21297766874643,-126.85787384834683,-11.198249665722397,-1702.8385962678346,-18.10453880199283,-25.285050287587804,-3.7849584144007236,-26.459854510232717,-44.703868027181315,-33.06067324913761,1786.5335241849657,-60.8685956067408,-55.3940028707716,-14.182923392943232,236.75519735657892,-25.133313746701297,-29.861436830410373,-180.70867283519357,-71.95392002214102,-21.116194907519436,-46.81032479887156,35.22678673231869,195.93945842241357
24.0,270.0,360.2106788375719,-153.23998052629076,-296.2910641680171,-305.9689142251005,-25.770358340301517,-3910.6141411560598,-28.73302501103256,-57.99785963993934,-9.041433536500813,-46.54800141693202,-106.57128464295374,-76.49468492223949,3675.3158031288,-140.48839155415212,-127.88981971112098,-32.63860622348571,588.7686723446425,-57.838787547098846,-68.71953800994726,-445.84131219410955,-179.928712479957,-49.007112729265046,-108.1366964215406,88.81054421230809,450.87777123449507
36.0,270.0,626.7549711784076,-261.6034275146749,-536.1283249806394,-542.033943714184,-42.8877333741802,-6568.461041102536,-21.62890215909141,-94.06369295925502,-15.782024952085406,-50.783374992306605,-183.93688825866968,-128.33547980935737,5395.715967279472,-234.83506540925345,-213.86822743556158,-54.31736089229919,1076.448814216111,-96.25664319362927,-114.36467269930647,-808.1342916773654,-326.1221912565704,-82.59005923795087,-180.9952938657464,163.91137411107977,750.2820008585607
48.0,270.0,955.0014174707154,-380.7119587101889,-841.7928724898394,-836.753634953573,-61.38485287048201,-9573.889072635182,11.571049729702986,-128.2201296410521,-23.62668003452232,-33.77956567645501,-269.5497731112324,-185.5681440630203,6670.475772633077,-337.9993057726075,-307.98972717869844,-77.74283360147322,1706.418645232405,-137.77092239545465,-163.6887729050768,-1272.3012724208781,-505.6762214345223,-120.09334942948311,-260.940213173082,261.13082646925164,1073.718694347766
60.0,270.0,1333.067264509582,-491.9633772939182,-1208.2018126526614,-1168.1775408638207,-79.83598644637294,-12797.845434561477,71.4421703827758,-155.77233276162852,-31.873968552949318,3.193888963653823,-347.38932952967036,-244.43724427093346,7276.916807879651,-442.68547162657103,-403.65566582372566,-101.10960994621799,2468.2997321166686,-179.18183172495085,-212.8900791095739,-1832.4311544329382,-704.7911243871749,-159.28222144094755,-342.46531011799715,368.68003908510155,1396.2110852230303
72.0,270.0,1656.1899584843848,-560.2626266141061,-1603.707265024087,-1199.5292377333456,-92.34536914712764,-15647.741816861437,122.51945986694814,-161.99106256289326,-39.672242480234225,41.32645613186059,-393.03457952630686,-290.10399606547685,6690.4259697102125,-519.4160119339627,-474.2706265158075,-116.95313807007986,3349.9912170613447,-207.25785326134869,-246.24781036002562,-2435.010867180194,-852.8548837084057,-191.60598746986344,-403.49156745478695,407.6871359283483,1614.6174807122366
84.0,270.0,1929.041215822397,-581.6845403611325,-1992.727832621269,-1198.931740249237,-97.80939550877886,-18134.74947860429,173.93064077262505,-148.81366319128128,-46.075967537104475,98.70011194391496,-404.5610785616255,-319.3640001604849,4996.833539376668,-562.2446742019443,-514.4280212837264,-123.8737496845949,4116.09660978047,-219.5213854893442,-260.81836737153213,-2880.7504676902745,-958.2402696549649,-215.03779960933647,-439.4604023503496,418.9612036572274,1709.621862305296
96.0,270.0000000361742,2181.918577476157,-582.6012120149793,-2342.8547520870434,-1199.9528710335187,-98.07594975322887,-19410.31317765362,296.2799107833407,-118.5190704751485,-50.952921410125,232.17017976921824,-404.995009437728,-343.23832923923544,802.063536859816,-586.7809346927115,-538.8339675362789,-124.21136838629513,4389.624195192923,-220.11964583170493,-261.5291725467907,-2889.0072714170938,-1094.0481737913806,-238.62780767112545,-463.66200833984124,419.34608046349,1713.6046902929845
108.0,288.0000000361746,2543.6486671969915,-656.8858840819031,-2674.7476921534894,-1565.1088629360024,-103.42276993044926,-22725.131078956507,422.50472608689176,-103.50379295307444,-74.88410344511988,371.54413250019104,-470.15857530483737,-370.94159823237743,558.2331184629909,-627.4099747193956,-576.8844446493102,-130.4790148957172,4992.45661877065,-231.9430963645382,-275.6013098611994,-3237.213314522512,-1279.3567240825128,-260.7341159941907,-498.1581168516664,12075.386994511937,1720.0718500419407
