t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,273.82799999999816,152.96258949117524,-65.62077290494264,-120.38131635026036,-127.06818039207748,-11.238420552805849,-1709.9105069245163,-18.435252796337146,-25.55166586354957,-4.716281565348012,-26.44012499926456,-45.26868721720708,-33.16348363519869,1799.6946620623653,-61.073220679161984,-55.577515485150606,-14.233283314595331,237.56305415706115,-25.223156663398026,-29.968609127742326,-180.95929844271032,-72.32518385384563,-21.176731651750355,-46.96478735627514,36.701838762887796,196.62995981066925
24.0,277.65599999999836,364.49530183836987,-157.0674335713221,-297.55318929291457,-307.7162406578285,-26.014935269233877,-3947.988164900671,-30.206175748292754,-59.381197344492804,-13.57466874142495,-46.294233180315594,-109.9564197490733,-77.14188592801544,3738.9279258051265,-141.74815821133126,-129.02628202933974,-32.947056265480825,593.8220740601731,-58.38691232280175,-69.37186194906946,-447.71036762056826,-182.3279763419707,-49.3948944863852,-109.0901026668047,93.03706573787025,455.1261772606911
36.0,281.4839999999981,643.7362355812239,-274.3333995026767,-540.805244138712,-548.747931066173,-43.65006483515186,-6673.845298725687,-24.576695065990055,-97.82415734825636,-28.004453476302192,-49.140577093544735,-195.28746205431915,-130.38979426223815,5556.618046480954,-238.79214613603398,-217.44565819247964,-55.280397754972554,1093.6042412724807,-97.96611036491593,-116.39775180134946,-815.067325385324,-334.45697880176243,-83.83396201642249,-183.99664822260206,173.43449932474485,763.5629750051505
48.0,285.311999999998,1002.4048148448991,-414.031871218564,-854.3757937925877,-855.6208176858984,-63.149982319528604,-9800.665670781415,8.801019936500978,-135.77762898470922,-49.06173439691114,-27.283044462933038,-299.6751449473501,-190.36935429522137,6974.465953807531,-347.1994284040814,-316.31561870414055,-79.97425008914577,1751.2893940025767,-141.73007385233487,-168.3960209731783,-1291.0856104966824,-527.6721233936576,-123.01625394246201,-267.92668095686525,281.65940768093236,1104.5071745557875
60.0,289.13999999999777,1446.621265603508,-569.0050916468683,-1237.343650372202,-1231.6642284608818,-83.57922222661404,-13247.117019329931,76.25223330047201,-169.08089918160823,-77.19700100705174,22.94358527960897,-417.6560302671027,-254.55668770659486,7786.237695057942,-462.12309848172146,-421.24653456036066,-105.84359857118646,2568.1732532607293,-187.5791642270152,-222.87207187533943,-1876.9947482232947,-757.4152429432372,-165.4157619405609,-357.20791401601315,419.3546551860632,1461.549271352486
72.0,292.96799999999786,1972.2966830274772,-727.1823846336063,-1682.986885743851,-1668.6940076622302,-104.1173610765267,-16944.960208688393,177.20692334117444,-195.31607906903798,-112.24008188608629,100.293101159757,-538.6449520485193,-320.65499430282836,7874.852010676961,-579.2287832119769,-528.3053872644006,-131.8496282316887,3529.6575472306827,-233.67214827790806,-277.6382055877615,-2564.614470055432,-1015.2292758765519,-209.6106343997432,-448.53567743878926,579.5697826322441,1820.307400526643
84.0,296.7959999999977,2497.670681736031,-866.6260249843315,-2166.0063850757824,-1866.5738157057829,-121.19880339225364,-20516.84490359102,276.1242370183027,-205.53241080317406,-153.63878718613168,180.0236051618828,-647.1573753845837,-379.76198157556837,6957.743632227057,-680.757328893033,-621.4793674673842,-153.4806646460342,4608.965046944952,-272.00822275921706,-323.1873541333068,-3294.6411345158963,-1245.0557486190307,-250.4998040543958,-528.6229236633249,677.3008990234094,2118.4461724977377
96.0,300.6239999999981,2965.1069618982315,-973.1538413747293,-2655.4948702116158,-1963.776865983984,-135.9855848504719,-24098.0483970363,362.5744129513777,-211.25401913349498,-199.32208403341113,262.60780103278955,-726.9082435000042,-433.84431929827684,5128.414524140755,-771.5619909404978,-705.0524354895791,-172.20683652456412,5315.282614223293,-305.1947692118792,-362.61783352975215,-3630.8815783216905,-1457.5735466068652,-288.81121608291085,-600.8656723279572,744.4818507434535,2376.2848863018626
108.0,304.4520000280318,3369.240405752038,-1056.5546598096769,-3107.7854102308443,-2062.0512921906807,-149.78908404112553,-27957.01589505019,445.04347491138344,-219.88391758658798,-247.77827208352292,358.231805612072,-785.3121309173011,-485.89607580470744,3029.1562387929034,-857.8938370801154,-784.6339773978647,-189.6883785588732,5737.377927673864,-336.17475200346297,-399.4264421363651,-3723.894962359485,-1674.491077774921,-326.14050461412114,-669.8693185394767,796.2429071265108,2616.7764655193855
120.0,311.74799991168027,3779.228062391046,-1124.6830336064509,-3431.1244913800165,-2244.4254055579377,-154.6111536237661,-31818.57887508276,544.4798753315721,-200.03895151413352,-299.3946674812409,500.05061770584746,-845.0112588850545,-513.4698501355385,1146.321211011558,-897.5977878228761,-821.7666289318546,-195.47556891099694,6195.50408780692,-346.86396743371404,-412.2051032436012,-3890.541941655423,-1857.9528651693354,-348.7110725047944,-703.8363161846509,6540.718262579191,2572.9018218304727
132.0,319.0439999116803,4167.522387080363,-1206.2428737519938,-3636.818444834741,-2428.4729785123436,-158.37120112589258,-35824.63884527644,667.0753973685057,-178.23078252771626,-354.0609354493919,674.9968682552029,-920.0103046603662,-537.9123301309883,54.29593418377043,-931.5049908616653,-853.6604168096949,-199.97554117382884,6552.331902208572,-355.19370408854405,-422.1662079393062,-4066.8439287525266,-2065.3418726754503,-369.2577902904156,-733.2825882393818,11246.311909976153,2507.9813248891624
144.0,326.33999991168025,4529.631804647114,-1290.5319325664848,-3776.2262961929187,-2611.3390537090268,-161.34056329202784,-39965.8099000089,819.2884909575722,-156.94318979986917,-410.70104577801703,889.754126470628,-999.1294326109164,-559.7277697650128,-258.5189513021101,-960.8005882842835,-881.3581008679624,-203.51739545957327,6827.026968755518,-361.76688175946987,-430.02967260116054,-4243.140410685398,-2305.6919496530995,-388.00187056428285,-759.0670395205525,15174.367300640544,2428.4774778787028
