t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,274.7999999999995,153.08859384632774,-65.77261922468611,-120.42382534041194,-127.1215952257881,-11.248564507160445,-1711.7848701595908,-18.51497749352413,-25.618481236106504,-4.930537454690624,-26.431554684239224,-45.40256969319803,-33.19023203714847,1803.1087706380488,-61.12211365627484,-55.623487061768735,-14.245701922014039,237.75430618369188,-25.245279911391545,-29.99462215218464,-181.02331097680613,-72.42193133800367,-21.192848136347482,-47.00136995322586,67.7334353248758,196.80042994748575
24.0,279.59999999999906,365.5030566753262,-157.92768993033383,-297.8621565708409,-308.13742234049477,-26.074656708257795,-3957.406771723089,-30.569944104520843,-59.723178375814996,-14.534182161009383,-46.24884364691018,-110.70955465103641,-77.30238850661543,3754.8182646082173,-142.04924130640947,-129.30333570399,-33.02160553526001,594.9819893682129,-58.51931639185074,-69.52848478752098,-448.168668561528,-182.89572169535077,-49.49217452195714,-109.31728862733459,171.88730966843204,456.1533887460581
36.0,284.39999999999907,647.516931262612,-277.0148038375081,-541.9255725775556,-550.2963258205118,-43.83138090969049,-6699.6878435137805,-25.354431849387822,-98.75183254210583,-30.422991202933403,-48.880250283087705,-197.64244223959227,-130.88505515566214,5596.016267788663,-239.72325275597848,-218.29776032542466,-55.507997715297826,1097.3996070551962,-98.36999954857619,-116.87633777773107,-816.7237367988052,-336.3060368009545,-84.13672343900221,-184.70214797332258,320.98126915559175,766.7023547944392
48.0,289.19999999999897,1012.3449387861142,-420.52324169811203,-857.307527786563,-859.6371315899112,-63.55296053972025,-9854.454868470051,7.801796795615819,-137.6456843794555,-53.84830818854188,-26.25603322574282,-305.43990928465394,-191.4837487033422,7047.195934585888,-349.2910859684717,-318.2259327229072,-80.48127938532328,1760.7938212797956,-142.62952709363574,-169.46260062780286,-1295.4272147051176,-532.2327684078006,-123.70229669565553,-269.51575124229095,522.7202695135551,1111.5036004964418
60.0,293.99999999999886,1468.1660995126756,-582.7258704965553,-1243.6875962075278,-1240.5559827003867,-84.3283122662152,-13342.862154658884,75.90329414675978,-172.19510279286425,-85.45150002584577,25.92852556364788,-430.0250606126857,-256.64622017978456,7898.442473072606,-466.03782448304946,-424.8184020095525,-106.78723791265212,2588.627902396105,-189.2529181326708,-224.8576091945615,-1886.4994561633664,-766.9712954198999,-166.70854355656263,-360.18726964810264,781.8500275913769,1474.5722986241894
72.0,298.7999999999988,2015.4094897117373,-753.8750932546861,-1695.3837428412592,-1692.9608364194555,-105.42272424915221,-17106.240782557266,180.07934695530858,-199.9961931986179,-125.23835461715701,107.7637107469165,-562.9807484337394,-324.2884052237432,8032.554664831922,-586.055040407206,-534.5258768654927,-133.49544463528187,3569.4535871680696,-236.59127741902105,-281.1022608642111,-2584.096577197614,-1034.1536264075435,-211.85500201811243,-453.7305426446968,1092.7346551290952,1843.0223331204593
84.0,303.59999999999866,2607.5636403859776,-917.4978624044846,-2194.205139393117,-2035.5885703220256,-124.65241711076366,-20924.146053892688,298.94823128067287,-215.4011447231953,-172.90930577536247,203.17540022305838,-691.7852964610497,-388.9059638016339,7279.85611392109,-698.4185703465274,-637.4907634230043,-157.84367788878114,4678.878963530948,-279.7455890341432,-332.3755807631698,-3349.3188141731903,-1298.5275107087498,-255.96499095602223,-541.9594049001139,1348.87928762445,2178.680456483534
96.0,308.4000001636687,3149.9811905174056,-1051.6288453685054,-2703.9509547655766,-2157.228991593064,-140.5616053219216,-24621.571140631568,398.85560478267354,-220.34408346376276,-226.79747082536696,293.921404147193,-797.1080538002586,-446.3049054809178,5470.724344977058,-795.3208897234758,-726.6167094274681,-177.98995515040806,5542.035341946894,-315.4496391087134,-374.7967319476077,-3817.8569010353594,-1529.0665186000358,-296.3964773751254,-618.8921599281368,1495.3145924566445,2456.1109188456935
108.0,326.3999988668,3807.86973560081,-1174.7724935031063,-3164.7802076387084,-2579.772747809172,-147.53873265262504,-28391.98065940495,531.6028480918592,-192.4577144484145,-290.049207393111,449.35353859976277,-908.5920290844186,-478.1496864997977,3412.3933131736076,-843.6389502228816,-771.80278132191,-185.79730605220192,6358.272063037839,-330.4869144552127,-392.7584400062978,-4203.151531225237,-1743.4772671798523,-321.24976461748525,-659.4696604157037,29638.3437920975,2450.2927043064446
120.0,344.3999988668,4539.911199340434,-1331.0474570115928,-3577.1336402863712,-3035.747880348392,-153.7562603731229,-32248.236710525856,691.1366079088914,-159.17247152831675,-363.29701541454824,631.4354152963384,-1054.6197874155616,-507.7531867537504,1678.2475416733039,-887.7972865722161,-813.210988412589,-192.60372992697165,7196.249355124326,-343.7958886327891,-408.6703194039621,-4635.370826045643,-1977.7732383202767,-344.6889714694706,-696.8795199562138,58840.27736582576,2424.414857953329
