t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,274.79999999999995,153.08233386473816,-65.77108220982264,-120.42244461899442,-127.11727869401842,-11.247398744313582,-1711.6484884019,-18.517856092641008,-25.61573921244074,-4.9306970647775,-26.43530015473055,-45.40172820591801,-33.18858099897649,1802.9385221637735,-61.119064155990884,-55.61974680813199,-14.245475706681285,237.75909642806164,-25.24364938885548,-29.992294962263855,-181.01677029134825,-72.41027949487261,-21.191432507299158,-46.99785522022124,33.171632010790134,196.80054373695333
24.0,279.59999999999957,365.4954924385832,-157.92421659633007,-297.8587698227713,-308.1284544346921,-26.071715295430298,-3957.0622604681516,-30.57883779037646,-59.715713711047975,-14.534648854561869,-46.26171199931747,-110.70781566279646,-77.29829698003655,3754.3958543375584,-142.04164298538387,-129.2939761742381,-33.02105293933152,594.9968286955543,-58.515216648543436,-69.52262426601415,-448.15225180338354,-182.86293833715433,-49.48866231709067,-109.30848840435097,84.17957937746058,456.1539738766018
36.0,284.3999999999994,647.514502453485,-277.0089195175271,-541.9194214739185,-550.2823318013413,-43.82589430582921,-6699.050924506821,-25.37416995263398,-98.73704409368155,-30.423947770033436,-48.91006967256637,-197.63978542690649,-130.87751488909214,5595.2451137905,-239.70917926292287,-218.28039495846855,-55.50697364664619,1097.4325084104416,-98.36235757777604,-116.86541035258342,-816.69334314267,-336.2390828059452,-84.13025840917092,-184.68582229529318,157.19565790697396,766.7035551967572
48.0,289.1999999999994,1012.3515733443875,-420.51421409279527,-857.2976480756755,-859.6168114679216,-63.54401332464429,-9853.436238770044,7.7633670924456775,-137.62059428950275,-53.849935097882835,-26.31274187717761,-305.43615982351986,-191.47154255480012,7045.983638829489,-349.2682100409606,-318.19770196909667,-80.47959623595197,1760.8563165552291,-142.61705463895282,-169.44477263117778,-1295.3779749776415,-532.1154789105384,-123.6918546319677,-269.4892229602864,255.9926226949768,1111.505340666008
60.0,293.9999999999995,1468.1828305426438,-582.7130924890175,-1243.6731735603569,-1240.527314729978,-84.31494498261358,-13341.383204532172,75.83568237218331,-172.15656454238513,-85.45396681063197,25.834037391702353,-430.0201494373311,-256.6281436722981,7896.724198342092,-466.0038270074551,-424.77638765740676,-106.78473988188014,2588.735021569232,-189.23429717093677,-224.83098426857538,-1886.4265120465686,-766.7863305928662,-166.6930892593504,-360.147789914075,382.89523416242827,1474.5751687755392
72.0,298.79999999999944,2015.4358546173992,-753.8585908071428,-1695.364719298249,-1692.9239173536112,-105.40414598560322,-17104.26021574746,179.972371048145,-199.94133578262318,-125.2417756241088,107.62292530467313,-562.9750521739476,-324.26361294481165,8030.327917247756,-586.008255329314,-534.4678362175323,-133.4920852816275,3569.6224957436175,-236.56548614262977,-281.06532702402194,-2583.99778484252,-1033.887305341421,-211.8337634539243,-453.67596458806975,535.1457829528579,1843.028163688251
84.0,303.5999999999999,2607.6130140164187,-917.4808309834616,-2194.185762668961,-2035.5884540803788,-124.63010220737245,-20921.878568113738,298.81765274640173,-215.33222804787914,-172.91343551410074,203.0037045367252,-691.7804849221328,-388.87728488564466,7277.406407943215,-698.3642784462455,-637.4222751057428,-157.84031372887026,4679.105592374922,-279.7151395096849,-332.3316377193668,-3349.2133434897137,-1298.206284963688,-255.94003934780838,-541.8947172555188,660.5997729474377,2178.698457924407
96.0,308.4000000899944,3150.0610107872126,-1051.6134580119822,-2703.9347322988397,-2157.2288596615736,-140.53700760828997,-24619.251647065557,398.72754696154556,-220.2622806810196,-226.80211960262653,293.742677216832,-797.1059599308414,-446.2741742849314,5468.454195007218,-795.2621119065711,-726.5421256921247,-177.98640269143502,5542.397087412221,-315.41619751566196,-374.7483909476903,-3817.854639111154,-1528.7232570000147,-296.36972910352836,-618.8216824036758,732.31635157474,2456.133305160915
108.0,326.39999891262244,3806.472690060787,-1174.246162318263,-3164.2473890700926,-2579.461197164692,-147.03104932682749,-28351.79206504412,528.276647006468,-191.18402386469236,-290.17726742228996,445.98729829399446,-908.366545799853,-477.44531537188413,3379.016594837776,-842.3281355712141,-770.1879642007195,-185.70021603511992,6365.128790938086,-329.77839135901985,-391.7458525097513,-4202.449927001669,-1736.6696067877037,-320.6458906594455,-657.9527309747479,14546.694470349845,2450.352761901422
