t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,272.40000000000083,152.78539595441978,-65.39067651917915,-120.31963968837795,-126.99236896371394,-11.223808273475338,-1707.3678019825431,-18.310155194499966,-25.453392330082796,-4.385895263292333,-26.441740579047725,-45.06567806703053,-33.12598572428006,1794.924085903162,-60.99574621474919,-55.51053067497401,-14.21524820021801,237.26678172018006,-25.190769721286763,-29.928943386049006,-180.8666831577633,-72.19577228761078,-21.15440836986054,-46.9088228248386,53.02551349698954,196.3760344935646
24.0,274.80000000000086,362.9701640854168,-155.7279410845799,-297.0938132184808,-307.08697404733005,-25.92644417272548,-3934.5062936076997,-29.649735429665768,-58.8742263188955,-12.037615568093328,-46.34820381452756,-108.7787615353222,-76.9069397152057,3715.903174713251,-141.28411893519427,-128.6139776887786,-32.83617567423249,592.0169414767992,-58.18933906485047,-69.1341175801762,-447.02897339139656,-181.497938750037,-49.25329268313519,-108.74516438948307,134.17622363698166,453.5821656883798
36.0,277.200000000001,637.8394363552353,-270.03935188909753,-539.1203973497599,-546.3798709434011,-43.377655595072426,-6636.082098992626,-23.41977319678955,-96.44782150222902,-24.013157263399815,-49.570586175675096,-191.48966259298416,-129.6522004009879,5498.7758499747915,-237.36069625003134,-216.1631521921745,-54.937620588663684,1087.6249376359826,-97.3566481608371,-115.66804838294118,-812.572528707068,-331.63608429767896,-83.38498104781131,-182.9220542263376,249.36971915790002,758.8047065797444
48.0,279.6000000000011,986.4956340615938,-403.2978997622779,-849.9205713209371,-849.2970668133667,-62.535694969273,-9720.872007440521,10.152818223512948,-133.01480553800585,-40.98707383823868,-29.084319660064715,-290.0583006528445,-188.6850181698175,6866.812583224629,-343.96150345208486,-313.4035387806639,-79.1999082829416,1736.079363379719,-140.3545164320736,-166.75264401180206,-1284.4636414259214,-520.4776442798701,-121.98396056509685,-265.48391045580905,402.9048478203605,1093.7731523213731
60.0,282.00000000000097,1410.9954826368091,-545.4756840625145,-1227.5406056630336,-1216.4648941646647,-82.40386000362129,-13101.574718560252,76.0806637329666,-164.4787626120341,-63.06174026496332,17.552781609828205,-396.26187826217165,-251.3141567242527,7617.774864727754,-455.9201974377347,-415.6560437053277,-104.36057093305253,2534.857305996944,-184.94590709051602,-219.73004841616904,-1862.176944217832,-741.7036034810751,-163.42213735778506,-352.5157334252943,594.0497894569531,1441.0094119836508
72.0,284.40000000000066,1885.2210258004598,-678.9697844023997,-1661.1837712323452,-1556.952422029638,-101.26207724732068,-16617.966641794457,165.55349274586416,-186.00710189176942,-89.85834559151424,83.13999889363384,-495.61052092113357,-313.0912822213926,7577.948118686603,-564.519239387935,-515.0423566570445,-128.2421989416203,3470.9341678317005,-227.27059163488812,-270.014437604405,-2529.5647915652276,-973.0008211102504,-205.08550717963323,-437.45518366349853,777.3681824912957,1770.4113270071514
84.0,286.8000000000006,2305.83975281206,-777.4567620235623,-2117.957917089227,-1618.0330091007625,-115.43409728565567,-19871.20395891426,238.64283310577824,-191.7385391138063,-120.0247228847472,145.5869563405989,-568.4344740715834,-364.45888434526944,6475.712450721091,-651.0764040445735,-594.6741253632432,-146.19091942561178,4470.980666531686,-259.07819676682044,-307.80456419542566,-3189.544405888628,-1159.984470194192,-241.3370586670961,-506.22684314499884,861.6677598268496,2017.696293140982
96.0,289.2000008967443,2659.6507541042442,-845.6658655538091,-2573.6964652796305,-1679.363008129483,-127.94780908383821,-23239.890934788313,305.40504532450467,-197.27512089197475,-151.993012318789,216.1254646738189,-613.9830578352362,-412.0945333248996,4618.3199179926305,-729.7844040256715,-667.2667820717742,-162.03965401646872,4976.004061332663,-287.16397289106766,-341.17294923146954,-3355.049428006288,-1340.4847592426804,-275.62535363230825,-569.2296638365618,927.8656553038675,2235.8204927815873
108.0,325.2000008967453,3246.9106410496356,-978.2982416947235,-3004.971577406722,-2215.8356367643337,-135.1101298849711,-27053.102839062263,429.2059172527832,-178.7003064068169,-206.50892686276651,372.04624686793653,-735.0108531733849,-442.8915634523171,3330.3943317623607,-776.9307124848425,-711.9664992063748,-170.27224291660994,5977.627921058015,-303.00257004145067,-359.6265605104184,-3948.5841044850586,-1557.1954044135787,-299.04093924814555,-610.1499321290862,29186.50884464495,2242.7270963378473
