t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,272.40000000000066,152.79188659716803,-65.39397076529073,-120.32228063233562,-126.99672008706976,-11.225015539140003,-1707.5105901872032,-18.30745749106097,-25.45697384558494,-4.385746935103609,-26.437793912395342,-45.065466929471434,-33.12805942914864,1795.102375026598,-61.00265559001678,-55.51392689569534,-14.21511877751054,237.2617565585571,-25.191969746390477,-29.931353371831484,-180.87525910883824,-72.20585273851547,-21.15551808041601,-46.91161909763523,88.9548149888179,196.37591519848598
24.0,274.80000000000075,362.97775087183834,-155.73576553416396,-297.100236836747,-307.09579713085463,-25.92946645876498,-3934.864290274736,-29.641227564806627,-58.883773424918644,-12.03720967913707,-46.33477660265918,-108.7777749601031,-76.9120427374785,3716.3422494140364,-141.30137724569735,-128.6223622108517,-32.835806887750465,592.0012116385016,-58.19230246493896,-69.14012891502827,-447.05030353706746,-181.5266004132662,-49.25599117146604,-108.75205579873375,225.09242802722454,453.58129331439136
36.0,277.20000000000044,637.8407618283867,-270.05344546619284,-539.132171592959,-546.3932274607201,-43.38326629117082,-6636.740865071546,-23.400865279578007,-96.46649841579452,-24.01238095953563,-49.53977377385522,-191.48739209902698,-129.66158488423474,5499.573542273733,-237.39265597529447,-216.17862282524416,-54.93692714241372,1087.5906434874762,-97.362141537565,-115.67920375995382,-812.6119192797429,-331.69515454813313,-83.38990338025192,-182.93475478088956,418.34170473692313,758.8029748012078
48.0,279.60000000000036,986.4857725393612,-403.3204685992419,-849.9393356845703,-849.3157082530155,-62.54477935711903,-9721.918922015577,10.189174163354261,-133.04615886540694,-40.98582020937308,-29.026902574127366,-290.05439541507485,-188.7001307908939,6868.060114125309,-344.01313843458433,-313.4285230126099,-79.19881208989167,1736.0153589024317,-140.3634351033811,-166.7707188507802,-1284.526858550657,-520.5808854020052,-121.99184325058089,-265.50440451650763,675.9158119480267,1093.770690210724
60.0,282.0000000000001,1410.9727790426311,-545.5093267592038,-1227.5676897871288,-1216.4898529757693,-82.4172425054455,-13103.074043691297,76.14313500703433,-164.52616139001245,-63.05995319254817,17.645272528118426,-396.2565083305136,-251.33628712060366,7619.519035379982,-455.9961479971013,-415.6927056086882,-104.35893975574871,2534.7508254502695,-184.95903064173606,-219.75666704505286,-1862.2690039639754,-741.8635541973526,-163.4336203025815,-352.54578405108094,996.5857647035242,1441.0055778627766
72.0,284.4000014052688,1885.177485853994,-679.0146614793024,-1661.216607514793,-1556.9534784049647,-101.27918966109948,-16619.82131722611,165.6389097401898,-186.06991346507837,-89.85617432618353,83.26281555065371,-495.60507031999447,-313.1190777694815,7580.047147386154,-564.6164707985249,-515.088370900602,-128.23955849550396,3470.7856138088537,-227.286867964743,-270.04820467425077,-2529.678962454908,-973.2084023349962,-205.09979589978175,-437.4928523989494,1304.1088155937025,1770.3993203923424
84.0,302.4000014052689,2456.489046743397,-790.0946559396681,-2083.7102072184616,-1905.720641469526,-108.12798444082688,-19707.041047513198,270.7289388913829,-160.20422636738652,-128.974298334272,194.08049573538875,-594.7727171731983,-342.1549738772805,6462.073532664643,-610.3214151608151,-557.0730085643872,-135.63924588096785,4511.3953239622415,-241.88802137180735,-287.51449950215437,-3180.2769020754463,-1140.85908995978,-227.1491740764197,-475.62177375484015,36384.28240076106,1799.2661696925136
96.0,320.40000140526877,3120.7627715035046,-926.2287527895019,-2494.298669329603,-2328.2063602915373,-114.3324714042177,-22769.603494083884,395.563829770121,-129.11095592296144,-180.73923454354505,323.72795850181046,-720.2515171902114,-369.04959435620805,5108.306813420099,-652.2229308684965,-595.5010001703839,-141.98893916745723,5530.412182934844,-254.90176469907718,-303.1164708625678,-3799.4507110556096,-1321.0595805151931,-247.8030060111815,-510.94381463733674,77896.8628789601,1804.779508026983
108.0,338.4000014052688,3834.952610230365,-1073.5016724523375,-2887.942266273181,-2773.5816015639984,-119.84347921569059,-25803.348013547457,536.7489668400873,-94.39877062950055,-239.7334962030425,466.4817302965967,-858.1441571197029,-393.94102628775937,3686.3527960739184,-690.3859895617938,-630.5151533259591,-147.41080031188898,6481.735752434817,-266.32917152830817,-316.83827372434916,-4358.715822478279,-1508.1392176919294,-267.2057167980203,-543.4377432495387,120768.8392872864,1791.114417368217
