t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,274.8000000000012,153.08222862856195,-65.77164204572247,-120.42264721245193,-127.11765871366885,-11.24757290334637,-1711.6700468177205,-18.516432647723647,-25.616883764757308,-4.93067201769353,-26.435249496491963,-45.402115908892846,-33.18856018404588,1802.965735958743,-61.119656289953824,-55.61989766816942,-14.245507874016832,237.75837358275425,-25.24369592675166,-29.99317329136813,-181.01669917096575,-72.41189981638078,-21.191503538031615,-46.99830916490941,38.49454939766995,196.80050002687142
24.0,279.6000000000009,365.49385448613987,-157.9255382321547,-297.85924264924347,-308.1290634028583,-26.072149658090492,-3957.11686447203,-30.57510127817339,-59.71870381048718,-14.53457491609718,-46.261108182090545,-110.70871424191705,-77.29821606958632,3754.4641556054617,-142.04309867998538,-129.29431576503467,-33.021124943756384,594.9946565499821,-58.51531768944498,-69.52483293245156,-448.1520102270377,-182.8674586696194,-49.48882259007892,-109.30960295874533,97.68752051810714,456.1537299987028
36.0,284.40000000000083,647.5096846794756,-277.01122086791435,-541.9202034101982,-550.2829789062012,-43.826693675738326,-6699.15132064869,-25.36695626667946,-98.7427580814486,-30.4237927853779,-48.90814398165939,-197.64131805258037,-130.8773210410483,5595.369987806488,-239.71182566273737,-218.28096290848362,-55.50709322009549,1097.4277552352105,-98.36251988250415,-116.86950344300928,-816.6927450575378,-336.2482187934926,-84.13052747921986,-184.68784641086782,182.42018852508258,766.7028942450025
48.0,289.20000000000084,1012.3424530619186,-420.5177895761068,-857.2988558395301,-859.6174420454425,-63.54529733458789,-9853.594899759893,7.775768387495997,-137.6300276168293,-53.84967684355866,-26.30839446709902,-305.43851561213916,-191.4711698452174,7046.177538724752,-349.2724185573274,-318.19853441719687,-80.47976845897908,1760.8475472267428,-142.61727908471138,-169.45139085102662,-1295.3768927301244,-532.1314120423854,-123.6922547295309,-269.49244039096527,297.0708036933951,1111.5039536367008
60.0,294.0000000000008,1468.1685977615214,-582.7180397747336,-1243.6746442747915,-1240.527844378135,-84.31685156369329,-13341.611478067098,75.85513163839424,-172.1708747035547,-85.4535520481113,25.841784578400198,-430.02329765205894,-256.62753505166773,7896.99976828727,-466.0100360158209,-424.7775538075381,-106.7849798149612,2588.719579573409,-189.23460157616904,-224.8408461284198,-1886.4243937621584,-766.8112840829323,-166.69365142515662,-360.1525340399601,444.3369529572616,1474.5728507514614
72.0,298.800000000001,2015.4158237690208,-753.8647513441668,-1695.3662143286842,-1692.9236334393847,-105.4067827924281,-17104.56261666582,180.00053891858258,-199.9615760915476,-125.2411762503847,107.63480058257723,-562.9787487642935,-324.26267694675823,8030.686099986141,-586.0167786048873,-534.4693250950271,-133.49238532005802,3569.597419927406,-236.56584901133476,-281.07903589221985,-2583.9937611882624,-1033.9229834055418,-211.8344935224178,-453.68247550402594,621.0178748835813,1843.0244374629126
84.0,303.6000000000013,2607.588066006083,-917.4869998092428,-2194.186897649184,-2035.588408497042,-124.63332219840433,-20922.229933299885,298.85166876859444,-215.35782019499393,-172.91266648956181,203.01833103069504,-691.7836754843325,-388.876006549384,7277.81284065145,-698.3745901013009,-637.4239203960493,-157.84063983892693,4679.0725589151125,-279.7155089878252,-332.3484671259818,-3349.2079841084324,-1298.2499868231805,-255.9408549408481,-541.9025886824803,766.6023326844874,2178.693248385284
96.0,308.4000002122591,3150.0310136800426,-1051.6183585170513,-2703.934891888067,-2157.22881917216,-140.54049884581397,-24619.60706123756,398.7614023040359,-220.29167654118388,-226.80120467793287,293.7572496862249,-797.1077006871458,-446.2725008494647,5468.851521380395,-795.2730922019637,-726.5435370798946,-177.98666500852138,5542.366863603375,-315.41643131874827,-374.766838539793,-3817.854432105685,-1528.7693728204215,-296.3704604629733,-618.8300558876668,849.8264399575512,2456.126161165699
108.0,326.40000021225916,3806.2967767658074,-1174.4439052835746,-3164.3253308738263,-2579.4880379278934,-147.10749626885752,-28358.1154660687,529.2117458618154,-191.7020308422409,-290.1563585837446,446.28382116688385,-908.4885558476109,-477.4353470283027,3384.5250153876646,-842.5871847891258,-770.253567385608,-185.7145664324349,6364.410040960276,-329.79905545061433,-392.13125783992325,-4202.442516419625,-1737.6554529008024,-320.67608321855056,-658.1510236664831,16876.836642539278,2450.338955731478
