t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,270.9719999999989,152.59698585343295,-65.1509528922493,-120.25640476584455,-126.91247541223332,-11.208514429248657,-1704.6644076223884,-18.188618028792494,-25.353066478932156,-4.035750960379185,-26.4531956786228,-44.85263533687051,-33.0874867819073,1789.9297580726704,-60.920324534613925,-55.44123103457303,-14.196088704121768,236.9662888469509,-25.15657560851795,-29.888775539840875,-180.77159772583113,-72.05110362505619,-21.13182323901643,-46.84927177261335,36.68838547804842,196.11782930664765
24.0,271.9439999999987,361.355679699755,-154.28542819509755,-296.6205351574239,-306.4298363364629,-25.83416652506479,-3920.3688905710546,-29.105726706857396,-58.354807803731724,-10.32518426391182,-46.45843099892458,-107.50078975453755,-76.66451155485763,3691.91518472481,-140.81521780417935,-128.18675821589687,-32.719836043085884,590.1250631305534,-57.98256284427141,-68.8896050530493,-446.3256120964992,-180.5798107244098,-49.10828235866266,-108.3836827895297,92.64401543361346,451.9912063963295
36.0,272.915999999999,631.4409188255545,-265.2317725463251,-537.3668110886584,-543.8565170403125,-43.09073973090556,-6596.355764325017,-22.337009071103843,-95.0375873473158,-19.3849277621523,-50.22822099356666,-187.19688994272647,-128.88247962038454,5438.230902436985,-235.88348360356125,-214.81982024886142,-54.57523162916499,1081.182973833484,-96.71331113916162,-114.90585151929736,-809.9678453579793,-328.4627480396814,-82.91942215929197,-181.78936110733656,171.53013316955906,753.8284073656552
48.0,273.88799999999895,968.6173515485489,-390.70161558623676,-845.206265657164,-842.222325504211,-61.87320645339071,-9635.663428723707,11.136489082586724,-130.18826117420238,-31.343033462155535,-31.617709299924048,-278.6539694597934,-186.88843133454282,6752.757381554339,-340.527929724338,-310.28349138310995,-78.36250676245079,1719.2001342051647,-138.86863207739606,-164.9907453413598,-1277.4154736967894,-512.1317486105868,-120.89098328916586,-262.85662958999245,275.15252434980573,1082.2534942310854
60.0,274.85999999999905,1368.6114161374899,-516.3794330335812,-1216.749024457798,-1195.372362340362,-81.03938338358651,-12936.940808144513,74.30778370294706,-159.6411388966613,-45.85529256276685,10.022486441986729,-369.6249170910665,-247.6197641599268,7430.676760252672,-448.8497519530551,-409.2372842453136,-102.63507894815633,2496.960629650618,-181.88500062104472,-216.0985444376445,-1845.6510642681271,-722.1969573028699,-161.1786806343747,-347.1205088635375,398.5841662247103,1417.246421342514
72.0,275.8319999999993,1758.686480378773,-614.4043341441652,-1630.6013806746087,-1344.6501140788278,-96.5197618834477,-16086.873902660102,140.89583485817755,-172.5088081522628,-62.239495479919086,57.527566686195684,-439.61623776618876,-300.854293146792,7091.369856623123,-540.5239306466863,-493.3445313172575,-122.24082364090312,3407.3712112645057,-216.62922343161176,-257.37835732167855,-2479.4976243245774,-905.7391589256654,-197.90097680933138,-419.3619441107501,472.20126911174106,1687.611893032061
84.0,276.8039999999997,2078.04670340655,-670.7541636754692,-2056.828483625989,-1369.1091866478926,-107.74294469484904,-19073.775297385328,197.04877684232835,-175.39311459142004,-78.93682943679858,111.65342158021869,-475.6411361387479,-344.2142861958086,5865.339836012524,-611.7532382987856,-559.0875550724438,-136.45553416008937,4274.368286729304,-241.81873100287203,-287.3062668629078,-3030.3133965213397,-1058.4903663469554,-229.28965742464013,-476.50172490477013,507.76269890420934,1883.3518669874452
96.0,277.7759999999996,2342.9297793584237,-701.2384262932494,-2465.092997121416,-1394.5003858844364,-115.34890038447563,-21937.597368196006,252.67987381699373,-170.31979111282755,-95.21421572644726,176.6922264019411,-492.35092819562584,-380.0366789134664,3702.6888064198793,-666.4629486742052,-610.0791051315935,-146.0890750789696,4644.822128759018,-258.8897225402595,-307.5885224092537,-3078.2579468227486,-1190.363406884631,-256.99907259136364,-521.6626491128543,525.7883882606359,2015.6809122111877
108.0,278.7480001838963,2545.7788380173447,-723.5337228972461,-2815.0225794794187,-1420.7503346794074,-121.1434190046772,-23765.31544533288,436.8042854698836,-163.03353178592715,-110.94784752914067,375.58329110293937,-504.15216784875156,-420.080417335152,-510.57196499620517,-720.8959207928604,-661.6793872111372,-153.42839343383517,4825.346943314146,-271.89510480022574,-323.0403947746833,-3101.538685509095,-1440.1754037276135,-290.8620164784351,-568.8208341572289,536.6968867945955,2116.2206285061375
120.0,307.4520001838954,2959.4974472334147,-833.8731336091869,-3135.8473621204143,-1963.5418606426229,-127.82112053351503,-28244.207526441136,614.7112001397043,-154.41399036071158,-153.0240322546415,586.8464230037479,-603.1004567157099,-450.9417089594855,424.2303019168483,-767.5953153265427,-705.3978822877748,-161.26771437315608,5559.990090965462,-286.7409575864245,-340.57674216530614,-3616.9930509001856,-1708.820536956481,-314.6391202843343,-607.9808183404756,17202.41829639336,2121.764632190808
