t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,274.8000000000003,153.08208599968518,-65.77176095055927,-120.42306886975437,-127.11739948992924,-11.247503218495911,-1711.6609362031559,-18.517168211869798,-25.61670505574127,-4.930682628670005,-26.434978790858082,-45.401800264609115,-33.18872753623821,1802.9542979602054,-61.119922324152505,-55.61949299698462,-14.245243365577135,237.75868653131315,-25.243585107518584,-29.993006327669626,-181.01626664254428,-72.41097197355329,-21.191726358161787,-46.99787539503523,36.55725196436707,196.80051839642428
24.0,279.60000000000014,365.4939915586347,-157.92588622745842,-297.86032843305867,-308.12854308233767,-26.071976466264676,-3957.094024309393,-30.577045457905857,-59.71822490335822,-14.53460599488372,-46.260628101250944,-110.70795287773836,-77.29865244512098,3754.4358986481557,-142.04379453786152,-129.29330779155924,-33.02045832033039,594.9956128850569,-58.51504464934933,-69.52441895489426,-448.1509418147369,-182.86492925836353,-49.48939583624991,-109.30851834618178,92.77126566509094,456.1538404112325
36.0,284.4,647.5105840512772,-277.0119616519142,-541.9222724775822,-550.2822120982974,-43.82637695418478,-6699.109772959046,-25.370725608981214,-98.74182694099008,-30.423857809612247,-48.90759394601139,-197.63997511221888,-130.87815542906426,5595.319083098061,-239.7131612279909,-218.27911349026058,-55.50585685506081,1097.4298795410239,-98.36202503541077,-116.86874823847653,-816.6908287329278,-336.2432078024263,-84.13161031728198,-184.6858487475344,173.23969377088684,766.7032174894541
48.0,289.2000000000001,1012.3444053036433,-420.51914467555866,-857.3022740527524,-859.6164039510463,-63.54479147602755,-9853.529857437443,7.769341329051008,-137.62847251314204,-53.849788642277986,-26.30798613371531,-305.43645940325865,-191.47255341191382,7046.098985342663,-349.27464292853824,-318.19556719849004,-80.4777676072461,1760.8515861373266,-142.61649549515525,-169.45018745978012,-1295.3738906250164,-532.1228515059754,-123.69403231377615,-269.4892241506456,282.1204360277387,1111.5046535622953
60.0,294.00000000000017,1468.171727768608,-582.7203290093369,-1243.6798324628257,-1240.5265179966084,-84.3161018296522,-13341.518443114563,75.84512590719433,-172.16847227393094,-85.45373152583801,25.841887482200384,-430.02047201701873,-256.6296156137501,7896.888782219017,-466.01339130845395,-424.77314052413413,-106.78199581382891,2588.7266451405626,-189.23344500816341,-224.83906456249676,-1886.4201347154972,-766.7980326675047,-166.6963139786953,-360.1477430064131,421.9753414591936,1474.5740179388904
72.0,298.8,2015.420339775223,-753.8685229501364,-1695.3735316145485,-1692.9221869543117,-105.40574522123161,-17104.439929854634,179.98621600201784,-199.9580975626114,-125.24143513072444,107.63458623861044,-562.9753530728256,-324.26559143954233,8030.5420386492815,-586.0215002206814,-534.4631840920631,-133.4882278028289,3569.608863639312,-236.56425562207653,-281.076573331551,-2583.9883164506896,-1033.9041951027148,-211.8382104619617,-453.675798677947,589.7649329775232,1843.0262479134426
84.0,303.60000000000014,2607.5942107178053,-917.4929158762644,-2194.1959088429926,-2035.5884223872781,-124.6320755275217,-20922.09035734825,298.8345826163261,-215.35329752737067,-172.91299649374318,203.0183074752337,-691.780682216613,-388.8796526863278,7277.653216934926,-698.3805517742253,-637.4164562217655,-157.83555089209062,4679.088411312932,-279.7136186663265,-332.34551829596575,-3349.2024413491413,-1298.227335067199,-255.94545523439712,-541.894436926899,728.0234433422504,2178.6960793788553
96.0,308.4000024945745,3150.0396205889165,-1051.6265563430015,-2703.9444411848094,-2157.2288655604625,-140.53913681124783,-24619.466643074185,398.74435665068114,-220.286087971042,-226.80159645426687,293.7580723439306,-797.1059857986693,-446.27654121124783,5468.701014005013,-795.2797490870073,-726.5353007460263,-177.98104883725244,5542.390073158793,-315.4143805871249,-374.7636228390477,-3817.8543062347635,-1528.7452862546425,-296.3755372701967,-618.8210420677899,807.0607566936336,2456.1296283883694
108.0,326.400002494574,3806.3015838145443,-1174.5320190051423,-3164.493616246449,-2579.474865184386,-147.07701704831655,-28355.470459323922,528.7623423591174,-191.6167674712364,-290.1649527768996,446.2922331582022,-908.386058688965,-477.5081201541911,3382.3227094058557,-842.7033941340414,-770.0755769856332,-185.59858257115042,6364.859388388905,-329.75057630473435,-392.058226720413,-4202.395590552773,-1737.138771948939,-320.77312071108526,-657.9603209104765,16029.9842807887,2450.3457978297047
