t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,270.9720000000001,152.59673795302834,-65.15107868839087,-120.256050148737,-126.91138151451084,-11.20842950658245,-1704.6545508341803,-18.189067666558614,-25.353401462370275,-4.035760268829961,-26.452909492264986,-44.85257257593182,-33.087111238229845,1789.9174283498141,-60.920325034715624,-55.440754330351474,-14.196072722091529,236.96663658036832,-25.156167620504625,-29.888589148570524,-180.77253469413955,-72.05011626120115,-21.131770927769853,-46.84877717534037,34.347466519541165,196.1178457521367
24.0,271.94400000000013,361.3554501105782,-154.2857774743398,-296.6196594682765,-306.42718332200667,-25.83395523969356,-3920.3444613904207,-29.106994807965712,-58.35564064213366,-10.325207277623552,-46.45791956191402,-107.50065717851595,-76.66357466626073,3691.885214069688,-140.8152383275014,-128.1855721785199,-32.71979968519795,590.1261427843161,-57.98153969697334,-68.88914280612697,-446.32800237359663,-180.57713400214027,-49.10815831519089,-108.3824491489402,86.73284128923511,451.99130315508154
36.0,272.91599999999994,631.4410258151132,-265.2324750625966,-537.3652382507079,-543.851772609218,-43.090354321578126,-6596.311880780614,-22.339592212157388,-95.0391095587841,-19.384969030338954,-50.22761716741822,-187.1966898297593,-128.88076521374063,5438.177904328018,-235.88355620692778,-214.81765608044458,-54.575171638547886,1081.185355543744,-96.71142976810438,-114.90501109619875,-809.9723254938638,-328.45749985392877,-82.91920656292004,-181.78710436810982,160.58565637766125,753.8286876610794
48.0,273.8880000000001,968.6179939393745,-390.7028197295086,-845.2038354698578,-842.2149321202623,-61.872595298559254,-9635.595677889522,11.13198287201009,-130.19067108587012,-31.343096355988628,-31.617138341556927,-278.6537128654813,-186.88570646817,6752.67669025308,-340.52808899753387,-310.28005917479874,-78.36241949946168,1719.2045745320247,-138.86563005396926,-164.98941609922102,-1277.4227448454142,-512.1229946025524,-120.89065511938541,-262.8530434609846,257.5965032488113,1082.2540675986265
60.0,274.86000000000047,1368.6125973901333,-516.3812290801762,-1216.7456185606418,-1195.3621461051182,-81.03850736329534,-12936.847382694614,74.30083152405119,-159.64458899712545,-45.85537338112522,10.02304874483039,-369.62458029436795,-247.61584770230857,7430.5675418000255,-448.85003651837576,-409.23236167018655,-102.63496430712695,2496.967646930869,-181.88067276829275,-216.096643689329,-1845.6615889610453,-722.1840932601102,-161.17822610305518,-347.1153561991054,373.15278009860435,1417.2474141843236
72.0,275.8320000000003,1758.691309719972,-614.4070528928036,-1630.59840290928,-1344.6500570558348,-96.51890101860221,-16086.78831836583,140.88907575383203,-172.51317115105525,-62.239588461566214,57.52915680975347,-439.616109348842,-300.8501074840207,7091.266105723972,-540.525161278204,-493.3395065649126,-122.24091187395958,3407.378595631068,-216.62449336275014,-257.3765773466543,-2479.5109682053003,-905.7263976038512,-197.90070375157876,-419.35651119247126,442.0753075594861,1687.6161634922717
84.0,276.80400088403246,2078.0538245528487,-670.7572914112304,-2056.826354718672,-1369.1091598220937,-107.74205458707146,-19073.69480524684,197.04256541575165,-175.39745660135443,-78.9369490461659,111.65571339012827,-475.6411378452266,-344.20990581734185,5865.232200324551,-611.7547704836892,-559.08234338325,-136.45567410477037,4274.367292693109,-241.8137245847933,-287.3044477360254,-3030.3186750521418,-1058.4775386817555,-229.28944635084562,-476.4960470371147,475.3682847431525,1883.357069280556
96.0,284.10000088403183,2438.7818851789557,-720.9598032358149,-2450.657306447479,-1543.642811436671,-112.23117139111497,-21984.02709806305,269.91017321626225,-154.62215468132797,-101.94063698779301,199.89134365138034,-517.9442744556488,-369.22918322241884,4100.867568331502,-647.7202886300549,-592.8734823446217,-141.89828702611655,4814.358315423458,-251.7877971489624,-299.1688501376561,-3214.2100768747114,-1185.5121104310576,-249.5812329225534,-507.0662938200575,7056.798532212812,1876.5307282335507
108.0,291.39600088403165,2853.6598245782407,-793.9348616536493,-2800.659112549233,-1729.0732262855097,-116.30804944279171,-24913.114600393917,354.26421080078154,-128.76564908174743,-133.93140401919385,297.16189835591206,-583.792025393311,-392.8332184829349,2447.801912602097,-681.2245980104741,-624.4071895119453,-146.7918745455483,5325.5084331736125,-260.82543260410404,-309.9221995615748,-3390.6599185002065,-1317.888083100806,-268.904212764454,-535.7194970550981,14363.810620084168,1856.5400585210343
120.0,298.6920008840316,3283.4005875821686,-874.2250363930219,-3093.1772705072754,-1914.0966943950748,-119.72940877960656,-27872.76632820215,451.21146360606616,-99.76723707063137,-171.73245490346417,407.2150042655693,-658.1165400352508,-414.41316216648755,1084.57969195691,-711.0992828299031,-652.6295000359476,-150.88211314133184,5785.933964697708,-268.4030322138792,-318.9393005462515,-3566.876654824731,-1457.356874647819,-286.8955772964497,-561.5394220988323,20942.040243586733,1821.498170689555
132.0,305.98800088403175,3700.9258603968387,-956.8612122227113,-3322.8560574887993,-2098.454673718691,-122.56421592861587,-30908.16883135046,566.7565764975512,-69.91003777376648,-213.6212423832055,539.1100661614754,-735.8165148845937,-434.06563672837825,207.89005692364373,-737.6185943605466,-677.7803080246879,-154.26404275871118,6176.946008394577,-274.67858849358663,-326.4074248561371,-3742.9057447630166,-1613.604625535851,-303.5764640922391,-584.7061265973831,26583.93214433798,1774.171941743612
144.0,313.2840008840318,4097.115389103444,-1039.7855753285135,-3498.4793233699643,-2281.9870791936746,-124.91874077830997,-34013.77424407887,704.1108383819503,-40.844735810989164,-258.36056445219526,697.5633127318023,-814.6464444593651,-451.9882672464592,-167.38282293024434,-761.239889751066,-700.2654362312613,-157.06723465746927,6499.272241207929,-279.88851944337705,-332.6077550568224,-3918.7718093269264,-1792.2682864890114,-319.0324029983599,-605.5485247446533,31425.579021307298,1717.6074099916402
156.0,320.58000088403173,4479.220360390308,-1122.2200128520626,-3638.2315179321986,-2464.819160637498,-126.91804376382044,-37102.3019879359,854.6763613381976,-13.65471449713627,-304.7372917655893,873.1388757921716,-893.6118215461127,-468.47238196180615,-279.4896910808219,-782.5562368789147,-720.6177001386728,-159.43943956936002,6775.877697002125,-284.30907494845786,-337.86912226266554,-4094.4911579823593,-1984.9827133962017,-333.42398924660137,-624.5132122138899,35754.96109437315,1654.8424220653126
168.0,327.87600088403195,4853.942438191033,-1203.8424698145316,-3758.4264261561007,-2647.193926725737,-128.6687411906145,-40108.99792795385,1009.6967737249181,11.193830255923997,-351.8367205364783,1055.9804873809946,-972.20645564491,-483.77839704688625,-311.95154859375623,-802.0849893998085,-739.3031174319486,-161.5062541375181,7029.294052444611,-288.1756116011868,-342.4717019503371,-4270.053146256198,-2182.8034123978696,-346.9002776195463,-641.9930321987379,39827.40898323256,1588.3536284317825
180.0,335.1720008840319,5223.31180906087,-1284.4958587119343,-3868.878652941505,-2829.302593381455,-130.2401096390702,-43015.1294842725,1165.896787788976,33.69820487886424,-399.10224443889643,1242.1328701878056,-1050.1532319028968,-498.07962951969256,-322.47152278248694,-820.1667484397241,-756.6288989491277,-163.34968954745702,7271.235883052138,-291.641225525177,-346.5977207895479,-4445.430120761296,-2382.3686234297124,-359.5621249035262,-658.2472845966338,43797.978311186554,1519.8283250426753
192.0,342.4680008840319,5587.77871352514,-1364.112616505837,-3974.438676189532,-3011.248849777406,-131.67267577368568,-45817.12405607383,1322.2678264666486,54.08761018002632,-446.1745656573139,1429.9217470991086,-1127.31391853096,-511.49073914147465,-324.9012016592969,-837.0144303771394,-772.7883879924202,-165.0182000576992,7506.875260096687,-294.79567676886785,-350.3539900971539,-4620.591616316244,-2582.3525707239287,-371.4816822967863,-673.4408518288416,47744.465486363595,1450.3633177989982
204.0,349.76400088403193,5947.495256723256,-1442.6607512200007,-4077.322630015608,-3193.0788769002115,-132.9911063124461,-48514.55510514566,1478.3957488001702,72.66895085702821,-492.7992193906676,1618.229702112834,-1203.6131264906555,-524.0957474977436,-323.13461822300536,-852.7721967681181,-787.9137991064918,-166.54168290228833,7738.485558543606,-297.693767045652,-353.8056983547931,-4795.5070855656595,-2781.8510583066054,-382.71699703783776,-687.6882582579066,51703.270087259276,1380.7074509068705
