t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,270.9720000000009,152.6001682062618,-65.15165053109473,-120.25716306986632,-126.91404055082168,-11.209061638315074,-1704.7267376261827,-18.18697653653972,-25.355499724569256,-4.035691260547603,-26.451583196116538,-44.8537396576557,-33.08800594501941,1790.0074899984497,-60.92259317374681,-55.44167314305711,-14.196194813142396,236.9640777179588,-25.15693803961456,-29.889612330054728,-180.77623288324972,-72.05632085321562,-21.131795401361746,-46.85055756652567,52.41996314843131,196.11777463914763
24.0,271.944000000001,361.35939212568667,-154.28690583375248,-296.622347726862,-306.43273975951735,-25.835538060425677,-3920.525509704592,-29.100955287721508,-58.36122282738303,-10.325032287679136,-46.452874294165696,-107.50331290616161,-76.66577150444604,3692.107751511667,-140.82086999185958,-128.18780313497186,-32.72009099338556,590.1181443921679,-57.98345502288324,-68.8916907341641,-446.3371596800231,-180.59437981951748,-49.10817198268896,-108.38686601393744,132.3688247527575,451.99088899689735
36.0,272.91600000000125,631.441664428314,-265.23404924253055,-537.3700863913211,-543.860430444107,-43.093263802881815,-6596.642139835498,-22.32699324024584,-95.04988276298766,-19.38465867888737,-50.21543456879889,-187.20113017665304,-128.8847410022656,5438.577804691019,-235.89383914246162,-214.82165292608704,-54.5756842454656,1081.167953028416,-96.71492860673115,-114.90967228381932,-809.9890827938784,-328.4920860730001,-82.91916273157777,-181.7951646178036,245.0809290087057,753.8275515734621
48.0,273.8880000000014,968.6121234799755,-390.7044441836731,-845.211341330574,-842.2270339195278,-61.8772456793718,-9636.114447703576,11.154499429600854,-130.20856677829187,-31.342629523231793,-31.59426099226587,-278.6599653022477,-186.89200265074888,6753.295722368635,-340.5444609381119,-310.28635572974036,-78.36322055361859,1719.1720607604138,-138.87120498521483,-164.99684849483327,-1277.4491864758477,-512.1816622961722,-120.8905212577677,-262.86587100838074,393.13650148482105,1082.2519529337103
60.0,274.86000000000166,1368.5973220080386,-516.3816654870402,-1216.7558341555239,-1195.3765352773453,-81.0451741931054,-12937.57178201696,74.33605748385672,-159.67118251596156,-45.854757427708535,10.058599067035315,-369.6318469264956,-247.6247561244634,7431.414882196546,-448.87336759549146,-409.2411316865788,-102.63603647520489,2496.913878099704,-181.8885921977373,-216.1072244090751,-1845.6986972311768,-722.270876408045,-161.17789432907125,-347.1336403555723,569.4943439371784,1417.2431336374505
72.0,275.8320000000013,1758.6560747236317,-614.4027929257445,-1630.6077921729973,-1344.650026895287,-96.5264097126064,-16087.576687445355,140.92621037122916,-172.54575626699557,-62.23891315581224,57.56909788364402,-439.62064625317953,-300.85962583221243,7092.169542935133,-540.5507990452356,-493.3480843504347,-122.2416889362069,3407.3094955579077,-216.6330014321887,-257.3880737962655,-2479.5494033850346,-905.8236114541946,-197.8996906825009,-419.3766587173402,674.6749565144106,1687.6042837919217
84.0,276.80400042648125,2077.9967607671824,-670.7485824678243,-2056.832210368272,-1369.1090578869923,-107.74970168560213,-19074.45747253306,197.07510036556403,-175.43425384876886,-78.93624476673098,111.69454771099659,-475.642661550956,-344.21901833771363,5866.062365854654,-611.7801558935555,-559.0895928746319,-136.45596885888645,4274.266099863654,-241.82191492886417,-287.3156711973073,-3030.331189750039,-1058.5742054228201,-229.28768986950084,-476.516064842482,725.481429551453,1883.336839870896
96.0,305.50799990924315,2572.344755575042,-775.6601497546936,-2468.8032961745935,-1786.970165835654,-114.004605671915,-22341.0589672128,294.0054987338368,-157.02501090201474,-117.56119521448953,229.39608196840487,-570.5272655227005,-372.07997855042464,4649.05812166179,-654.6221703495514,-598.4608081430841,-143.51725532314734,5166.51987402036,-255.34015431410958,-303.45692021180713,-3534.766935719298,-1229.451870188344,-250.53060199171208,-512.195768366881,23887.66990876207,1897.0663939252806
108.0,334.2119999092431,3248.154855153459,-931.830976440464,-2873.711025823997,-2284.1834743967256,-119.94091878780236,-25665.298481877304,420.95844725783246,-128.501561151428,-177.73125589254875,370.1459710514273,-717.5463011649549,-398.7728021471274,3520.8413272222615,-695.3784161607193,-635.8074188199887,-149.97758503841104,6184.12774132634,-268.0240666676645,-318.6252133761356,-4134.385723089821,-1420.1666077269424,-270.957545779272,-546.3480497015828,52356.78903378566,1895.5991830638177
120.0,362.9159999092433,4009.816683102694,-1104.1272700202667,-3269.264092239166,-2805.6232125019997,-125.2587106963877,-28991.42416480474,571.4657326894225,-94.49789001199956,-247.26968365728942,528.4603053887678,-881.8707414792076,-423.8269613421321,2479.5189851599334,-732.9346706901837,-670.2374784384972,-155.61491106735596,7217.526461938464,-279.29585167493434,-332.1194019728233,-4751.624720855705,-1622.9251007095775,-290.4080525877401,-578.1086446672323,81888.95640505872,1877.658284109693
132.0,391.61999990924346,4810.936288765818,-1283.0744042044587,-3654.60466677969,-3335.977137606705,-130.03756674224985,-32342.31966291567,747.2219665330693,-57.95504860463142,-321.9449764268608,708.4865819972541,-1053.8385929704425,-447.3542928746308,1648.427918906201,-767.6187428035283,-702.0536015973886,-160.55866229337911,8236.66786781662,-289.3514259418275,-344.16960157507924,-5372.216793797214,-1842.634171596663,-308.9072793233236,-607.6824820570505,111714.75915700258,1846.4987334618393
144.0,420.3239999092433,5625.861949498193,-1464.1362394382331,-4029.370004021607,-3866.1597445409134,-134.35461932706912,-35727.407739293936,951.335424904287,-20.407335785750753,-399.6256121900037,914.4537763178528,-1228.7519392370493,-469.4744446484936,1100.4278324020627,-799.7511914692892,-731.5456432556356,-164.92115923254536,9224.190182822316,-298.37274145761876,-354.9906357585941,-5989.567556010506,-2084.231503604956,-326.4916856109797,-635.2815507877417,141441.18175227958,1804.9503557960716
156.0,449.02799990924314,6441.761150856629,-1644.7788654027388,-4393.469364619228,-4390.612592686467,-138.2738010129669,-39125.44998170467,1182.9453122638922,17.265092951122636,-478.8835425966419,1145.7277164589848,-1403.9469164657337,-490.30435066613165,813.811240080725,-829.6137242630394,-758.9685486416779,-168.79276101986306,10172.194026113602,-306.5089571145139,-364.7588525367261,-6599.711697514195,-2347.66467522746,-343.2094246020865,-661.0997657023352,170816.11824248734,1755.3548836342723
168.0,477.7319999092431,7253.4264790618,-1823.5035754754447,-4746.952342062734,-4906.000624553077,-141.84846467883946,-42493.335034741045,1435.7490651658209,54.53128811419753,-558.5823453520132,1395.919719145297,-1577.818218551429,-509.96071285395084,699.6771906809533,-857.4597653812286,-784.5528216917647,-172.2476497831644,11081.059665148488,-313.88380908144484,-373.6206523873004,-7199.918819170825,-2627.0279604764833,-359.11987587214986,-685.3182682883444,199662.0919475875,1699.6535412904827
