t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,270.0,152.4693208591413,-64.98395547002083,-120.21295207656445,-126.85774046155764,-11.198437266392602,-1702.859239044176,-18.103633983741645,-25.285695484486194,-3.7849398128720178,-26.459337103989498,-44.70430876672203,-33.060658924575826,1786.5594377413336,-60.8699952810483,-55.394491106389,-14.183199992547916,236.7544644998535,-25.13309293320472,-29.86240642632526,-180.710220572114,-71.95559594904758,-21.11630982880991,-46.810091468789864,40.376209639827266,195.93942731019337
24.0,270.0,360.21026496241666,-153.24127824473902,-296.29112979767405,-305.96830882841044,-25.77083752565605,-3910.6676682693014,-28.730566188072515,-57.99962224888287,-9.041398735042108,-46.54615355176603,-106.57238823493445,-76.49466092371748,3675.3811128810084,-140.49194785534402,-127.89107513267163,-32.639311441792806,588.7667761143159,-57.838244819109015,-68.72199906274722,-445.84539439287596,-179.9335357797777,-49.007407936034774,-108.13612792819684,101.79286938766886,450.8778018194503
36.0,270.0,626.7525286480844,-261.6056213672018,-536.1284229827698,-542.0324203050683,-42.88860313604529,-6568.558404830734,-21.62401164451648,-94.06704198673104,-15.781967017703716,-50.77919913995533,-183.93875034033442,-128.3353864806017,5395.832429495528,-234.84154363934192,-213.87046624764824,-54.31864391976882,1076.4447126170862,-96.25560866373992,-114.36917585950282,-808.1417808339528,-326.1317299537986,-82.59057065847996,-180.99417763112135,187.87205680943632,750.2818009941901
48.0,270.0,954.9957604345522,-380.7149425966697,-841.792779951146,-836.7506712361427,-61.38622152416598,-9574.039636783273,11.579226498761129,-128.22561820899205,-23.626594620393494,-33.77223764865071,-269.55225920634547,-185.56793592963965,6670.654906466687,-338.0095247597242,-307.9932005576864,-77.7448561075348,1706.410497677862,-137.76923614430456,-163.69590170050031,-1272.3127864191388,-505.69194374599954,-120.09412285145854,-260.9383545744953,299.30315508327055,1073.7180789228578
60.0,270.0,1333.0573819924873,-491.96654856071257,-1208.2013048615431,-1168.173320929089,-79.83788024362231,-12798.04899375287,71.45391131677955,-155.78029283034607,-31.873864039973785,3.2045636585399406,-347.39186778700537,-244.43683233289292,7277.154453691315,-442.6996855874424,-403.6603747856173,-101.11241662290278,2468.2859491874588,-179.17936446229595,-212.9000411693038,-1832.4466216202786,-704.8133116618092,-159.2832364355173,-342.46252062292564,422.5736891413259,1396.2095424192828
72.0,270.0,1656.1763698899886,-560.2643726118397,-1603.706286235781,-1199.5291736040658,-92.34739941474541,-15647.955627065874,122.53120595801848,-162.00038950786274,-39.67214481879245,41.3378894459393,-393.0357412706286,-290.1033645145833,6690.664735535974,-519.4313950533945,-474.27553022498597,-116.9561607587748,3349.973427674123,-207.25498154067256,-246.25865603307702,-2435.026066428908,-852.8784858041845,-191.607001982563,-403.4882283454845,467.2829412343225,1614.6146573457645
84.0,270.0,1929.0260222327297,-581.6844439699572,-1992.7246135901676,-1198.9316562760127,-97.81103735053087,-18134.911149605967,173.94151665277556,-148.82236906134705,-46.07587823757641,98.71178058645833,-404.5611868544362,-319.3624583362103,4996.9875240742695,-562.258485901221,-514.4312811496263,-123.87629289396001,4116.067138503138,-219.51743658462738,-260.8283274503709,-2880.7525484247712,-958.260536311313,-215.03842355295563,-439.4555322512269,480.20357575318013,1709.6111844706056
96.0,270.00000003491743,2181.900836017644,-582.6008879354342,-2342.849889489697,-1199.9528165329825,-98.07752653848195,-19410.336040695467,296.2997748240707,-118.52809160290983,-50.95284481363809,232.18959833439843,-404.99501078091987,-343.23686874408514,801.9812150463682,-586.7946765233974,-538.8371803849168,-124.21382962073194,4389.582462912264,-220.1155439016942,-261.53896426961717,-2889.007269481947,-1094.0756139406974,-238.62858593403843,-463.6571347849135,480.64460023085553,1713.5928428110892
108.0,287.9999999505848,2543.5980541689805,-657.0231449813707,-2674.737458631017,-1565.0459212311055,-103.48690864464406,-22730.25152714702,423.0679261192572,-103.73906317634906,-74.87488194774764,371.906166278883,-470.2712469088739,-370.9350770937989,562.5298254121916,-627.8877405937724,-577.0498728331808,-130.57364096519055,4991.579755126832,-231.86704399787573,-275.9332286783405,-3237.4587847891416,-1280.1144577700798,-260.7720684911411,-498.07631150710284,13839.893156944607,1720.0604238690903
