t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,270.0,152.46751333907955,-64.98379936233532,-120.21264537234609,-126.85734416204903,-11.198177762878428,-1702.8295351297704,-18.104996974147944,-25.2851373897629,-3.78496662524101,-26.46015138831773,-44.703574322829134,-33.060570728275025,1786.522565317093,-60.86837786794838,-55.393813910562145,-14.18314977937323,236.75553397769585,-25.132957599295747,-29.861505187607612,-180.70817654761535,-71.9527235683392,-21.115923326222127,-46.80918642500142,32.804068214540756,195.93945499603535
24.0,270.0,360.2076642321851,-153.24102724392694,-296.29035541748743,-305.9677501414316,-25.770189028831403,-3910.5932070528575,-28.73437017472675,-57.99810322593279,-9.041460260415215,-46.54896606350735,-106.57066878786239,-76.49446552187663,3675.2913431993484,-140.48791138533684,-127.88940624752952,-32.639192121032394,588.7700303468923,-57.83791651160314,-68.7197422480118,-445.84023949638294,-179.9255850608903,-49.006454348340604,-108.13388021178015,82.702629689343,450.87797211379757
36.0,270.0,626.7504735065617,-261.60543338980665,-536.1270444245025,-542.0320172353828,-42.88741310557411,-6568.423080859083,-21.63158734471061,-94.06405060633269,-15.782068500067501,-50.785516145956606,-183.93583973418725,-128.33506427267235,5395.671293420261,-234.8341492652705,-213.8674382093348,-54.31843238555827,1076.4518455500738,-96.25501811826946,-114.36502889448884,-808.1323507333973,-326.1159900581011,-82.58884180681993,-180.9900760258622,152.63839886382166,750.282235221968
48.0,270.0,954.9954537018682,-380.7152720744183,-841.7907600215647,-836.7508482189819,-61.38433411746623,-9573.829212983004,11.566442657938167,-128.2205776124341,-23.626731979677746,-33.78344420503541,-269.54823588579694,-185.5674718733827,6670.407159512708,-337.99781488128525,-307.9884426511561,-77.74452982117712,1706.42398458573,-137.76831431571298,-163.68931763134006,-1272.2980820737976,-505.66579987643166,-120.09140881856067,-260.93187986014635,243.17160645706966,1073.7189181594156
60.0,270.0,1333.060377106643,-491.9685169270803,-1208.1989153445138,-1168.174193864666,-79.83526262930114,-12797.764039136957,71.4354920146234,-155.77285272082923,-31.87402320336495,3.1883026338014897,-347.3876052620115,-244.4363407864738,7276.824101577115,-442.6834335734028,-403.65391492872226,-101.11201564139093,2468.3081782838017,-179.1781687558481,-212.89087108920566,-1832.4267753076074,-704.7763757686562,-159.27951796245176,-342.4536007477388,343.32437489676323,1396.2115508208108
72.0,270.0,1656.186093069926,-560.2696876942424,-1603.7048250976043,-1199.5292515829265,-92.34470692846405,-15647.668958344051,122.51310933360486,-161.9917013237428,-39.67229445408743,41.3207101765643,-393.0338002608813,-290.10340547816463,6690.34583368734,-519.414509853287,-474.269374423832,-116.95597328254625,3350.001530917016,-207.25411285655787,-246.24905460252722,-2435.0073771289594,-852.8402203935617,-191.6032590561476,-403.4791973429385,379.64981663421236,1614.6204123013242
84.0,270.0,1929.0390372682677,-581.6929934581533,-1992.7269992848976,-1198.9317719791209,-97.80897216945301,-18134.702673812768,173.92468563375942,-148.8148648093127,-46.07601923415165,98.6943145753902,-404.5610087118759,-319.36405497799973,4996.786370429512,-562.2444309951155,-514.4279092422054,-123.87698905546661,4116.110158100664,-219.5181188883276,-260.8203318620791,-2880.750600891476,-958.2275687716752,-215.03538314469972,-439.4486676656132,390.1491588011157,1709.629373464408
96.0,270.00000009110397,2181.9176912247267,-582.6098178993801,-2342.855401133777,-1199.9528783107673,-98.07556851099964,-19410.30959356416,296.27293357027685,-118.52020028729439,-50.95297313357984,232.1643819725875,-404.9950076005522,-343.2385857415028,802.0763239231228,-586.7809984020247,-538.8341417606043,-124.21466454646726,4389.6398826004315,-220.1164715860114,-261.5312521374634,-2889.007272601663,-1094.035839348645,-238.62554530274403,-463.6505166723956,390.5076252789688,1713.6129484448652
108.0,287.9999999416692,2543.2830245016307,-657.0331689368908,-2674.6499000280423,-1564.9987187158,-103.39898379710198,-22722.920138622205,422.243828010981,-103.53000754192442,-74.88829450388599,371.3781550882233,-470.0812536406103,-370.9101187784476,556.3641553377043,-627.3410689385498,-576.824989775961,-130.5576244843723,4992.8249312796515,-231.82289499252187,-275.62701804428093,-3237.138068477346,-1278.8897142239025,-260.64377074854536,-497.7725970376705,11247.19810238642,1720.0834227488665
