t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,274.8000000000003,153.08187741283584,-65.77164646388756,-120.42215838975297,-127.1168697650079,-11.247344466185334,-1711.6438895870763,-18.517254028487045,-25.616300704114057,-4.930702337021034,-26.43627292742802,-45.401907738060416,-33.18828280356333,1802.9328539633116,-61.11887684716472,-55.61939360349253,-14.245244268678833,237.75927031851344,-25.243331563294536,-29.992405714068493,-181.01572190565824,-72.40963839550902,-21.191628235391843,-46.99793146699828,32.23789863700742,196.80053087054714
24.0,279.6000000000002,365.4944627247419,-157.92563235657963,-297.85802757533753,-308.12742627137686,-26.071573830001807,-3957.0505265209204,-30.577437669375502,-59.717128063265605,-14.534663254724375,-46.26429593873171,-110.70826185877144,-77.2975301970302,3754.3818709936227,-142.04114835176466,-129.29306236904955,-33.020460904915275,594.9973956671829,-58.51440174629307,-69.52289539097289,-448.14956658519344,-182.861163356916,-49.48915293406044,-109.30866726964256,81.80999304401654,456.1538760833091
36.0,284.40000000000015,647.5128398821483,-277.0115111827674,-541.9179795183313,-550.2804105142392,-43.82561964309375,-6699.0284984960435,-25.371823159330255,-98.73965178369815,-30.423974190962404,-48.91511232226045,-197.6405855430787,-130.87605350898323,5595.219167670367,-239.70820003604928,-218.27863811079894,-55.50585480775571,1097.4337922981053,-98.36081229605328,-116.86588867029504,-816.6882424046377,-336.23545859282495,-84.13115626763852,-184.6861139198678,152.77055640103964,766.7031890611007
48.0,289.2000000000002,1012.3493143361458,-420.5183563052296,-857.2952451696194,-859.6136729719225,-63.54354566401872,-9853.398385340355,7.766787261732751,-137.6247645530735,-53.84998259339469,-26.321217785969402,-305.4374213983459,-191.46910497648938,7045.940284664401,-349.2665070567919,-318.19474259901665,-80.4777484164223,1760.8588795253381,-142.6144924321881,-169.44549724583882,-1295.3695709548535,-532.1091338968039,-123.69328079308087,-269.4896151270794,248.78607867084165,1111.5043879711704
60.0,294.0000000000003,1468.179705371365,-582.7190562389931,-1243.6693696242376,-1240.5224376942647,-84.3142359065373,-13341.326520459537,75.83999552609798,-172.16280288688534,-85.45402035946991,25.820912836522677,-430.0218218886008,-256.62446063787667,7896.663092216562,-466.0012189314913,-424.7719050652583,-106.7819639259899,2588.7389826919843,-189.2304433075417,-224.8320425460625,-1886.4135829277002,-766.7763091062336,-166.69519554227384,-360.1483276364039,372.11580251437897,1474.5735765852432
72.0,298.8000000000002,2015.4314621877907,-753.8665600499173,-1695.3592095074225,-1692.916750297553,-105.40315268522522,-17104.18225020783,179.97734139621338,-199.95010019776305,-125.24182858117348,107.60414792936446,-562.9770278848274,-324.2584386164137,8030.2499073813815,-586.0045777495102,-534.4615398777806,-133.48820265564373,3569.6281900280887,-236.56009477028365,-281.0668000437849,-2583.9793616804486,-1033.872844963958,-211.83668286898788,-453.676686518354,520.0798104708811,1843.0258991178528
84.0,303.59999999999997,2607.609697856767,-917.4901071768992,-2194.1792859807106,-2035.5884057084613,-124.62896532132484,-20921.795309237263,298.82371395567674,-215.34340549870262,-172.91345854306016,202.98106992555822,-691.7822008647114,-388.87106573670474,7277.331932827596,-698.360128605498,-637.4148489007129,-157.8356339001691,4679.113595521335,-279.70868456859085,-332.3336940911879,-3349.1929050821327,-1298.1897635188086,-255.9437161596373,-541.8958862538474,642.0037423052016,2178.6972238823723
96.0,308.40000014234346,3150.058793486944,-1051.6228150999304,-2703.928002076414,-2157.2287826313404,-140.5357165522669,-24619.16377255305,398.734046671116,-220.27464185435673,-226.80211142759055,293.71825572956527,-797.1069916903825,-446.26713519668886,5468.4001661222555,-795.2572904232318,-726.5336871856031,-177.9811758634309,5542.428168224845,-315.4089728001091,-374.75058857519906,-3817.8540746720873,-1528.7053420795203,-296.3736931051165,-618.8227957906256,711.7014465702459,2456.131398455123
108.0,326.39999891225546,3806.3700354268117,-1174.4779902800026,-3164.1340510022883,-2579.4270666848242,-147.0076475904281,-28350.46909152804,528.4677794507327,-191.4313257569553,-290.18092552407137,445.51096434481155,-908.4289680298002,-477.3146047564224,3378.1041280784602,-842.2470253581192,-770.0338536526092,-185.59913462408673,6365.62624997655,-329.6398660411494,-391.7954532446584,-4202.336788171517,-1736.3420687814325,-320.73138765644825,-657.9867443229795,14139.471301419644,2450.3520468648644
